no,kode,nama_asosiasi,no_akreditasi,tgl_akreditasi
1,1,GABUNGAN PERUSAHAAN KONTRAKTOR NASIONAL (GABPEKNAS) Jl. Pulo Asem Utara IV No. 2 Pulo Gadung                                        021-4894418                                        021-4894418                                        onlinegabpeknas@gmail.com,,30/11/-0001
2,3,"INDONESIAN NATIONAL SHIPOWNERS' ASSOCIATION (INSA)  Jalan Abdul Muis 40. Gedung BSG, Lantai 3A # M04-05. Jakarta Pusat                                        0213447149                                        0213849522                                        info@insa.or.id",,30/11/-0001
3,4,"ASOSIASI REKANAN, PERDAGANGAN BARANG DAN INDUSTRI NASIONAL (ARPINAS) Jl. Pulo Asem Utara IV No. 2                                        021-489.4418                                        021-489.4418                                        pusat@arpinas.net",048/KEP/DP-KI/I/2017,13/01/2017
4,7,ASOSIASI DOKTOR ILMU HUKUM INDONESIA (IDHI) Jl. DARMAWANGSA X NO.72 KEBAYORAN BARU                                        -                                        -                                        idhi@gmail.com,,30/11/-0001
5,8,ASOSIASI PENGEMBANG RUMAH SEDERHANA/SANGAT SEDERHANA INDONESIA (APERSI) MT HARYONO SQUARE LT. UG UNIT B3B Jl. MT HARYONO kAV. 10 CAWANG                                        021-29263064                                        021-29067155                                        dpp.apersi@yahoo.com,,30/11/-0001
6,9,"ASOSIASI KONTRAKTOR TERINTEGRASI INDONESIA (AKTI) PATRA OFFICE TOWER 20TH FLOOR ROOM 2045
JL. JEND. GATOT SUBROTO KAV. 31-34                                        021-5290.0191                                        021-5290.0191                                        pusat@akti.net",,30/11/-0001
7,10,"PERHIMPUNAN PERUSAHAAN PERENCANA NASIONAL (P3N) Jl. Cipinang Kebembem I No. 2A
Kel. Cipinang - Kec. Pulo Gadung
Kota Jakarta Timur - DKI Jakarta                                        021-4786.4674                                        021-4786.4674                                        p3n.dpp@gmail.com",,30/11/-0001
8,11,"ASOSIASI KONTRAKTOR KONSTRUKSI INDONESIA (AKKI) Komplek Perkantoran Wisma Iskandarsyah
Jalan Iskandarsyah Raya No. 14 Lt. 4 Blok B - B1 Kav. 12-14                                        021-7392368                                        021-7392368                                        dpp_akki@yahoo.com",,30/11/-0001
9,12,"ASOSIASI KONTRAKTOR KONSTRUKSI INDONESIA (AKKI) Komplek Perkantoran Wisma Iskandarsyah
Jalan Iskandarsyah Raya No. 14 Lt. 4 Blok B - B1 Kav. 12-14                                        021-7392368                                        021-7392368                                        dpp_akki@yahoo.com",,30/11/-0001
10,13,"ASOSIASI KONTRAKTOR TATA LINGKUNGAN INDONESIA (AKTALI) Komplek Perkantoran Wisma Iskandarsyah
Jalan Iskandarsyah Raya No. 14 Lt. 3 Blok B - B 1 Kav. 14 Kebayoran Baru                                        021-7256306                                        021-7256306                                        dpp_aktali@yahoo.com",,30/11/-0001
