no,type,id,lokalitas,nama,nama_perusahaan,nama_tampil_badan_hukum,nomor_pb_umku,nomor_tanda_daftar,qr_code,sektor,sistem_elektronik_id,status_id,tanggal_daftar,tanggal_terbit,website,links,
1,tdpseTerbit,6005,LOKAL,SISTEM INFORMASI DESA,CV CLASNET,CV,8.12001E+20,004455.01/DJAI.PSE/07/2022,http://pse.kominfo.go.id/api/v1/jsonapi/tdpse-terbit/qr-code/6005,Sektor Teknologi Informasi dan Komunikasi,5869,TERDAFTAR,7/17/2022,7/17/2022,banjarnegara-desa.id,http://pse.kominfo.go.id/api/v1/jsonapi/tdpse-terbit/6005,
2,tdpseTerbit,6004,LOKAL,JELITA RELOAD,CV CAHAYA MULTI SOLUTION,CV,1.281E+20,004453.02/DJAI.PSE/07/2022,http://pse.kominfo.go.id/api/v1/jsonapi/tdpse-terbit/qr-code/6004,Sektor Perdagangan,5868,TERDAFTAR,7/17/2022,7/17/2022,jelitareload.id,http://pse.kominfo.go.id/api/v1/jsonapi/tdpse-terbit/6004,
3,tdpseTerbit,6003,LOKAL,TOPUP STORE,MUHAMMAD YUSUF RIFALDI,,2.70622E+20,004459.01/DJAI.PSE/07/2022,http://pse.kominfo.go.id/api/v1/jsonapi/tdpse-terbit/qr-code/6003,Sektor Teknologi Informasi dan Komunikasi,5867,TERDAFTAR,7/17/2022,7/17/2022,-,http://pse.kominfo.go.id/api/v1/jsonapi/tdpse-terbit/6003,
4,tdpseTerbit,6002,LOKAL,ISTANA RELOAD,CV CAHAYA MULTI SOLUTION,CV,1.281E+20,004453.01/DJAI.PSE/07/2022,http://pse.kominfo.go.id/api/v1/jsonapi/tdpse-terbit/qr-code/6002,Sektor Perdagangan,5866,TERDAFTAR,7/17/2022,7/17/2022,istanareload.id,http://pse.kominfo.go.id/api/v1/jsonapi/tdpse-terbit/6002,
5,tdpseTerbit,6001,LOKAL,ASTOREPAY,MUHAMMAD IRSYAD AZHAR,,1.70722E+20,004457.01/DJAI.PSE/07/2022,http://pse.kominfo.go.id/api/v1/jsonapi/tdpse-terbit/qr-code/6001,Sektor Perdagangan,5865,TERDAFTAR,7/17/2022,7/17/2022,astoree.my.id,http://pse.kominfo.go.id/api/v1/jsonapi/tdpse-terbit/6001,
6,tdpseTerbit,6000,LOKAL,MULTI KIRANA ABADI,MULTI KIRANA ABADI,,7.0722E+19,004451.03/DJAI.PSE/07/2022,http://pse.kominfo.go.id/api/v1/jsonapi/tdpse-terbit/qr-code/6000,Sektor Perdagangan,5864,TERDAFTAR,7/17/2022,7/17/2022,-,http://pse.kominfo.go.id/api/v1/jsonapi/tdpse-terbit/6000,
7,tdpseTerbit,5999,LOKAL,ACEH MULTI PAYMENT,ACEH MULTI PAYMENT,,1.10722E+20,003990.01/DJAI.PSE/07/2022,http://pse.kominfo.go.id/api/v1/jsonapi/tdpse-terbit/qr-code/5999,"Sektor Perdagangan, Sektor Keuangan, Sektor Teknologi Informasi dan Komunikasi",5863,TERDAFTAR,7/17/2022,7/17/2022,ahafidstore.jualan.me,http://pse.kominfo.go.id/api/v1/jsonapi/tdpse-terbit/5999,
8,tdpseTerbit,5998,LOKAL,PT. MULTI KIRANA ABADI,MULTI KIRANA ABADI,,7.0722E+19,004451.02/DJAI.PSE/07/2022,http://pse.kominfo.go.id/api/v1/jsonapi/tdpse-terbit/qr-code/5998,Sektor Perdagangan,5862,TERDAFTAR,7/17/2022,7/17/2022,-,http://pse.kominfo.go.id/api/v1/jsonapi/tdpse-terbit/5998,
9,tdpseTerbit,5997,LOKAL,OKA SYAHPUTRA,MULTI KIRANA ABADI,,7.0722E+19,004451.01/DJAI.PSE/07/2022,http://pse.kominfo.go.id/api/v1/jsonapi/tdpse-terbit/qr-code/5997,Sektor Perdagangan,5861,TERDAFTAR,7/17/2022,7/17/2022,-,http://pse.kominfo.go.id/api/v1/jsonapi/tdpse-terbit/5997,
10,tdpseTerbit,5993,LOKAL,CARIK TEKNOLOGI CERDAS,LURI DARMAWAN,,9.0522E+19,004448.01/DJAI.PSE/07/2022,http://pse.kominfo.go.id/api/v1/jsonapi/tdpse-terbit/qr-code/5993,Sektor Teknologi Informasi dan Komunikasi,5857,TERDAFTAR,7/17/2022,7/17/2022,carik.id,http://pse.kominfo.go.id/api/v1/jsonapi/tdpse-terbit/5993,
