no,nama file,tahun,tautan
1,Daftar Arsip Microfilm Naskah Museum Sonobudoyo,2021,https://anri.go.id//download/daftar-arsip-microfilm-naskah-museum-sonobudoyo-1633328187
2,Daftar Arsip Tekstual Kontrak Pemerintah VOC-Kolonial dengan Raja Pribumi,2021,https://anri.go.id//download/daftar-arsip-tekstual-kontrak-pemerintah-vockolonial-dengan-raja-pribumi-1630544092
3,Daftar Arsip Tekstual Jepara (1647-1891),2021,https://anri.go.id//download/daftar-arsip-tekstual-jepara-16471891-1630544044
4,Daftar Arsip Tekstual Bali-Lombok (1789-1895),2021,https://anri.go.id//download/daftar-arsip-tekstual-balilombok-17891895-1630542758
5,Daftar Arsip Foto KIT NTB-NTT,2021,https://anri.go.id//download/daftar-arsip-foto-kit-ntbntt-1630541507
6,Daftar Arsip Video Sekretariat Negara RI Tahun 1982,2020,https://anri.go.id//download/daftar-arsip-video-sekretariat-negara-ri-tahun-1982-1612833969
7,Daftar Arsip Statis Kearsitekturan Departement van Oorlog (1817-1936),2019,https://anri.go.id//download/daftar-arsip-statis-kearsitekturan-departement-van-oorlog-18171936-1633328208
8,Daftar Arsip Foto Kementerian Penerangan Wilayah Jakarta 1951,2017,https://anri.go.id//download/daftar-arsip-foto-kementerian-penerangan-wilayah-jakarta-1951-1586932892
9,Daftar Arsip Tekstual Departemen Pertahanan Keamanan Seri Legiun Veteran RI Daerah Pendaftaran Jawa Barat (1958-1992),2012,https://anri.go.id//download/daftar-arsip-tekstual-departemen-pertahanan-keamanan-seri-legiun-veteran-ri-daerah-pendaftaran-jawa-barat-19581992-1630543454
10,Daftar Arsip Tekstual Departemen Pertahanan Keamanan Seri Legiun Veteran RI Daerah Pendaftaran Sumatera Utara (1959-1981),2010,https://anri.go.id//download/daftar-arsip-tekstual-departemen-pertahanan-keamanan-seri-legiun-veteran-ri-daerah-pendaftaran-sumatera-utara-19591981-1630544008
11,Daftar Arsip Tekstual Departemen Pertahanan Keamanan Seri Legiun Veteran RI Daerah Pendaftaran Sumatera Selatan (1959-1983),2010,https://anri.go.id//download/daftar-arsip-tekstual-departemen-pertahanan-keamanan-seri-legiun-veteran-ri-daerah-pendaftaran-sumatera-selatan-19591983-1630543774
12,Daftar Arsip Tekstual Departemen Pertahanan Keamanan Seri Legiun Veteran RI Daerah Pendaftaran Sumatera Barat (1960-1983),2010,https://anri.go.id//download/daftar-arsip-tekstual-departemen-pertahanan-keamanan-seri-legiun-veteran-ri-daerah-pendaftaran-sumatera-barat-19601983-1630543719
13,Daftar Arsip Tekstual Departemen Pertahanan Keamanan Seri Legiun Veteran RI Daerah Pendaftaran Riau (1959-1983),2010,https://anri.go.id//download/daftar-arsip-tekstual-departemen-pertahanan-keamanan-seri-legiun-veteran-ri-daerah-pendaftaran-riau-19591983-1630543622
