no,member id,logo,brand name,company name,principal and vice,address,email
1,0001.000864.A,https://arebijatim.org/files/0001.000864.A-ERA SANTIKA-04.png,ERA SANTIKA,PT. ERA SANTIKA PRIMA,Jantje Kairopan,Jl. Embong Wungu No.10 Surabaya- 60271 Telp : 547 3777,erasantika2003@gmail.com
2,0001.000827.A,https://arebijatim.org/files/0001.000827.A-XM Tjandra South.jpg,XAVIER MARKS TJANDRA SOUTH,CV. ERA TJANDRA SOUTH,Melly Setiawati,"Jl. Raya Kendangsari 64, Surabaya Telp : 843 8889",info.xmtjandrasouth@gmail.com
3,0001.000850.A,https://arebijatim.org/files/0001.000850.A-XM Tjandra east.jpg,XAVIER MARKS TJANDRA EAST,PT. ERA TJANDRA TIMUR,Brando Olivia,"Jl. Raya Kertajaya Indah Timur
Komp. Ruko Mega Galaxy 14 A  No. 5 Surabaya 60116
Telp : 596 5999",info.xmtjandraeast@gmail.com
4,0001.000901.A,https://arebijatim.org/files/0001.000901.A-homeland.jpg,HOMELAND INDONESIA,PT. HOMELAND  INDONESIA,Tan in liong & Stephanus Setiabudi,"Jl. Dharmahusada 115 
Surabaya
Telp : 5963388",Sec.homeland@twentyone-development.com
5,0001.000801.A,https://arebijatim.org/files/0001.000801.A-sieto2.jpg,SIETO BOULEVARD,PT. JAVA MEGAH,Steven Sieto,"Jl. Bukit Darmo Boulevard 8 L
Surabaya
Telp : 7322999",sietorea@gmail.com
6,0001.000828.A,https://arebijatim.org/files/0001.000828.A-XM Tjandra.png,XAVIER MARKS TJANDRA,CV. PUTERA ERA TJANDRA,Benedicto Andreas Sunyoto,"Jl. Bengawan No. 35
Surabaya
Telp : 5610889",info.xmtjandra@gmail.com
7,0001.000876.A,https://arebijatim.org/files/0001.000876.A-XM Darmo.png,XAVIER MARKS DARMO,PT. MEKARSARI DUTA PENGEMBANG,Iman Sutedjo,"Jl. Mayjend Sungkono No. 77  Blok S-6,Wonokitri Indah, Kel.Gunung Sari, Kec. Dukuh Pakis. Surabaya
Telp : 5661667",xmdarmo@gmail.com
8,0001.000035.A,https://arebijatim.org/files/0001.000035.A-RW Indonesia.jpg,RAY WHITE INDONESIA,PT. RAY PROPERTINDO,Robby Simon,"Jl. Basuki Rahmat No. 48 Surabaya
Telp. 031 - 5355777",corporatesurabaya@raywhite.co.id
9,0001.000829.A,https://arebijatim.org/files/0001.000829.A-RW Bukit Darmo Golf2.jpg,RAY WHITE BUKIT DARMO GOLF,PT. MENARA MANNA MULIA,Tritan Saputra,"Jl. Raya Bukit Darmo Golf R – 17 Surabaya 60226
Telp : 7384165",office@rwbdg.com
10,0001.000856.A,https://arebijatim.org/files/0001.000856.A-logo Pioneer.png,XAVIER MARKS PIONEER,CV. PIONEER REALTINDO,Cecilia Erni Septibagio,"Jl. Raya Dukuh Kupang No. 99A, Surabaya
Telp : 566 8421",info.xmpioneer@gmail.com
11,0001.000830.A,https://arebijatim.org/files/0001.000830.A-rw dipo.jpg,RAY WHITE DIPONEGORO,PT. BISNIS ANAK MUDA SUKSES,Andy Suanda,"Jl. Diponegoro 196 E, Surabaya
Telp : 5617171",rwdipo@gmail.com
