no,animal,link
1,Abyssinian,https://a-z-animals.com/animals/abyssinian/
2,Affenpinscher,https://a-z-animals.com/animals/affenpinscher/
3,Afghan Hound,https://a-z-animals.com/animals/afghan-hound/
4,Aidi,https://a-z-animals.com/animals/aidi/
5,Ainu,https://a-z-animals.com/animals/ainu/
6,Airedale Terrier,https://a-z-animals.com/animals/airedale-terrier/
7,Airedoodle,https://a-z-animals.com/animals/airedoodle/
8,Akbash,https://a-z-animals.com/animals/akbash/
9,Akita,https://a-z-animals.com/animals/akita/
10,Akita Shepherd,https://a-z-animals.com/animals/akita-shepherd/
11,Alabai,https://a-z-animals.com/animals/alabai/
12,Alaskan Husky,https://a-z-animals.com/animals/alaskan-husky/
13,Alaskan Klee Kai,https://a-z-animals.com/animals/alaskan-klee-kai/
14,Alaskan Malamute,https://a-z-animals.com/animals/alaskan-malamute/
15,Alaskan Shepherd,https://a-z-animals.com/animals/alaskan-shepherd/
16,Alpine Dachsbracke,https://a-z-animals.com/animals/alpine-dachsbracke/
17,Alusky,https://a-z-animals.com/animals/alusky/
18,Amazon Parrot,https://a-z-animals.com/animals/amazon-parrot/
19,American Alsatian,https://a-z-animals.com/animals/american-alsatian/
20,American Bulldog,https://a-z-animals.com/animals/american-bulldog/
21,American Cocker Spaniel,https://a-z-animals.com/animals/american-cocker-spaniel/
22,American Coonhound,https://a-z-animals.com/animals/american-coonhound/
23,American Eskimo Dog,https://a-z-animals.com/animals/american-eskimo-dog/
24,American Foxhound,https://a-z-animals.com/animals/american-foxhound/
25,American Hairless Terrier,https://a-z-animals.com/animals/american-hairless-terrier/
26,American Leopard Hound,https://a-z-animals.com/animals/american-leopard-hound/
27,American Pit Bull Terrier,https://a-z-animals.com/animals/american-pit-bull-terrier/
28,American Staffordshire Terrier,https://a-z-animals.com/animals/american-staffordshire-terrier/
29,American Water Spaniel,https://a-z-animals.com/animals/american-water-spaniel/
30,Anatolian Shepherd Dog,https://a-z-animals.com/animals/anatolian-shepherd-dog/
31,Appenzeller Dog,https://a-z-animals.com/animals/appenzeller-dog/
32,Apple Head Chihuahua,https://a-z-animals.com/animals/apple-head-chihuahua/
33,Aussiedoodle,https://a-z-animals.com/animals/aussiedoodle/
34,Aussiedor,https://a-z-animals.com/animals/aussiedor/
35,Australian Bulldog,https://a-z-animals.com/animals/australian-bulldog/
36,Australian Cattle Dog,https://a-z-animals.com/animals/australian-cattle-dog/
37,Australian Kelpie Dog,https://a-z-animals.com/animals/australian-kelpie-dog/
38,Australian Labradoodle,https://a-z-animals.com/animals/australian-labradoodle/
39,Australian Mist,https://a-z-animals.com/animals/australian-mist/
40,Australian Retriever,https://a-z-animals.com/animals/australian-retriever/
41,Australian Shepherd,https://a-z-animals.com/animals/australian-shepherd/
42,Australian Terrier,https://a-z-animals.com/animals/australian-terrier/
43,Balinese,https://a-z-animals.com/animals/balinese/
44,Barbet,https://a-z-animals.com/animals/barbet/
45,Basenji Dog,https://a-z-animals.com/animals/basenji-dog/
46,Bassador,https://a-z-animals.com/animals/bassador/
47,Basset Fauve de Bretagne,https://a-z-animals.com/animals/basset-fauve-de-bretagne/
48,Basset Hound,https://a-z-animals.com/animals/basset-hound/
49,Bassetoodle,https://a-z-animals.com/animals/bassetoodle/
50,Bavarian Mountain Hound,https://a-z-animals.com/animals/bavarian-mountain-hound/
51,Bea-Tzu,https://a-z-animals.com/animals/bea-tzu/
52,Beabull,https://a-z-animals.com/animals/beabull/
53,Beagador,https://a-z-animals.com/animals/beagador/
54,Beagle,https://a-z-animals.com/animals/beagle/
55,Beagle Shepherd,https://a-z-animals.com/animals/beagle-shepherd/
56,Beaglier,https://a-z-animals.com/animals/beaglier/
57,Beago,https://a-z-animals.com/animals/beago/
58,Bearded Collie,https://a-z-animals.com/animals/bearded-collie/
59,Bearded Dragon,https://a-z-animals.com/animals/bearded-dragon/
60,Beaski,https://a-z-animals.com/animals/beaski/
61,Beauceron,https://a-z-animals.com/animals/beauceron/
62,Bedlington Terrier,https://a-z-animals.com/animals/bedlington-terrier/
63,Belgian Shepherd,https://a-z-animals.com/animals/belgian-shepherd/
64,Belgian Tervuren,https://a-z-animals.com/animals/belgian-tervuren/
65,Bergamasco,https://a-z-animals.com/animals/bergamasco/
66,Berger Picard,https://a-z-animals.com/animals/berger-picard/
67,Bernedoodle,https://a-z-animals.com/animals/bernedoodle/
68,Bernese Mountain Dog,https://a-z-animals.com/animals/bernese-mountain-dog/
69,Bernese Shepherd,https://a-z-animals.com/animals/bernese-shepherd/
70,Bichon Frise,https://a-z-animals.com/animals/bichon-frise/
71,Bichpoo,https://a-z-animals.com/animals/bichpoo/
72,Biewer Terrier,https://a-z-animals.com/animals/biewer-terrier/
73,Birman,https://a-z-animals.com/animals/birman/
74,Black And Tan Coonhound,https://a-z-animals.com/animals/black-and-tan-coonhound/
75,Black Russian Terrier,https://a-z-animals.com/animals/black-russian-terrier/
76,Bloodhound,https://a-z-animals.com/animals/bloodhound/
77,Blue Lacy Dog,https://a-z-animals.com/animals/blue-lacy-dog/
78,Blue Picardy Spaniel,https://a-z-animals.com/animals/blue-picardy-spaniel/
79,Bluetick Coonhound,https://a-z-animals.com/animals/bluetick-coonhound/
80,Boggle,https://a-z-animals.com/animals/boggle/
81,Boglen Terrier,https://a-z-animals.com/animals/boglen-terrier/
82,Bolognese Dog,https://a-z-animals.com/animals/bolognese-dog/
83,Bombay,https://a-z-animals.com/animals/bombay/
84,Borador,https://a-z-animals.com/animals/borador/
85,Border Collie,https://a-z-animals.com/animals/border-collie/
86,Border Terrier,https://a-z-animals.com/animals/border-terrier/
87,Bordoodle,https://a-z-animals.com/animals/bordoodle/
88,Borkie,https://a-z-animals.com/animals/borkie/
89,Boston Terrier,https://a-z-animals.com/animals/boston-terrier/
90,Bouvier Des Flandres,https://a-z-animals.com/animals/bouvier-des-flandres/
91,Boxador,https://a-z-animals.com/animals/boxador/
92,Boxer Dog,https://a-z-animals.com/animals/boxer-dog/
93,Boxerdoodle,https://a-z-animals.com/animals/boxerdoodle/
94,Boxsky,https://a-z-animals.com/animals/boxsky/
95,Boxweiler,https://a-z-animals.com/animals/boxweiler/
96,Boykin Spaniel,https://a-z-animals.com/animals/boykin-spaniel/
97,Brazilian Terrier,https://a-z-animals.com/animals/brazilian-terrier/
98,British Timber,https://a-z-animals.com/animals/british-timber/
99,Brittany,https://a-z-animals.com/animals/brittany/
100,Brug,https://a-z-animals.com/animals/brug/
101,Brussels Griffon,https://a-z-animals.com/animals/brussels-griffon/
102,Budgerigar,https://a-z-animals.com/animals/budgerigar/
103,Bull Terrier,https://a-z-animals.com/animals/bull-terrier/
104,Bulldog,https://a-z-animals.com/animals/bulldog/
105,Bullmastiff,https://a-z-animals.com/animals/bullmastiff/
106,Burmese,https://a-z-animals.com/animals/burmese/
107,Cairn Terrier,https://a-z-animals.com/animals/cairn-terrier/
108,Canaan Dog,https://a-z-animals.com/animals/canaan-dog/
109,Canadian Eskimo Dog,https://a-z-animals.com/animals/canadian-eskimo-dog/
110,Cane Corso,https://a-z-animals.com/animals/cane-corso/
111,Carolina Dog,https://a-z-animals.com/animals/carolina-dog/
112,Cat,https://a-z-animals.com/animals/cat/
113,Catahoula Leopard,https://a-z-animals.com/animals/catahoula-leopard/
114,Catalan Sheepdog,https://a-z-animals.com/animals/catalan-sheepdog/
115,Cava Tzu,https://a-z-animals.com/animals/cava-tzu/
116,Cavador,https://a-z-animals.com/animals/cavador/
117,Cavalier King Charles Spaniel,https://a-z-animals.com/animals/cavalier-king-charles-spaniel/
118,Cavapoo,https://a-z-animals.com/animals/cavapoo/
119,Cesky Fousek,https://a-z-animals.com/animals/cesky-fousek/
120,Cesky Terrier,https://a-z-animals.com/animals/cesky-terrier/
121,Chartreux,https://a-z-animals.com/animals/chartreux/
122,Cheagle,https://a-z-animals.com/animals/cheagle/
123,Chesapeake Bay Retriever,https://a-z-animals.com/animals/chesapeake-bay-retriever/
124,Chihuahua,https://a-z-animals.com/animals/chihuahua/
125,Chinese Crested Dog,https://a-z-animals.com/animals/chinese-crested-dog/
126,Chinese Shar-Pei,https://a-z-animals.com/animals/chinese-shar-pei/
127,Chinook,https://a-z-animals.com/animals/chinook/
128,Chipoo,https://a-z-animals.com/animals/chipoo/
129,Chiweenie,https://a-z-animals.com/animals/chiweenie/
130,Chorkie,https://a-z-animals.com/animals/chorkie/
131,Chow Chow,https://a-z-animals.com/animals/chow-chow/
132,Chow Shepherd,https://a-z-animals.com/animals/chow-shepherd/
133,Cinnamon Ferret,https://a-z-animals.com/animals/cinnamon-ferret/
134,Clumber Spaniel,https://a-z-animals.com/animals/clumber-spaniel/
135,Cockalier,https://a-z-animals.com/animals/cockalier/
136,Cockapoo,https://a-z-animals.com/animals/cockapoo/
137,Cockatiel,https://a-z-animals.com/animals/cockatiel/
138,Cockatoo,https://a-z-animals.com/animals/cockatoo/
139,Cocker Spaniel,https://a-z-animals.com/animals/cocker-spaniel/
140,Collie,https://a-z-animals.com/animals/collie/
141,Corgidor,https://a-z-animals.com/animals/corgidor/
142,Corgipoo,https://a-z-animals.com/animals/corgipoo/
143,Corkie,https://a-z-animals.com/animals/corkie/
144,Corman Shepherd,https://a-z-animals.com/animals/corman-shepherd/
145,Corn Rex Cat (Cornish Rex),https://a-z-animals.com/animals/corn-rex-cat-cornish-rex/
146,Coton de Tulear,https://a-z-animals.com/animals/coton-de-tulear/
147,Curly Coated Retriever,https://a-z-animals.com/animals/curly-coated-retriever/
148,Czechoslovakian Wolfdog,https://a-z-animals.com/animals/czechoslovakian-wolfdog/
149,Dachsador,https://a-z-animals.com/animals/dachsador/
150,Dachshund,https://a-z-animals.com/animals/dachshund/
151,Dalmadoodle,https://a-z-animals.com/animals/dalmadoodle/
152,Dalmador,https://a-z-animals.com/animals/dalmador/
153,Dalmatian,https://a-z-animals.com/animals/dalmatian/
154,Dapple Dachshund,https://a-z-animals.com/animals/dapple-dachshund/
155,Deer Head Chihuahua,https://a-z-animals.com/animals/deer-head-chihuahua/
156,Deutsche Bracke,https://a-z-animals.com/animals/deutsche-bracke/
157,Devon Rex,https://a-z-animals.com/animals/devon-rex/
158,Doberman Pinscher,https://a-z-animals.com/animals/doberman-pinscher/
159,Dog,https://a-z-animals.com/animals/dog/
160,Dogo Argentino,https://a-z-animals.com/animals/dogo-argentino/
161,Dogue De Bordeaux,https://a-z-animals.com/animals/dogue-de-bordeaux/
162,Dorgi,https://a-z-animals.com/animals/dorgi/
163,Dorkie,https://a-z-animals.com/animals/dorkie/
164,Double Doodle,https://a-z-animals.com/animals/double-doodle/
165,Doxiepoo,https://a-z-animals.com/animals/doxiepoo/
166,Doxle,https://a-z-animals.com/animals/doxle/
167,Draco Volans Lizard,https://a-z-animals.com/animals/draco-volans/
168,Drever,https://a-z-animals.com/animals/drever/
169,Dunker,https://a-z-animals.com/animals/dunker/
170,Egyptian Mau,https://a-z-animals.com/animals/egyptian-mau/
171,English Bulldog,https://a-z-animals.com/animals/english-bulldog/
172,English Cocker Spaniel,https://a-z-animals.com/animals/english-cocker-spaniel/
173,English Cream Golden Retriever,https://a-z-animals.com/animals/english-cream-golden-retriever/
174,English Foxhound,https://a-z-animals.com/animals/english-foxhound/
175,English Pointer,https://a-z-animals.com/animals/english-pointer/
176,English Setter,https://a-z-animals.com/animals/english-setter/
177,English Shepherd,https://a-z-animals.com/animals/english-shepherd/
178,English Springer Spaniel,https://a-z-animals.com/animals/english-springer-spaniel/
179,Entlebucher Mountain Dog,https://a-z-animals.com/animals/entlebucher-mountain-dog/
180,Epagneul Pont Audemer,https://a-z-animals.com/animals/epagneul-pont-audemer/
181,Eskimo Dog,https://a-z-animals.com/animals/eskimo-dog/
