no,reg number,name of establishment,address,products
1,2100/02028,"Donggang Changping Food Co., Ltd","No.8 Yingbin Avenue, Xinxing District, Donggang City, Liaoning, China.",Fishery Products
2,2100/02315,"Donggang Defeng Foodstuff Co., Ltd","Kulongshan, Wusifarm, Donggang City, Liaoning, China",Fishery Products
3,2100/02248,"Dandong Taifeng Foodstuff Co., Ltd.","No.99 Jianshe Road, Donggang City, Liaoning Pro, China",Fishery Products
4,2100/02455,"Donggang Jufeng Food Co.,Ltd","South Village Of Tufang Xinxing Area Donggang City, Liaoning",Fishery Products
5,2100/02458,"Dandong Yuanyi Refined Seafoods Co., Ltd.","No.73 Jianshe Road, Donggang, Liaoning, China",Fishery Products
6,2100/02568,"Dandong Hongfeng Foodstuff Import and Export Co.,Ltd","No.177 Langdong Road, Donggang City, Liaoning, China",Fishery Products
7,2100/02603,"Donggang Xinghai Food Co.,Ltd","Bakeshu, Xincheng District Donggang City, Liaoning,china",Fishery Products
8,2100/02604,"Donggang Kangling Food Co.,Ltd","North Yingbin Road ,dandong Area,donggang City, Liaoning Province",Fishery Products
9,2100/02611,"Dandong Yongming Food Co.,Ltd.",No.189 Youhao Road Donggang City Liaoning Pro China,Fishery Products
10,2100/02615,"Dandong Hailong Foodstuff Co.,Ltd.",Hailong Village Qianyang Towm Donggang City Liaoning Province,Fishery Products
11,2100/02689,"Dandong Grand Ocean Foods Co., Ltd.","Xinan Village, Qianyang Town, Donggang City, Liaoning Province, China.",Fishery Products
12,2100/02789,Home Sea International Company Limited,"Xiyang Village, Xiyang Town Wafangdian City, Liaoning, China",Fishery Products
13,2100/02803,"Donggang Qiyun Aquatic Products Processing Co.,Ltd","South Tufang Village, Xinxing District Donggang City, Liaoning Province",Fishery Products
14,2100/02821,"Donggang Jinjia Seafoods Co.,Ltd",No.5 Zhongyang Street Donggang City Liaoning Province,Fishery Products
15,2100/02822,"Donggang Tongyu Foodstuff Co.,Ltd.",Xinxing District Donggang City Liaoning China,Fishery Products
16,2100/02875,"Donggang Haimeng Foodstuff Co.,Ltd.","Bakeshu Village,xincheng District,donggang City,liaoning",Fishery Products
17,2100/02928,"Donggang Shenglong Foodstuff Co.,Ltd.",Xiaosi Village Xincheng District Donggang City,Fishery Products
18,2100/02935,"Donggang Shengrun Foodstuff Co.,Ltd","Zuomu Village,xincheng District,donggang City, Liaoning",Fishery Products
19,2100/02940,"Donggang Huiyuan Food Co., Ltd","Development Zone,dahai Industry Park, Friend Street No.10 ,donggang City, Liaoning China",Fishery Products
20,2100/02943,"Donggang City Hongkai Food Co., Ltd","Changsheng Village, Pusamiao Town, Industry Park Donggang Of Dandong City",Fishery Products
21,2100/02968,"Donggang Taihua Foodstuff Co.,Ltd.","No.222 Huancheng Street,donggang City,china",Fishery Products
22,3200/02002,"LIANYUNGANG JINSHUIWAN FOODSTUFF CO.,LTD","No.28 Haizhou Road,luoyang Town,ganyu County,jiangsu Province","FROZEN AND COOKED SHELLFISH PRODUCTS,FROZEN AQUATIC PRODUCTS (FISH/CRAB/SHRIMP/OCTOPUS/ SHELLFISH)?SALTED AQUATIC PRODUCTS (FISH / SHRIMP /SHELLFISH)"
23,3200/02373,"NANTONG XINYOU AQUATIC PRODUCTS CO.,LTD.","No.18,xiangtang Road,lusi Town,qidong City,jiangsu,china",FROZEN AQUATIC PRODUCTS;SALTED JELLYFISH
24,3200/02511,"QIDONG  JIAHE FOOD CO.,LTD.","No.129,shuichan Road,lvsigang,qidong City,jiangsu,china",FROZEN AQUATIC PRODUCTS
25,3300/01005,"Zhejiang Huangguan Foodstuff Co.,Ltd.","Jiangkou Food Industry Development Zone,taizhou City,zhejiang Province,china",Fishery Products
26,3300/02001,Aquatic Products Processing Factory of China National Zhoushan Marine Fisheries Company,"Pingyangpu, Putuo, Zhoushan, Zhejiang, China",Fishery Products
27,2100/02802,"DONGGANG ZHIHONG AQUATIC FROZEN PRODUCTS PROCESSING Co.,Ltd","South Tufang Village, Xinxing District, Donggang City, Dandong, Liaoning Province, China",fishery products
28,3300/02003,"Zhejiang  Industrial Group Co.,Ltd.Cold Storage Factory","Dagan, Putuo, Zhoushan, Zhejiang",Fishery Products
29,3300/02004,"Zhoushan Zhenyang Developing Co., Ltd.",88 Hailisheng Road Lincheng Zhoushan Zhejiang China,Fishery Products
30,3300/02008,"Zhoushan Xifeng Aquatic Co., Ltd.","No. 25 Jinboyuan Road, Ganlan, Dinghai, Zhoushan, Zhejiang, China",Fishery Products
31,3300/02011,"Zhejiang Zhengsheng Import & Export Co.,Ltd.",Songmen Wenling Zhejiang China,Fishery Products
