no,reg number,name of establishment,address,products
1,KID-147,"YONWOO COLD STORAGE CO., LTD.","228, Chungmu-daero, Seo-gu, Busan, Republic Of Korea",
2,KID-107,"Dongwon Industry Co., Ltd(BUSAN PLANT)","147, Wonyang-ro, Seo-gu, Busan, Republic Of Korea",Fishery product
3,KID-081,NATIONAL FEDERATION OF FISHERIES COOPERATIVES KAM CHUN HANG DISTRIBUTION  CENTER,"119, Wonyang-ro, Seo-gu, Busan",Frozen Fish
4,KID-084,"HWAJIN ENETRPRISES  CO.,LTD WEST ICHEON DISTRIBUTION&PROCESSING CENTER","145, Ijang-ro, Majang-myeon, Icheon-si, Gyeonggi-do, South Korea",Frozen Fish
5,KID-131,"Namdo Kkomak Co.,Ltd","90-46, 90-44 Moraemokgil, Yulchon, Yeosu-si, Jeollanam-do, Republic Of Korea",Fishery Product
6,KID-127,"Our Family Co., Ltd.","173, Wangnim-ro, Opo-eup Gwangju-si, Gyeonggi- Do, Republic Of Korea",Fishery product
7,KID-132,Gimpo Seafood Export Center,"54, Wanjeong-ro 188beon 2-gil, Seo-gu, Incheon, Republic Of Korea",Fishery Product
8,1206001-6261103,SUNSTAR,-,Fishing vessel (BOTTOM LONGLINE FISHERIES)
9,1405002-6261100,KINGSTAR,-,Fishing vessel (BOTTOM LONGLINE FISHERIES)
10,KID-116,"M.H FISHERY CO.,LTD","61-3, Dadae-ro 1066beon-gil, Saha-gu, Busan,  Republic Of Korea",Fishery product
11,0104003-6260001,SHILLA JUPITER,-,Fishing Vessel (Distant Water Tuna Purse Seine Fisheries)
12,KID-149,"WOOYANG COLD STORAGE Co.,LTD SECOND FACTORY","234, Chungmu-daero, Seo-gu, Busan, Republic Of Korea",
13,KID-096,"OTTOGI SF Co., Ltd.","2771, Namhaean-daero, Goseong-eup, Goseong-gun, Gyeongsangsam-do, Korea",Frozen Fish
14,KID-155,INCHEON SEAFOOD EXPORT DISTRIBUTION CENTER,"35, Chukhang-daero 296beon-gil, Jung-gu, Incheon, Republic Of Korea",Fishery product
15,KID-159,Samhwa Agri-Fishery,"10, Jangpyeong-ro 71beon-gil, Saha-gu, Busan, Republic Of Korea",Fishery product
16,KID-108,"Chungsanbada co., Ltd","22-7, Nonggongdanji-4 Gil, Wando-eup, Wando-gun, Jeollanam-do, Republic Of Korea","Live, Frozen, Canned, Dried abalone"
17,KID-102,"YOU WANG CO.,LTD","10, Eulsukdo-daero 677 Beon-gil, Saha-gi, Busan, Republic Of Korea",Frozen Fish
18,KID-002,"SAMJIN GLOBALNET CO., LTD","269 Jangpyeong-ro, Saha-gu, Busan",Frozen Fish
19,KID-003,"CHONG YANG INDUSTRY CO., LTD","359 Wonyang-ro, Saha-gu, Busan, Korea",Frozen Fish
20,KID-004,"SHINWOO AGRI-FISHERY CO., LTD","1,dadaedong-ro 6beon-gil, Saha-gu,busan,korea",Frozen Fish
21,KID-005,"SAMSUNG COLD STORAGE CO., LTD","313, Wonyang-ro, Saha-gu, Busan",Frozen Fish
22,KID-006,Dong Yang Cold Storage Songdo Branch ,"140, Chungmu-daero, Seo-gu, Busan",Frozen Fish
23,KID-007,"YOUNG SIN FISHERIES CO., LTD","3, Sinchu-gil, Dolsan-eup, Yeosu-si, Jeollanam-do, Korea",Frozen Fish
24,KID-008,"DONGWON INDUSTRY CO.,LTD BUSAN COLD STORAGE CENTER","147,wonyang-ro,seo-gu,busan,korea",Frozen Fish
25,KID-009,"HAEWON COLD STORAGE CO., LTD","67, Wonyang-ro, Seo-gu, Busan",Frozen Fish
26,KID-010,"DONGWON TONGYOUNG FISHERIES, Co.,LTD","24, Gamcheonhang-ro, Saha-gu, Busan",Frozen Fish
27,KID-054,"SHIN HYUN MARINE CO.,LTD","265, Dusong-ro, Saha-gu, Busan, Korea",Frozen Fish
28,KID-012,"WOO SHIN COLD STORAGE CO., LTD","123, Deungdae-ro, Seo-gu, Busan",Frozen Fish
29,KID-014,"SAJO SEAFOOD CO., LTD","71, Wonyang-ro, Seo-gu, Busan, Korea",Frozen Fish
30,KID-015,"HEE CHANG TRADING CO., LTD","146, Chungmu-daero, Seo-gu, Busan",Frozen Fish
31,KID-016,"POSUNG COLD STORAGE CO., LTD","139, Wonyang-ro, Seo-gu, Busan",Frozen Fish
32,KID-018,"BORIM LOGISTICS CO., LTD. BUSAN COLD STORAGE","73, Wonyang-ro, Seu-gu Busan",Frozen Fish
33,KID-020,"Samil Cold Storage Co.,Ltd 2nd Logistics Center","2239, Gamcheonhang-ro, Saha-gu, Busan",Frozen Fish
34,KID-021,SAMWON SEA FOOD,"51, Dasan-ro, Saha-gu, Busan",Frozen Fish
35,KID-086,Agricultural Corp. HUMANWELL Co.,"130,  Noi-gil, Nongong-eup, Dalseong-gun, Daegu, Korea",Frozen Fish
36,KID-026,"KOREA COLD STORES CO., LTD GAMCHUN FIRST FACTORY","353, Wonyang-ro, Saha-gu, Busan",Frozen Fish
37,KID-088,"SEA SKY GLOBAL CO.,LTD.","111, Wonyang-ro, Seo-gu, Busan, Korea",Frozen Fish
