no,reg number,name of establishment,address,products
1,DL 10,"Workshop 2, Tho Quang Seafood Processing and Export Company","Da Nang Fisheries Service  Industrial Zone, Tho Quang Ward, Son Tra District, Da Nang City",Frozen
2,DL 46,Ha Tinh seaproducts import export share Company (HA TINH SEAPRODEX CO),"Thach Son Village, Thach Ha District, Ha Tinh Province",Frozen
3,DL 49,Quang Ninh Aquatic Products Export Joint Stock Company No 2 (Aquapexco),"Hamlet 7, Road 10, Quang Yen Town, Yen Hung District, Quang Ninh Province","Frozen, Dried"
4,DL 415,PHU MINH HUNG seafood joint stock company - PHUMINHHUNG JOSTOCO,"Road 10, Quang Yen Town, Yen Hung District, Quang Ninh Province",Frozen
5,DL 517,"QuangNinh Seafoods Processing And Exporting Company Limited (QUANGNINH SEAFOODS CO., LTD)","Zone 1, Hai Yen Ward, Mong Cai City, Quang Ninh Province",Frozen
6,HK 535,"THAO LINH 908 Limited Liability Company - THAO LINH 908 Co., Ltd","No.15, Minh Khai Street, Ha Lam Ward, Ha Long City, Quang Ninh Province",Dried
7,DL 536,IMPORT AND EXPORT SEAFOOD PROCESSING FACTORY - SON HAI MINH INVESTMENT ONE MEMBER COMPANY LIMITED (SOHAMICO).,"Dong Trung Hamlet, Dong Xa Commune, Van Don District, Quang Ninh Province",Frozen
8,DH 40,HaLong Canned Food Joint Stock Corporation - HALONG CANFOCO,"71 Le Lai Street, May Chai Ward, Ngo Quyen District, Hai Phong City",Canned
9,DL 42,Hai Phong Export Seaproducts processing Company  - SPC,"101 Ngo Quyen Street, Ngo Quyen District, Hai Phong City",Frozen
10,DL 73,Ha Long Service and Import Export  joint stock Company - HALONGSIMEXCO,"409 Le Lai Street, Ngo Quyen District, Hai Phong City",Frozen
11,DL 93,"Viet Truong Co., Ltd.","Vinh Niem Industrial Zone, Vinh Niem Ward, Le Chan District, Hai Phong City",Frozen
12,DL 168,SEAPRODEX HAIPHONG,"173 Ngo Quyen Street, May Chai Ward, Ngo Quyen District, Hai Phong City",Frozen
13,DL 74,Ha Long Fishery  Discovery Company - Ha Long FIDICOM	,"409 Le Lai Street, Ngo Quyen District, Hai Phong City",Frozen
14,DL 425,HaLong Factory for production of Cakes filled with seafood - HaLong service and import export joint stock company (HALONG SIMEXCO),"409 Le Lai Street, Ngo Quyen District, Hai Phong City",Frozen
15,DL 494,Trung Son Hung Yen Foodstuff Corporation - TRUNG SON CORP.,"Nhu Quynh Town, Van Lam District, Hung Yen Province",Frozen
16,DL 55,Branch of Ha Noi Seaproducts Import Export joint stock Corporation (SEAPRODEX HANOI) - Xuan Thuy Seaproducts  processing Factory,"Xuan Vinh Village, Xuan Truong District, Nam Dinh Province",Frozen
17,NM 507,"Trung Thanh Company Limited - Trung Thanh Co., Ltd","Lot D, Dong Van Industrial Zone, Duy Tien District, Ha Nam Province",Fish sauce
18,DL 429,"Viet Nam Rich Beauty Food company Limited (RB Co., LTD.)","Tan Son Fishing Port, Thai Thuy District, Thai Binh Province",Frozen
19,DL 47,Thanh Hoa fishery import - export joint stock company (HASUVIMEX),"Lot E, Le Mon Industrial Zone, Thanh Hoa City, Thanh Hoa Province",Frozen
20,DL 508,"LONG HAI TRADING -TRANSPORTATION-SEA PRODUCT - PROCESSING JOINT STOCK COMPANY (LONG HAI CO.,JSC)","Tien Phong Village, Hai Binh Commune, Tinh Gia District, Thanh Hoa Province",Frozen
21,NM 519,"Hoa Hai seaproducts processing company limited (HOA HAI Co., Ltd.)","Hoa Hai Hamlet, Hau Loc Commune, Hau Loc District, Thanh Hoa Province",Fish sauce
22,DL 247,"SEAPRODEXIM CO., NGHE AN II","Cau Giat Town, Quynh Luu District, Nghe An Province",Frozen
23,DL 45,South Ha Tinh Seaproduct  Import & Export Joint Stock company - SHATICO ,"Vung Ang Industrial Zone, Ky Anh District, Ha Tinh Province",Frozen
24,DL 171,Five stars Seafoods Joint Stock Company - FISSCO,"Thanh Trach Village, Bo Trach District , Quang Binh Province",Frozen
25,DL 336,Vinashin Quang Binh Trading and Tourism Limited Company,"National Road 1a, Phu Hai Precinct, Dong Hoi City, Quang Binh Province",Frozen
26,DL 41,Quang Ninh Seaproducts Import - Export Company,"35 Ben Tau Street, Ha Long City, Quang Ninh Province",Frozen
27,DL 12,Song Huong import export seafood company â SOSEAFOOD,"165 Nguyen Sinh Cung Street, Phu Thuong Ward, Phu Vang District,, Thua Thien Hue Province.",Frozen
28,DL 135,Hue Fisheries Development Joint-Stock Company - FIDECO,"No. 86, Nguyen Gia Thieu Street, Hue City, Thua Thien Hue Province",Frozen
29,DL 225,Seaproducts joint stock company of TT Hue - SEASPIMEX TT HUE,"Tan Cang, Thuan An Town, Phu Vang District, Thua Thien Hue Province",Frozen
