no,title,author,price,status_product,link
1,Mudah Kuasai Penjumlahan,Yusup Somadinata,88000,Stock di Gudang Supplier,http://www.bukabuku.com/browses/product/9786230031380/mudah-kuasai-penjumlahan.html
2,"Ibu, Aku Mencintaimu",Chloe + J. Star,34000,Stock di Gudang Supplier,http://www.bukabuku.com/browses/product/9786239841515/ibu-aku-mencintaimu.html
3,Shimmer & Shine : Teman-teman Keren!,Nickelodeon,68000,Stock di Gudang Supplier,http://www.bukabuku.com/browses/product/9786230306655/shimmer-shine-teman-teman-keren!.html
4,Opredo Seri Dongeng Dunia : Putri Salju,Tim Oopredoo,60000,Stock di Gudang Supplier,http://www.bukabuku.com/browses/product/9786230031151/opredo-seri-dongeng-dunia-putri-salju.html
5,Opredo Seri Dongeng Dunia : Jack dan Pohon Kacang,Tim Oopredoo,60000,Stock di Gudang Supplier,http://www.bukabuku.com/browses/product/9786230028021/opredo-seri-dongeng-dunia-jack-dan-pohon-kacang.html
6,Opredo Seri Dino Pintar : Baby Dino Mencari Ibu,Hafez Achda,120000,Stock di Gudang Supplier,http://www.bukabuku.com/browses/product/9786230030840/opredo-seri-dino-pintar-baby-dino-mencari-ibu.html
7,Cerita Binatang: Kumpulan Cerita Binatang untuk Penguatan Karakter Anak,"Heru Kurniawan, Winie Widya Ariany",84000,Stock di Gudang Supplier,http://www.bukabuku.com/browses/product/9786230031212/cerita-binatang-kumpulan-cerita-binatang-untuk-penguatan-karakter-anak.html
8,86 Dongeng Ternama Indonesia,Walidah Ariyani,104000,Stock di Gudang Supplier,http://www.bukabuku.com/browses/product/9786230030994/86-dongeng-ternama-indonesia.html
9,"Buku Kreasi Anak Cerdas: Gunting, Tempel, Warnai (Edisi Merah Muda)",TIM BIP,38400,Stock di Gudang Supplier,http://www.bukabuku.com/browses/product/9786230407703/buku-kreasi-anak-cerdas-gunting-tempel-warnai-(edisi-merah-muda).html
10,"Buku Kreasi Anak Cerdas: Gunting, Tempel, Warnai (Edisi Biru Muda)",TIM BIP,38400,Stock di Gudang Supplier,http://www.bukabuku.com/browses/product/9786230407697/buku-kreasi-anak-cerdas-gunting-tempel-warnai-(edisi-biru-muda).html
11,Aktivitas Alam Semesta,Ririn Kusumaningrum,60000,Stock di Gudang Supplier,http://www.bukabuku.com/browses/product/9786230031007/aktivitas-alam-semesta.html
12,Why? Recycle - Daur Ulang,YeaRimDang,88000,Stock di Gudang Supplier,http://www.bukabuku.com/browses/product/9786230031137/why-recycle--daur-ulang.html
13,55+ Aktivitas Calistung Mengenal Fungsi Benda,A. TABI`IN,47200,Stock di Gudang Supplier,http://www.bukabuku.com/browses/product/9786020528595/55+-aktivitas-calistung-mengenal-fungsi-benda.html
14,55+ Aktivitas Calistung Anak GEMBIRA,"A. TABI`IN, dkk",47200,Stock di Gudang Supplier,http://www.bukabuku.com/browses/product/9786020528601/55+-aktivitas-calistung-anak-gembira.html
15,Petualangan Lu si Ulat Bulu : Topi Jerami Lu,Norrattri,48750,Stock di Gudang Supplier,http://www.bukabuku.com/browses/product/9786230305832/petualangan-lu-si-ulat-bulu-topi-jerami-lu.html
16,Petualangan Lu si Ulat Bulu : Apakah Lu diculik?,Norrattri,48750,Stock di Gudang Supplier,http://www.bukabuku.com/browses/product/9786230305764/petualangan-lu-si-ulat-bulu-apakah-lu-diculik.html
17,Petualangan Lu si Ulat Bulu : Kenari Untuk Pipu,Norrattri,48750,Stock di Gudang Supplier,http://www.bukabuku.com/browses/product/9786230304897/petualangan-lu-si-ulat-bulu-kenari-untuk-pipu.html
18,Aisyah Takut Terlambat,Widya Ross,36000,Stock di Gudang Supplier,http://www.bukabuku.com/browses/product/9786020643090/aisyah-takut-terlambat.html
19,Hari Pertama Zaki Masuk Sekolah,Widya Ross,36000,Stock di Gudang Supplier,http://www.bukabuku.com/browses/product/9786020643076/hari-pertama-zaki-masuk-sekolah.html
20,Ketika Akbar Malas Makan,Widya Ross,36000,Stock di Gudang Supplier,http://www.bukabuku.com/browses/product/9786020643038/ketika-akbar-malas-makan.html
21,Job? Akulah Ahlinya Baking & Pastry,Kugil Publishing,80000,Stock di Gudang Supplier,http://www.bukabuku.com/browses/product/9786230030987/job-akulah-ahlinya-baking-pastry.html
22,Buku Seri Sastra Anak Asia: Lili Ingin Stroberi,Liu Hangyu,100000,Stock di Gudang Supplier,http://www.bukabuku.com/browses/product/9786230407314/buku-seri-sastra-anak-asia-lili-ingin-stroberi.html
23,Buku 7 Good Habits: Cerita Kebiasaan Baik Anak Hebat (Cover 2022),Chandra Wening,111200,Stock di Gudang Supplier,http://www.bukabuku.com/browses/product/9786230407291/buku-7-good-habits-cerita-kebiasaan-baik-anak-hebat-(cover-2022).html
24,Petualangan Anak Nusantara,Wulan Mulya Pratiwi,100000,Stock di Gudang Supplier,http://www.bukabuku.com/browses/product/9786230305696/petualangan-anak-nusantara.html
25,Why? Bacteria and Virus - Bakteri dan Virus,YeaRimDang,88000,Stock di Gudang Supplier,http://www.bukabuku.com/browses/product/9786230030925/why-bacteria-and-virus--bakteri-dan-virus.html
26,Ensiklopedia Saintis Junior: Teknologi,"Alex Woolf, Anita Loughrey",126400,Stock di Gudang Supplier,http://www.bukabuku.com/browses/product/9786024817497/ensiklopedia-saintis-junior-teknologi.html
27,Ensiklopedia Saintis Junior: Matematika,Tim Collins,126400,Stock di Gudang Supplier,http://www.bukabuku.com/browses/product/9786024817480/ensiklopedia-saintis-junior-matematika.html
28,Kakek Pembuat Sepatu Dan Para Peri,Brothers Grimm,38250,Stock di Gudang Supplier,http://www.bukabuku.com/browses/product/9786239841522/kakek-pembuat-sepatu-dan-para-peri.html
29,HAI SULAWESI,Philip Bae,39950,Stock di Gudang Supplier,http://www.bukabuku.com/browses/product/9786239841508/hai-sulawesi.html
30,Si Matahari Dan Si Bulan,Chloe Ahn,38250,Stock di Gudang Supplier,http://www.bukabuku.com/browses/product/9786239841539/si-matahari-dan-si-bulan.html
31,Ripley Readers - Dinosaurus,Ripley`s,33750,Stock di Gudang Supplier,http://www.bukabuku.com/browses/product/9786230306242/ripley-readers--dinosaurus.html
32,Ripley Readers - Hewan Peliharaan,Ripley`s,33750,Stock di Gudang Supplier,http://www.bukabuku.com/browses/product/9786230306266/ripley-readers--hewan-peliharaan.html
33,Ripley Readers - Hiu,Ripley`s,33750,Stock di Gudang Supplier,http://www.bukabuku.com/browses/product/9786230306259/ripley-readers--hiu.html
34,Ripley Readers - Cuaca,Ripley`s,33750,Stock di Gudang Supplier,http://www.bukabuku.com/browses/product/9786230306228/ripley-readers--cuaca.html
