no,product link,product title,product price
1,https://bibitonline.com/produk/tanaman-climbing-pink-rose,Tanaman Pink Climbing Rose (Mawar Rambat Pink),35000
2,https://bibitonline.com/produk/umbi-gladiol-merah,Umbi Gladiol Merah,6000
3,https://bibitonline.com/produk/benih-adenium-mix,Benih Adenium Obesum Kelopak Tunggal Single Mixed 5 Biji – Non Retail,10000
4,https://bibitonline.com/produk/umbi-gladiol-putih,Umbi Gladiol Putih,7000
5,https://bibitonline.com/produk/benih-rumput-jepang-zoysia-matrella-10-gram,Benih Rumput Jepang Zoysia Matrella – 10 gram,25000
6,https://bibitonline.com/produk/umbi-gladiol-ungu,Umbi Gladiol Ungu,6000
7,https://bibitonline.com/produk/paket-hemat-15-jenis-benih-sayuran-bonus-polybag,Paket Hemat 15 Jenis Benih Sayuran (Bonus Polybag),35000
8,https://bibitonline.com/produk/tanaman-white-climbing-rose-mawar-rambat-putih,Tanaman White Climbing Rose (Mawar Rambat Putih),35000
9,https://bibitonline.com/produk/paket-hemat-benih-bunga,Paket Hemat Benih Bunga,40000
10,https://bibitonline.com/produk/benih-strawberry-giant,Benih Strawberry Giant ± 100 Biji – Non Retail,10000
11,https://bibitonline.com/produk/mawar-ungu,Tanaman Mawar Ungu Super Wangi,30000
12,https://bibitonline.com/produk/lee-kuan-yew,Tanaman Lee Kwan Yew (Curtain Creeper),12000
13,https://bibitonline.com/produk/benih-tomat-ungu-indigo-rose-10-biji-non-retail,Benih Tomat Ungu Indigo Rose 10 Biji – Non Retail,7000
14,https://bibitonline.com/produk/umbi-amarilis-mixed,Umbi Amarilis Mixed,25000
15,https://bibitonline.com/produk/benih-lavender-munstead-50-biji-kemasan-foil,Benih Lavender Munstead 50 Biji – Kemasan Foil,15000
16,https://bibitonline.com/produk/sedap-malam,Tanaman Sedap Malam,25000
17,https://bibitonline.com/produk/bunga-matahari-lokal,Benih Bunga Matahari Kuning Lokal – 250 gram,25000
18,https://bibitonline.com/produk/benih-cabai-bolivian-rainbow,Benih Cabai Bolivian Rainbow 10 Biji – Non Retail,7500
19,https://bibitonline.com/produk/binahong-hijau,Tanaman Binahong,30000
20,https://bibitonline.com/produk/tanaman-portulaca-mix,Tanaman Portulaca (Warna Acak) – 1 Rumpun,25000
21,https://bibitonline.com/produk/tanaman-creeping-fig-dolar-kecil,Tanaman Creeping Fig (Dolar Kecil),25000
22,https://bibitonline.com/produk/benih-asparagus,Benih Asparagus F1 20 Biji – Non Retail,10000
