No,Country,total case,total deaths,total recovered
1,USA,80135809,960058 ,51772154
2,India,42850066,512371 ,42147974
3,Brazil,28245551,644604 ,25048072
4,France,22304024,132662 ,19421032
5,UK,18654572,160610 ,16817120
6,Russia,15522756,346235 ,12492732
7,Germany,13714255,122040 ,9829300
8,Turkey,13589511,92719 ,12755700
9,Italy,12494459,153190 ,11019298
10,Spain,10858000,98462 ,8735901
11,Argentina,8838674,125451 ,8596460
12,Iran,6961562,135276 ,6517436
13,Netherlands,6118542,21489 ,3848336
14,Colombia,6049952,138205 ,5870879
15,Poland,5563446,109833 ,4890810
16,Mexico,5413425,315688 ,4664322
17,Indonesia,5231923,146541 ,4554711
18,Ukraine,4734333,104645 ,3952363
19,Japan,4484753,21821 ,3613267
20,South Africa,3659698,98804 ,3524402
21,Philippines,3653526,55763 ,3539106
22,Israel,3566816,10001 ,3436102
23,Czechia,3510360,38257 ,3332875
24,Peru,3496009,209468 ,N/A
25,Belgium,3494223,29920 ,2612841
26,Malaysia,3246779,32390 ,2937655
27,Canada,3242931,36044 ,3088445
28,Portugal,3193178,20866 ,2696696
29,Australia,3049564,4929 ,2812038
30,Chile,2876455,41491 ,1908328
31,Vietnam,2834373,39605 ,2294669
32,Thailand,2731198,22659 ,2542145
33,Switzerland,2685103,13157 ,1920636
34,Romania,2671314,62624 ,2329184
35,Austria,2494535,14594 ,2198462
36,Denmark,2484492,4341 ,1942779
37,Sweden,2422856,16817 ,1808486
38,Greece,2317014,25417 ,2084672
39,Iraq,2293244,24876 ,2224520
40,S. Korea,2058184,7450 ,905128
41,Bangladesh,1935242,28974 ,1763258
42,Serbia,1887596,14904 ,1715637
43,Hungary,1759685,43299 ,1526826
44,Jordan,1582161,13713 ,1415431
45,Georgia,1553668,15888 ,1407776
46,Pakistan,1501680,30040 ,1403968
47,Slovakia,1361039,18252 ,1108780
48,Kazakhstan,1299083,13543 ,1254041
49,Ireland,1276778,6443 ,1134820
50,Morocco,1159157,15916 ,1135897
51,Norway,1136409,1548 ,88952
52,Bulgaria,1072493,35185 ,798303
53,Cuba,1065947,8491 ,1054266
54,Lebanon,1049274,9989 ,682977
55,Croatia,1041524,14869 ,1005744
56,Tunisia,987256,27486 ,925164
57,Nepal,975806,11925 ,952599
58,Bolivia,889747,21378 ,775819
59,Belarus,887582,6375 ,873353
60,Slovenia,880073,6221 ,794142
61,UAE,875258,2296 ,821021
62,Lithuania,865559,8267 ,762668
63,Ecuador,819886,35160 ,N/A
64,Uruguay,819379,6895 ,776042
65,Costa Rica,783437,7894 ,635012
66,Azerbaijan,775432,9261 ,737710
67,Guatemala,758303,16794 ,694801
68,Panama,750760,8019 ,731339
69,Saudi Arabia,740396,8986 ,713592
70,Sri Lanka,638043,16024 ,607119
71,Paraguay,636520,18237 ,597468
72,Finland,622717,2329 ,46000
73,Kuwait,614344,2530 ,595156
74,Singapore,596261,952 ,540287
75,Latvia,589763,5113 ,445154
76,Dominican Republic,572290,4357 ,565641
77,Palestine,570355,5150 ,534103
78,Myanmar,568564,19338 ,524880
79,Venezuela,511073,5609 ,494929
80,Moldova,495415,11117 ,467312
81,Bahrain,495212,1498 ,460570
82,Libya,486752,6201 ,444606
83,Egypt,471460,23806 ,402121
84,Ethiopia,468379,7440 ,409804
85,Estonia,462728,2170 ,335623
86,Mongolia,461347,2159 ,313256
87,Armenia,415757,8338 ,392080
88,Honduras,406872,10608 ,127289
89,Oman,376724,4234 ,358133
90,Bosnia and Herzegovina,368735,15327 ,192218
91,Qatar,354638,662 ,348444
92,Kenya,322702,5638 ,303107
93,Zambia,311264,3945 ,305425
94,Cyprus,308917,825 ,124370
95,North Macedonia,293559,8915 ,278326
96,Réunion,278494,603 ,250359
97,Albania,270370,3445 ,262402
98,Algeria,264201,6805 ,176818
99,Botswana,262652,2614 ,256886
100,Nigeria,254293,3142 ,230755
101,Uzbekistan,235427,1621 ,227423
102,Zimbabwe,233352,5386 ,224940
103,Montenegro,228956,2666 ,223815
104,Mozambique,224920,2189 ,219106
105,Kyrgyzstan,200337,2946 ,194218
106,Luxembourg,178507,985 ,167792
107,Afghanistan,172441,7549 ,152443
108,Maldives,165729,292 ,150436
109,Uganda,163049,3580 ,99859
110,Ghana,158434,1438 ,156625
111,Namibia,157034,4002 ,152480
112,El Salvador,147786,4044 ,123870
113,Laos,141301,612 ,7660
114,Rwanda,129378,1456 ,45522
115,Jamaica,127665,2787 ,75279
116,Cambodia,126977,3020 ,120767
117,Trinidad and Tobago,124076,3574 ,99478
118,Guadeloupe,123622,828 ,2250
119,Cameroon,119107,1920 ,106050
120,Iceland,109494,58 ,75685
121,Martinique,108349,861 ,104
122,Angola,98658,1899 ,96584
123,DRC,85876,1335 ,50930
124,Senegal,85588,1958 ,83516
125,Malawi,85228,2606 ,74715
126,Ivory Coast,81374,791 ,79285
127,Suriname,77716,1310 ,49348
128,French Guiana,77532,388 ,11254
129,Malta,70739,598 ,68964
130,Eswatini,68993,1389 ,67483
131,Fiji,63650,826 ,63580
132,Madagascar,63433,1350 ,57862
133,Guyana,62668,1213 ,60604
134,French Polynesia,62571,637 ,N/A
135,Sudan,61223,3892 ,40329
136,Hong Kong,60363,300 ,13232
137,Mauritania,58616,977 ,57540
138,Belize,56079,641 ,52995
139,Cabo Verde,55863,400 ,55395
140,Barbados,53884,311 ,50326
141,Syria,53659,3050 ,45403
142,Channel Islands,49133,140 ,46315
143,Gabon,47484,303 ,44999
144,New Caledonia,45326,287 ,34137
145,Papua New Guinea,39909,636 ,37706
146,Seychelles,39181,160 ,38481
147,Curaçao,38737,260 ,37949
148,Burundi,37947,38 ,773
149,Brunei ,37798,111 ,20583
150,Andorra,37589,150 ,36668
151,Togo,36747,271 ,36397
152,Mayotte,36631,187 ,2964
153,Guinea,36393,440 ,32939
154,Aruba,33618,211 ,33355
155,Tanzania,33549,796 ,N/A
156,New Zealand,33317,53 ,16893
157,Bahamas,33052,770 ,26026
158,Lesotho,32434,696 ,23116
159,Faeroe Islands,32044,24 ,7693
160,Mali,30346,720 ,28550
161,Haiti,30260,819 ,25169
162,Mauritius,29954,786 ,26168
163,Benin,26567,163 ,25506
164,Somalia,26260,1345 ,13182
165,Congo,23925,377 ,20178
166,Saint Lucia,22545,357 ,21168
167,Isle of Man,22407,79 ,22054
168,Timor-Leste,22406,125 ,21204
169,Burkina Faso,20751,375 ,20309
170,Taiwan,20056,852 ,17998
171,Cayman Islands,18728,17 ,8553
172,Nicaragua,17895,219 ,4225
173,Tajikistan,17388,124 ,17252
174,South Sudan,16936,137 ,13077
175,Equatorial Guinea,15870,182 ,15620
176,Djibouti,15542,189 ,15343
177,Gibraltar,14873,101 ,13993
178,San Marino,14207,112 ,13703
179,CAR,14187,113 ,6859
180,Grenada,13526,214 ,13101
181,Gambia,11924,365 ,11461
182,Yemen,11741,2123 ,8567
183,Greenland,11565,12 ,2761
184,Bermuda,11316,122 ,10983
185,Liechtenstein,11293,75 ,10853
186,Dominica,10801,57 ,9947
187,Bhutan,10112,6 ,6455
188,Saint Martin,9827,63 ,1399
189,Eritrea,9689,103 ,9559
190,Sint Maarten,9526,85 ,9380
191,Monaco,9217,51 ,8986
192,Niger,8738,303 ,8406
193,Comoros,8021,160 ,7812
194,Guinea-Bissau,7907,166 ,6935
195,Sierra Leone,7663,125 ,N/A
196,Caribbean Netherlands,7514,31 ,7369
197,Antigua and Barbuda,7408,135 ,7189
198,Liberia,7360,290 ,5747
199,Chad,7214,190 ,4874
200,St. Vincent Grenadines,6737,105 ,6568
201,British Virgin Islands,6050,62 ,N/A
202,Sao Tome and Principe,5930,72 ,5847
203,Turks and Caicos,5846,36 ,5763
204,Solomon Islands,5790,83 ,1530
205,Saint Kitts and Nevis,5523,42 ,5449
206,St. Barth,3735,6 ,N/A
207,Palau,3563,6 ,2743
208,Kiribati,2833,11 ,1211
209,Anguilla,2506,9 ,2476
210,Saint Pierre Miquelon,1063,1 ,1035
211,Diamond Princess,712,13 ,699
212,Wallis and Futuna,454,7 ,438
213,Tonga,234, ,38
214,Montserrat,163,2 ,161
215,Falkland Islands,89, ,N/A
216,Macao,79, ,79
217,Samoa,33, ,3
218,Vatican City,29, ,28
219,Vanuatu,15,1 ,6
220,Western Sahara,10,1 ,8
221,MS Zaandam,9,2 ,7
222,Marshall Islands,7, ,7
223,Cook Islands,4, ,
224,Saint Helena,2, ,2
225,Micronesia,1, ,1
226,China,107851,4636 ,101491
