no,nama kawasan,provinsi,kabupaten
1,Krakatau Industrial Estate Cilegon,Banten,"Kota Cliegon, Banten"
2,Kawasan Industri dan Pergudangan Cikupamas,Banten,"Kab. Tangerang, Banten"
3,Taiwan International Park,(belum diset),(belum diset)
4,Kawasan Industri Kencana Alam,Banten,"Kab. Tangerang, Banten"
5,Kawasan Industri Pasar Kemis,Banten,"Kab. Tangerang, Banten"
6,Kawasan Industri PT. Nikomas Gemilang,Banten,"Kab. Serang, Banten"
7,Moderncikande Industrial Estate,Banten,"Kab. Serang, Banten"
8,Kawasan Industri Millennium Industrial Estate,Banten,"Kab. Tangerang, Banten"
9,Sarana Industrial Point,(belum diset),(belum diset)
10,Kawasan Industri dan Pergudangan Taman Tekno BSD,Banten,"Kota Tangerang Selatan, Banten"
11,Bekasi International Industrial Estate,Jawa Barat,"Kab. Bekasi, Jawa Barat"
12,Kawasan Industri Gobel,Jawa Barat,"Kota Bekasi, Jawa Barat"
13,Kawasan Industri Lippo Cikarang,Jawa Barat,"Kab. Bekasi, Jawa Barat"
14,Jatengland Industrial Park Sayung,Jawa Tengah,"Kab. Demak, Jawa Tengah"
15,Panbil Industrial Estate,Kepulauan Riau,"Kota Batam, Kepulauan Riau"
16,Kawasan Industri Pesawaran,Lampung,Pesawaran
17,East Jakarta Industrial Park,Jawa Barat,"Kota Bekasi, Jawa Barat"
18,Greenland International Industrial Center,Jawa Barat,"Kab. Bekasi, Jawa Barat"
19,Kawasan Industri Marunda Center,Jawa Barat,"Kota Bekasi, Jawa Barat"
20,Cibinong Center Industrial Estate,Jawa Barat,"Kab. Bogor, Jawa Barat"
21,Kawasan Industri Way Pisang,Lampung,Lampung Selatan
22,Kawasan Industri Terpadu Indonesia China,Jawa Barat,"Kab. Bekasi, Jawa Barat"
23,Kawasan Industri Sentul,Jawa Barat,"Kab. Bogor, Jawa Barat"
24,Karawang International Industrial City,Jawa Barat,"Kab. Karawang, Jawa Barat"
25,Sidoarjo Industrial Estate Brebek,Jawa Timur,"Kab. Sidoarjo, Jawa Timur"
26,Kawasan Industri Sekupang Makmur Abadi,Kepulauan Riau,"Kota Batam, Kepulauan Riau"
27,Kawasan Industri Jababeka Tbk.,Jawa Barat,"Kota Bekasi, Jawa Barat"
28,Kawasan Industri Rancaekek,Jawa Barat,"Kab. Sumedang, Jawa Barat"
29,Mandalapratama Permai Industrial Estate,(belum diset),(belum diset)
30,Kawasan Industri Artha Industrial Hill,Jawa Barat,"Kab. Karawang, Jawa Barat"
31,Kawasan Industri GT Tech Park,Jawa Barat,"Kab. Karawang, Jawa Barat"
32,Kawasan Industri Tuban,Jawa Timur,"Kab. Tuban, Jawa Timur"
33,Latrade Industrial Park,Kepulauan Riau,"Kota Batam, Kepulauan Riau"
34,MM2100 Industrial Town,Jawa Barat,"Kota Bekasi, Jawa Barat"
35,Surabaya Industrial Estate Rungkut,Jawa Timur,"Kota Surabaya, Jawa Timur"
36,Java Integrated Industrial and Ports Estate,Jawa Timur,"Kab. Gresik, Jawa Timur"
37,Kawasan Industri Kujang Cikampek,Jawa Barat,"Kab. Karawang, Jawa Barat"
38,Kawasan Industri Mitrakarawang,Jawa Barat,"Kab. Karawang, Jawa Barat"
39,Podomoro Industrial Park,(belum diset),(belum diset)
40,Suryacipta City Of Industry,Jawa Barat,"Kab. Karawang, Jawa Barat"
41,Kawasan Industri Lion,Jawa Barat,"Kab. Purwakarta, Jawa Barat"
42,Kota Bukit Indah Industrial City,(belum diset),(belum diset)
43,Kawasan Industri Malindo Cipta Perkasa,(belum diset),(belum diset)
44,Hijrah Industrial Estate,(belum diset),(belum diset)
45,Kawasan Industri Indotaisei,Jawa Barat,"Kab. Karawang, Jawa Barat"
46,Kawasan Industri Kendal,Jawa Tengah,"Kab. Kendal, Jawa Tengah"
