no,nama media,jenis media,penanggung jawab,pemimpin redaksi,badan hukum,provinsi,alamat,email
1,pikiran-rakyat.com,Siber,Dadang Hermawan,Dadang Hermawan,Kolaborasi Mediapreneur Nusantara,Jawa Barat,"Jl. Peta, Ruko Kopo Plaza Blok A No.13",prmnnewsroom@pikiran-rakyat.com
2,disway.id,Siber,Tomy C. Gutomo,Tomy C. Gutomo,Disway Rumah Berita,Jawa Timur,Jl Walikota Mustajab 76,contact@disway.id
3,Kendarinews.com,Siber,Sawaluddin Lakawa,Sawaluddin Lakawa,sultra media cyber,Sulawesi Tenggara,Jl.Malik Raya No. 50,kendarinewsid@gmail.com
4,Kupastuntas.co,Siber,Donald Harris Sihotang,Donald Harris Sihotang,Yobel Irene Media,Lampung,"Jl. Turi Raya, , No 101, Kec. Tanjung Senang, Bandarlampung",Kupastuntas7@gmail.com
5,sentralberita.com,Siber,Husni Lubis,Husni Lubis,Sentral Media Kreasi Nusantara,Sumatera Utara,Jalan karya kasih gg. kasih dalam No.37 Medan Johor Pangkalan mansyhur,redaksisentralberita@gmail.com
6,pantau.com,Siber,Nuruddin Lazuardi,Nuruddin Lazuardi,Pantau Sumber Berita,DKI Jakarta,"Jl. Batu Tulis Raya No.48 A, Pecenongan, Jakarta Pusat",info@pantau.com
7,Info Indonesia,Cetak,Aldi Gultom,Aldi Gultom, Dua Satu Pro,DKI Jakarta,"Jalan MPR III Nomor 5B Kelurahan Cilandak Barat, Kec Cilandak",koraninfoindonesia@gmail.com
8,mediasatunews.com,Siber,Muhammad Hamzah, Muhammad Hamzah,Aceh Karya Media,Aceh,Jln. Mujahidin II No. 3 Desa Lambaro Skep Kecamatan Kuta Alam Kota Banda Aceh,mediasaturedaksi@gmail.com
9,valoranews.com,Siber,Al Imran,Al Imran,Sandi Tujuh Media ,Sumatera Barat,"Jl. Mangopoh No 12, Kel. Jati Baru, Kecamatan Padang Timur",valoraredaksi@gmail.com
10,dinamikasultra.com,Siber,Umar Marhum,Umar Marhum,Dinamika Sultra Intermedia,Sulawesi Tenggara,"Jl Manggis No 2B,Kel. Kambu, Kec, Kambu  Kota Kendari ",dinamikasultra@gmail.com
11,ceklissatu.com,Siber,Arihta Utama Surbakti,Arihta Utama Surbakti,Alfa Media Satu,Jawa Barat,"Jln.Pramuka, Kp. Babakan Tarikolot No.86",ceklissatu.com@gmail.com
12,kaltengonline.com,Siber,Heronika ,Heronika,Sarana Berita Nusantara,Kalimantan Tengah,"Jalan Tjilik Riwut Km 2,5 Kota Palangka Raya",kaltengonline.com@gmail.com
13,1tulah.com,Siber,Deni Hariadi,Deni Hariadi ,Itulah Media Bersama,Kalimantan Tengah,"Jln. Belakang Stadion No 19 Rt 11 Kelurahan lanjas, Muara Teweh",1tulah.website@gmail.com
14,RiauBISA.com,Siber,Roy Juli Manurung,Roy Juli Manurung,Riau Bisa Media,Riau,"Jalan Utama (via Jalan Selamat) No. 17 RT 002 RW 006, Kelurahan Rejosari, Kecamatan Tenayan Raya",redaksi@riaubisa.com
15,suaradewata.com,Siber,Dewa Ayu Dewi Martika,Dewa Ayu Dewi Martika,Suara Dewata Media,Bali,"Jalan Anyelir Gg. I Nomor 4A, Desa Dauh Peken, Kecamatan Tabanan, Kabupaten Tabanan",suaradewata01@gmail.com
16,lampuijo.id,Siber,Ismail Komar,Ismail Komar,Lampu Ijo Digital,Lampung,"Jalan Imam Bonjol, RT/RW 010/002, Kelurahan Hadimulyo Barat, Kecamatan Metro Pusat, Kota Metro",lampuijo86@gmail.com
