no,kode,sub_klasifikasi
1,1.01.,Bidang Pengembangan Pertanian dan Pedesaan
2,1.01.01,Prasarana Sosial dan Pengembangan/Partisipasi Masyarakat
3,1.01.02,Kredit dan Kelembagaan Pertanian
4,1.01.03,Perkebunan dan Mekanisasi Pertanian
5,1.01.04,Pembibitan
6,1.01.05,Pengendalian Hama/Penyakit Tanaman
7,1.01.06,Peternakan
8,1.01.07,Kehutanan
9,1.01.08,Perikanan
10,1.01.09,"Tanaman Keras, Tanaman Pangan, dan Produk Tanaman Lain"
11,1.01.10,Konservasi dan Penghijauan
12,1.01.99,Subbidang Lainnya
13,1.02.,Bidang Transportasi
14,1.02.01,Pengembangan Sarana Transportasi
15,1.02.01.01,Survei Asal/Tujuan
16,1.02.01.02,Peramalan Permintaan
17,1.02.01.03,Permodelan
18,1.02.01.04,Kebijakan dan Program Investasi
19,1.02.02,Legislasi/Peraturan Bidang Transportasi
20,1.02.03,Usaha Jasa Angkutan
21,1.02.03.01,Peraturan Usaha Jasa Angkutan
22,1.02.03.02,Pengelolaan dan Pengembangan Organisasi Usaha Angkutan
23,1.02.03.03,"Analisa Keuangan, Perhitungan Harga Pokok dan Penetapan Tarif"
24,1.02.99.,Subbidang Lainnya
25,1.03.,Bidang Telematika
26,1.03.01,Jasa Konsultan dan Telekomunikasi Darat
27,1.03.01.01,Sentral
28,1.03.01.02,Transmisi
29,1.03.01.03,Jaringan Telekomunikasi
30,1.03.01.04,Teknologi dan Sistem Informasi
31,1.03.01.05,Networking
32,1.03.01.06,Sistem Pemancar dan Penerima Radio dan televisi
33,1.03.01.07,Kontrol dan Instrumen
34,1.03.02,Jasa Konsultan Telekomunikasi Satelit
35,1.03.02.01,Sentral
36,1.03.02.02,Transmisi
37,1.03.02.03,Jaringan Telekomunikasi
38,1.03.02.04,Tegnologi dan Sistem Informasi
39,1.03.02.05,Networking
40,1.03.02.06,Sistem Pemancar dan Penerima Radio dan Televisi
41,1.03.02.07,Kontrol dan Instrumen
42,1.03.02.08,Jasa Konsultansi Sistem Sinyal dan Telekomunikasi
43,1.03.03,Jasa Konsultan Perangkat Keras
44,1.03.03.01,Jasa Konsultan Perangkat Keras: Komputer
45,1.03.03.02,Peripheral
46,1.03.03.03,projector Multimedia
47,1.03.03.04,Input Devices
48,1.03.03.05,Alat Penyimpan Data
49,1.03.03.06,Networking Product
50,1.03.03.07,Perangkat Sistem Informasi khusus
51,1.03.04,Jasa Konsultan Konten
52,1.03.04.01,Konten Distance Learning
53,1.03.04.02,Konten Program TV Interactive
54,1.03.04.03,Konten Program Multimedia
55,1.03.04.04,Konten Program Portal
56,1.03.05,Jasa Konsultan Aplikasi
57,1.03.05.01,Jasa Konsultan: Aplikasi Komputer
58,1.03.05.02,Aplikasi Komunikasi
59,1.03.05.03,Aplikasi Telemetrik
60,1.03.05.04,Jasa Konsultan: Aplikasi GIS
61,1.03.05.05,Aplikasi GPS
62,1.03.06,Jasa Konsultan Perangkat Lunak
63,1.03.06.01,Jasa Konsultan Perangkat Lunak: Komputer
64,1.03.06.02,Jasa Konsultan Perangkat Lunak: Peripheral
65,1.03.06.05,Jasa Konsultan Perangkat Lunak: Alat Penyimpanan Data
66,1.03.06.06,Jasa Konsultan Perangkat Lunak: Networking Product
67,1.03.99,Sub Bidang Lainnya
68,1.04.,Bidang Kepariwisataan
69,1.04.01,"Permintaan, Aspek Transportasi dan Studi Dampak Pariwisata"
70,1.04.02,Penyiapan dan Implementasi Proyek Wisata
71,1.04.03,Pengelolaan Fasilitas Wisata
72,1.04.04,"Museum, Benda-Benda Sejarah, Margasatwa,
Kerajinan dan Lain-lain"
73,1.04.99,Subbidang Lainnya
74,1.05.,Bidang Perindustrian dan Pertambangan
75,1.05.01,Ekonomi Pemasaran dan Ekplorasi Mineral
76,1.05.02,Tegnologi Mineral
77,1.05.03,Komoditi dan Ekploitasi Mineral
78,1.05.04,Perindustrian
79,1.05.04.01,"Ekonomi Industri, Analisa Kebijakan dan
Perencanaan Pendanaan"
80,1.05.04.02,"Pengembangan, Teknologi dan Penelitian
Industri"
