no,tautan,gambar,tipe,judul,lokasi,harga
1,https://infolelang.bri.co.id/home/detailAsset?id_aset=8VM4N&id_category=bangunan,https://infolelang.bri.co.id/uploads/images//2022/02/IMG20210705WA0033_20220225162330.jpg,lelang,PERUMAHAN PRAMBON ASRI MENGANTI,"MENGANTI, GRESIK KAB.",IDR 462.000.000
2,https://infolelang.bri.co.id/home/detailAsset?id_aset=2WIUB&id_category=bangunan,https://infolelang.bri.co.id/uploads/images//2021/04/IMG_20210315_151912_20210430161611.jpg,lelang,Debby Fitriana,"SAWANGAN, DEPOK KOT.",IDR 398.000.000
3,https://infolelang.bri.co.id/home/detailAsset?id_aset=136AN&id_category=bangunan,https://infolelang.bri.co.id/uploads/images//2022/02/DodiSutanto_20220218081107.jpg,lelang,Dodi Sutanto,"MEDAN BARU, MEDAN KOT.",IDR 2.500.000.000
4,https://infolelang.bri.co.id/home/detailAsset?id_aset=NY3P1&id_category=bangunan,https://infolelang.bri.co.id/uploads/images//2022/02/1645146685797_mincompress1_20220224090143.jpg,lelang,TANAH LUAS 1.730 DI BALAMOA TEGAL,"PANGKAH, TEGAL KAB.",IDR 4.330.000.000
5,https://infolelang.bri.co.id/home/detailAsset?id_aset=IEZO5&id_category=bangunan,https://infolelang.bri.co.id/uploads/images//2022/02/1645146719668_mincompress1_20220224090731.jpg,lelang,ruko murah desa pesayangan tegal,"TALANG, TEGAL KAB.",IDR 489.240.000
6,https://infolelang.bri.co.id/home/detailAsset?id_aset=ZB3EN&id_category=bangunan,https://infolelang.bri.co.id/uploads/images//2022/02/IMG20200616WA0003_20220217131614.jpg,lelang,Rumah Tinggal,"JAGAKARSA, JAKARTA SELATAN",IDR 2.272.000.000
7,https://infolelang.bri.co.id/home/detailAsset?id_aset=DC7WJ&id_category=bangunan,https://infolelang.bri.co.id/uploads/images//2022/02/IMG20220108WA0012_20220217132845.jpg,jual_damai,Rumah Tinggal,"LIMO, DEPOK KOT.",IDR 2.167.000.000
8,https://infolelang.bri.co.id/home/detailAsset?id_aset=CRXKZ&id_category=bangunan,https://infolelang.bri.co.id/uploads/images//2022/02/indra1_20220223104002.jpg,lelang,Ruko Strategis di Majalaya,"MAJALAYA, BANDUNG KAB.",IDR 800.000.000
9,https://infolelang.bri.co.id/home/detailAsset?id_aset=CVBTH&id_category=bangunan,https://infolelang.bri.co.id/uploads/images//2022/02/Foto1_20220223105116.jpg,lelang,Rumah Luas Murah di Pinggiran Majalaya,"RANCAEKEK, BANDUNG KAB.",IDR 420.000.000
10,https://infolelang.bri.co.id/home/detailAsset?id_aset=E4HFR&id_category=bangunan,https://infolelang.bri.co.id/uploads/images//2022/02/SHMNo21ENDANG5_20220222172749.jpg,lelang,RUMAH TINGGAL,"ARJASA, SUMENEP KAB.",IDR 450.000.000
11,https://infolelang.bri.co.id/home/detailAsset?id_aset=6N1MH&id_category=bangunan,https://infolelang.bri.co.id/uploads/images//2022/02/WhatsAppImage20211109at85408AM_20220222174032.jpg,lelang,TOKO IBOE DANY PRAWOTO,"SUMENEP, SUMENEP KAB.",IDR 509.300.000
12,https://infolelang.bri.co.id/home/detailAsset?id_aset=OHR84&id_category=bangunan,https://infolelang.bri.co.id/uploads/images//2022/02/20200624_225323_20220222091324.jpg,lelang,Hotel Bandung Endah Parahyangan,"ANDIR, BANDUNG KOT.",IDR 90.000.000.000
13,https://infolelang.bri.co.id/home/detailAsset?id_aset=6UVIL&id_category=bangunan,https://infolelang.bri.co.id/uploads/images//2022/02/WhatsAppImage20210319at160432_20220222094103.jpg,lelang,Ikhsan Nurdin,"SUKASARI, BANDUNG KOT.",IDR 1.100.000.000
14,https://infolelang.bri.co.id/home/detailAsset?id_aset=TYQWH&id_category=bangunan,https://infolelang.bri.co.id/uploads/images//2022/02/WhatsAppImage20210420at135514_20220222104709.jpg,lelang,Koswara,"MARGAHAYU, BANDUNG KAB.",IDR 301.500.000
15,https://infolelang.bri.co.id/home/detailAsset?id_aset=WU8NI&id_category=bangunan,https://infolelang.bri.co.id/uploads/images//2022/02/WhatsAppImage20210420at1355131_20220222105552.jpg,lelang,Koswara,"MARGAHAYU, BANDUNG KAB.",IDR 211.500.000
16,https://infolelang.bri.co.id/home/detailAsset?id_aset=Q9HN5&id_category=bangunan,https://infolelang.bri.co.id/uploads/images//2022/02/WhatsAppImage20210628at1446013_20220222112938.jpg,lelang,RUMAH TINGGAL,"POMALAA, KOLAKA KAB.",IDR 224.408.000
17,https://infolelang.bri.co.id/home/detailAsset?id_aset=623PQ&id_category=bangunan,https://infolelang.bri.co.id/uploads/images//2022/02/20150825_152709CopyCopy_20220222115001.jpg,lelang,RUMAH TOKO,"POMALAA, KOLAKA KAB.",IDR 423.967.102
18,https://infolelang.bri.co.id/home/detailAsset?id_aset=WOXGI&id_category=bangunan,https://infolelang.bri.co.id/uploads/images//2022/02/shm619dandisyaputra_20220222122008.jpg,lelang,RUMAH TOKO,"KOLAKA, KOLAKA KAB.",IDR 378.400.000
19,https://infolelang.bri.co.id/home/detailAsset?id_aset=B1S4L&id_category=bangunan,https://infolelang.bri.co.id/uploads/images//2022/02/WhatsAppImage20220217at113001_20220222115955.jpg,lelang,RUMAH TOKO,"POMALAA, KOLAKA KAB.",IDR 621.947.000
