no,title,year,certificate,run time,genre,rating,description,director and actor,vote,release date
1,Benedetta,2021,Unrated,131,"Biography, Drama, History",6.7,"
A 17th-century nun in Italy suffers from disturbing religious and erotic visions. She is assisted by a companion, and the relationship between the two women develops into a romantic love affair.","Director:
Paul Verhoeven
| 
    Stars:
Virginie Efira, 
Charlotte Rampling, 
Daphne Patakia, 
Lambert Wilson",10467,"VOD Release Date: Friday, Dec. 3"
2,Deadlock,II 2021,R,97,"Action, Thriller",3.4,"
An ex-military man working at a Georgia power plant has to spring into action to prevent disaster when a group of rogue soldiers gain control of the plant and take the employees hostage.","Director:
Jared Cohn
| 
    Stars:
Patrick Muldoon, 
Bruce Willis, 
Matthew Marsden, 
Michael DeVorzon",589,"VOD Release Date: Friday, Dec. 3"
3,"Love, Weddings & Other Disasters",2020,PG-13,96,"Comedy, Romance",5.0,"
It is a multi-story romantic comedy about the people who work on weddings to create the perfect day for a loving couple - while their own relationships are outlandish, odd, crazy and far from perfect.","Director:
Dennis Dugan
| 
    Stars:
Jeremy Irons, 
Maggie Grace, 
Diane Keaton, 
Todd Stashwick",1781,"VOD Release Date: Saturday, Dec. 4"
4,Dear Evan Hansen,2021,PG-13,137,"Drama, Musical",6.1,"
Film adaptation of the Tony and Grammy Award-winning musical about Evan Hansen, a high school senior with Social Anxiety disorder and his journey of self-discovery and acceptance following the suicide of a fellow classmate.","Director:
Stephen Chbosky
| 
    Stars:
Ben Platt, 
Julianne Moore, 
Kaitlyn Dever, 
Amy Adams",9815,"VOD Release Date: Tuesday, Dec. 7"
5,Copshop,2021,D17+,107,"Action, Crime, Thriller",6.2,"
On the run from a lethal assassin, a wily con artist devises a scheme to hide out inside a small-town police station-but when the hitman turns up at the precinct, an unsuspecting rookie cop finds herself caught in the crosshairs.","Director:
Joe Carnahan
| 
    Stars:
Gerard Butler, 
Frank Grillo, 
Alexis Louder, 
Toby Huss",20444,"VOD Release Date: Tuesday, Dec. 7"
6,Agnes,2021,Unrated,93,"Drama, Horror",4.1,"
Rumors of demonic possession at a religious convent prompts a church investigation into the strange goings-on among its nuns. A disaffected priest and his neophyte are confronted with temptation, bloodshed and a crisis of faith.","Director:
Mickey Reece
| 
    Stars:
Molly C. Quinn, 
Sean Gunn, 
Chris Sullivan, 
Hayley McFarland",743,"VOD Release Date: Friday, Dec. 10"
7,Last and First Men,2020,Unrated,70,"Fantasy, Mystery, Sci-Fi",6.7,"
Two billion years ahead of us, a future race of humans finds itself on the verge of extinction. Almost all that is left in the world are lone and surreal monuments, beaming their message into the wilderness.","Director:
Jóhann Jóhannsson
| 
    Star:
Tilda Swinton",2744,"VOD Release Date: Friday, Dec. 10"
8,The Hating Game,2021,R,102,"Comedy, Romance",6.4,"
Resolving to achieve professional success without compromising her ethics, Lucy embarks on a ruthless game of one-upmanship against cold and efficient nemesis Joshua, a rivalry that is complicated by her growing attraction to him.","Director:
Peter Hutchings
| 
    Stars:
Lucy Hale, 
Austin Stowell, 
Damon Daunno, 
Sakina Jaffrey",5869,"VOD Release Date: Friday, Dec. 10"
9,The Last Son,2021,R,96,"Action, Drama, Western",4.7,"
An outlaw attempts to end his evil family line.","Director:
Tim Sutton
| 
    Stars:
Sam Worthington, 
Machine Gun Kelly, 
Thomas Jane, 
Emily Marie Palmer",896,"VOD Release Date: Friday, Dec. 10DVD/Blu-ray Release Date: Tuesday, Jan. 18"
10,Wander Darkly,2020,R,97,Drama,5.8,"
New parents Adrienne and Matteo are forced to reckon with trauma amidst their troubled relationship. They must revisit the memories of their past and unravel haunting truths in order to face their uncertain future.","Director:
Tara Miele
| 
    Stars:
Sienna Miller, 
Diego Luna, 
Beth Grant, 
Brett Rice",1375,"VOD Release Date: Saturday, Dec. 11"
11,Wild Mountain Thyme,2020,PG-13,102,"Comedy, Drama, Romance",5.7,"
A pair of star-crossed lovers in Ireland get caught up in their family's land dispute.","Director:
John Patrick Shanley
| 
    Stars:
Emily Blunt, 
Jamie Dornan, 
Jon Hamm, 
Christopher Walken",7135,"VOD Release Date: Saturday, Dec. 11"
12,The French Dispatch,2021,R,107,"Comedy, Drama, Romance",7.3,"
A love letter to journalists set in an outpost of an American newspaper in a fictional twentieth century French city that brings to life a collection of stories published in ""The French Dispatch Magazine"".","Director:
Wes Anderson
| 
    Stars:
Benicio Del Toro, 
Adrien Brody, 
Tilda Swinton, 
Léa Seydoux",73263,"VOD Release Date: Tuesday, Dec. 14DVD/Blu-ray Release Date: Tuesday, Dec. 28"
13,Dangerous,III 2021,R,99,"Action, Thriller",5.1,"
A reformed sociopath journeys to a remote island to investigate the mystery behind his brother's demise, but soon ends up facing off with more than he bargained for.","Director:
David Hackl
| 
    Stars:
Scott Eastwood, 
Kevin Durand, 
Famke Janssen, 
Tyrese Gibson",3486,"VOD Release Date: Tuesday, Dec. 14"
14,No Time to Die,2021,R13+,163,"Action, Adventure, Thriller",7.4,"
James Bond has left active service. His peace is short-lived when Felix Leiter, an old friend from the CIA, turns up asking for help, leading Bond onto the trail of a mysterious villain armed with dangerous new technology.","Director:
Cary Joji Fukunaga
| 
    Stars:
Daniel Craig, 
Ana de Armas, 
Rami Malek, 
Léa Seydoux",303037,"DVD/Blu-ray Release Date: Tuesday, Dec. 21"
15,Kimetsu no Yaiba: Mugen Ressha-Hen,2020,17+,117,"Animation, Action, Adventure",8.3,"
After his family was brutally murdered and his sister turned into a demon, Tanjiro Kamado's journey as a demon slayer began. Tanjiro and his comrades embark on a new mission aboard the Mugen Train, on track to despair.","Director:
Haruo Sotozaki
| 
    Stars:
Natsuki Hanae, 
Akari Kitô, 
Yoshitsugu Matsuoka, 
Hiro Shimono",45957,"DVD/Blu-ray Release Date: Tuesday, Dec. 21"
16,The Many Saints of Newark,2021,R,120,"Crime, Drama",6.3,"
Witness the making of Tony Soprano. The story that reveals the humanity behind Tony's struggles and the influence his family - especially his uncle, Dickie Moltisanti - had over him becoming the most iconic mob boss of all time.","Director:
Alan Taylor
| 
    Stars:
Alessandro Nivola, 
Leslie Odom Jr., 
Jon Bernthal, 
Vera Farmiga",42989,"DVD/Blu-ray Release Date: Tuesday, Dec. 21"
