no,Nama Perusahaan,Grup,Alamat,Telepon 1,Telepon 2,Fax
1,"Abdi Budi Mulya, PT", ,"Jl.Raya Perniagaan Baru N0.2A-4C Medan, North Sumatera",061-513243,556262,061-324615
2,"Aek Tarum, PT",Tania Selatan,Jl.Basuki Rahmat No.788 Palembang 30127 South Sumetera,0711-811921,811901,0711-811585
3,Agra Masang Perkasa II, ,JL.A.Yani No.102 B Ranto Prapat Labuhan Batu Sumatera Utara,061-571554,,061-511638
4,Agra Masang Perkasa Plantation, ,JL.A.Yani No.102 B Ranto Prapat Labuhan Batu Sumatera Utara,061-571554,,061-511638
5,"Agra Paracitra, PT", ,JL.A.Yani No.102 B Ranto Prapat Labuhan Batu Sumatera Utara,061-571554,,061-511638
6,"Agri Andalas, PT",RGM,Jl.Simalungun No.1 Medan North Sumatera,061-54326,543527,061-543524
7,"Agricinal, PT", ,"Jl.Kapuas No.16, Bengkulu",0736-26346,,0736-23701
8,"Agrikarsa Cendana, PT",Cisadane Raya,"Jl.Kali Besar Barat No.50 GG,Jakarta 11230",(021)6903334,,(021)6906226
9,"Agritasara Prima, PT", ,"Jl.Kedoya Baru, Blok A-IV/5 Kebon Jeruk, Jakarta Barat",021- 5801462,,021- 5801463
10,"Agro Indah Sembada, PT", ,"Bank Pasifik Building 17th Floor, Jl.Jend.Sudirman Kav.7-8 Jakarta 10220",021-5700700,,021-5704596
11,"Agro Indomas, PT", ,"Bank Surya Building 7th Floor, Jl.MH.Thamrind Jakarta Pusat",021-3902250,,021-3902240
12,"Agro Manunggal, PT",Agro Manunggal,"Wisma Daya,5th floor Jl.Asemka No.21 Jakarta Barat",(021) 6903746 - 48,,(021) 6903745
13,Agro Menara Rahmat,Astra,"Jl.Pulo Ayang raya,Blok OR Kav.1 Kawasan industri Pulogadung      Jakarta Timur",(021)4616555,,(021)4616550
14,"Agro Palindo Sakti, PT",Tania Selatan,Jl.Basuki Rahmat No.788 Palembang 30127 South Sumetera,0711-811901,811921,0711-811585
15,"Agro Teknika Pratama, PT", ,"Jl.Padang Kemiling No.12 Padang, West Sumatera",0751-25132,,0751-50905
16,"Agro Wiratama, PT",Labuan,"Aspak Building, 7th Floor room 705, Jl.H.R.Rasuna, Kav.X-2,      No.4, Kuningan, Jakarta 12950",021-5228794,,021-5228793
17,"Agrodesa Palmaindo, PT", ,"Jl.Dempo Dalam I, No.930, Palembang, South Sumatera",0711- 3120198,,0711- 364186
18,Agrointim Respati,Sinar Mas,"JITJ, 5th Floor, Jl.Mangga Dua Raya Jakarta 14430",021-601796,6017998,021-6016181
19,"Agromuko, PT",Tolan Tiga, Jl.Let.Jen.S.Parman No.217 Medan 20112 North Sumatera,061- 552043,,061- 520908
20,Agropanca Modem,Sinar Mas,"JITJ, 5th Floor, Jl.Mangga Dua Raya Jakarta 14430",021-601796,6017998,021-6016181
21,Agrowiyana,Bakrie,"Wisma Bakri,6th FloorJl.H.R.Rasuna Kav.B-1 Jakarta Selatan",(021)5250192,5250212,(021)5200361
22,Agrowiyana (I),Bakrie,"Wisma Bakri,6th FloorJl.H.R.Rasuna Kav.B-1 Jakarta Selatan",(021)5250192,5250212,(021)5200361
23,Aimer Agromas,Sinar Mas,"JITJ, 5th Floor, Jl.Mangga Dua Raya Jakarta 14430",021-6017996,6017998,021-6016181
24,"Alam Sari Lestari, PT", ,"Sunter Mall Blok 1 No.7, Jl.Danau Sunter Utara Kav.G7 Jakarta 14350",021-6410412,6400759,021-6400760
25,"Alicia Indonesia, PT",Tolan Tiga, Jl.Let.Jen.S.Parman No.217 Medan 20112 North Sumatera,061-552043,,061-520908
26,"Alno Agro Utama, PT", ,Jl.Siti Khadijah No.62 Bengkulu,0736-23678,,0736-23678
27,"Aloer Timur, PT",Monopoli Raya,"Jl.Sunggal No.91 Medan, North Sumatera",061-851744,,061-851625
28,"Amaltani, PT", ,"Jl.Nibungbaru No. 12-14 Medan, North Sumatera",061-532515,535002,061-535002
29,"AMP Plantation, PT",Karya P Nelayan,"Jl.Samudera,No.26,Padang,West Sumatra",(0751)33435,33451,(0751)32483
30,"Amri Bakti Utama, PT", ,"Jl.Wolter Minginsidi No.12, Poso, Central Sulawesi",0452- 21878,21876, 
31,"Anak Tasik, PT",Anglo-Eastem,"Bumi Dewi Building 3rd floor Jl Imam Bonjol,No.16 D Medan,North Sumatra",(061)550496,5561222, 
32,"Anam Koto, PT", ,"Jl.Khatib.Sulaiman Padang, West Sumatera",0751-52217,,0751-53722
33,"Andalas Inti Estate Corp, PT",RGM,"BNI Building, 20th Floor, Jl.Jend.Sudirman Kav.1 Jakarta 10220",021-5707500,,021-5701771
34,"Aneka Inti Persada,",Salim," Central Plaza, 19-21st Floor, Jl.Jend.Sudirman Kav.47 Jakarta 12930",021-5702288,,021-5702244
35,Aneka Multi Kerta, , ,,, 
36,"Antang Ganda Utama, PT",Antang,"PLAZA MASHILL,9th floor Jl.Jendral Sudirman,Kav.25 Jakarta",(021)5229818-22,,(021)5229816
37,"Antar Mustika Segara, PT",Benua Indah,"Jl.Gunung Sahari Raya,No.1 Blok A,No.8-9, 2nd Floor Jakarta Pusat",(021)6299650-53,,(021)6391761
38,Antari Raya,Sinar Mas,"JITJ, 5th Floor, Jl.Mangga Dua Raya Jakarta 14430",021-6017996,6017998,021-6016181
39,"Archipelago Timur Indah, PT",RGM,"BNI Building, 22nd Floor, Jl.Jend.Sudirman Kav.1 Jakarta 10220",021-5707500,,021-5701771
40,"Arco (Aceh Rubbercorp), PT", ,"Jl.Panglima Polim No.118 Langsa, D.I.Aceh",0641- 21123,, 
41,"Arindo Trisejahtera, PT",Surya Dumai,Jl.Teuku Umar No.48 Pekan Baru Riau,0761-36663,36662, 
42,"Asam Jawa, PT",Labuan,"Jl.Gajah Mada No.40, Medan, North Sumatera",061-536379,555217,061-555271
43,"Asiatic Persada, PT",Asiatic Persada,"Price Water House,12th floor,Room 1210 Jl.H.R.Rasuna Said,Kav.C-3,Jakarta      Selatan",(021)5212914,5212915,(021)5212918
44,"Asririmba Wirabhakti, PT", ,Jl.Meranti No.1 Bengkulu,0736-21867,21970,0736-26938
45,Astra Agro lestari Tbk,Astra,"Jl.Pulo Ayang raya,Blok OR Kav.1 Kawasan industri Pulogadung      Jakarta13930",(021)4616555,,(021)4616550
