no,Nama Perusahaan,Alamat,Telepon,Komoditi
1, KOTA UDANG,"Jl. Kalijaga No. 36, Cirebon, Jawa Barat",0231 - 209057,Sohun
2,"""BUDI"" (CAP JEMPOL/UNTA)","Jl. Kh Zainal Arifin, Cirebon, Jawa Barat",,Soun
3,"""CHANDRA KIRANA""/ INTAN SEJATI","Jl. Ki Beledug Jaya, Cirebon, Jawa Barat",,Soun
4,"""GAOS P""","Jl. Buyut, Cirebon, Jawa Barat",,Sohun
5,"""HASAN""","Jl. Bandengan, Cirebon, Jawa Barat",,Soun
6,"""IRAWAN/IRWAN""","Jl. Leiwung, Cirebon, Jawa Barat",,Soun
7,"""PRIMA""/PERINA","Jl. Suparjo Rustam Km. 4, Banyumas, Jawa Tengah",,Mie Dan Snack
8,"""ROCHYADI""/ DARMA KARYA","Jl. Ki Bledug Jaya, Cirebon, Jawa Barat",,Soun
9,"""SA"" SUGIH AREN. AGUS","Kp Pasir Baros  Campaka Malangbong, Garut, Jawa Barat",,Bahan Sapu Injuk
10,"""SA"" SUGIH AREN. AGUS","Kp Pasir Baros  Campaka Malangbong, Garut, Jawa Barat",,Bahan Sapu Injuk
11,"""SUMBER SARI""","Jl. Desa Luwung, Cirebon, Jawa Barat",0231 - 510318,Soun
12,(NENG TIA),"Kp.cirorek, Garut, Jawa Barat",,Cimol
13,101 PRINTING,"Jl. Simpang Suropati Timur No. 47, Malang, Jawa Timur",,Percetakan Offset
14,"13 PUTRA, PD","Jl. Bendungan, Cirebon, Jawa Barat",,Garam Kristal
15,1368 PT,"Jl. Yos Sudarso No. 72 Lingkungan Tanjung, Banyuwangi, Jawa Timur",,Ikan Kering
16,"160 GOURMET CITRA MAKMUR, PT","Wijaya 2 No. 122 Jalan, Jakarta Selatan, DKI Jakarta",,Roti Dan Kue
17,2 M ADVERTISING,"Jl. Arif Rahman Hakim, Lampung, Lampung",,Papan Reklame
18,2 SIDE (ARYANI),"Desa Karangjati Rt. 12, Sragen, Jawa Tengah",,Pakaian Jadi
19,"3 KENCANA, CV","Kawasan Industri Terboyo Blok G No. 39, Semarang, Jawa Tengah",,Thiner
20,3 SINTERNATIONAL PT ,"Kapuk Kencana No. 8a-b, Jl., Jakarta Utara, DKI Jakarta",,Alat Ukur Peserget
21,"3D NETWORK INDONESIA, PT","Jl. Letjen S Parman Kav 106 A, Jakarta Barat, DKI Jakarta",,Penyedia Alat-alat It
22,"3M INDONESIA, PT","Jl. Diponegoro Tambun, Bekasi, Jawa Barat",,Alat Kedokteran 3m Scotch
23,486 JEANS,"Kp. Bobojong, Bandung, Jawa Barat",,Jaket Jeans
24,"52 SUPER FOOD, PT","Jl. Kebon Manis 100 Mangunsari, Semarang, Jawa Tengah",024 - 707910,Roti
25,555,"Dusun Umbulrejo Rt.04 Rw. Iii, Banyuwangi, Jawa Timur",0333 - 592517,Kerupuk
26,"689, PT","Jl. Raya Deandles Kemantren, Lamongan, Jawa Timur",,Pembekuan Ikan
27,"7SEVEN, PT","Desa Pulodarat Rt.10 Rw. 02, Jepara, Jawa Tengah",0291 - 751001,Furniture
28,"99, CV","Dusun Iii Tinakin Laut, Banggai Laut, Sulawesi Tengah",0462 - 21001,Filet
29,,"Jl. Yos Sudarso No. 4a, Binjai, Sumatera Utara",,Makanan Ringan
30,"A  ONE PRECISION ENGINEERING, PT","Jl. Asoka Lot Sd 62-63 Biie, Bintan, Kepulauan Riau",0770 - 696188,Komponen Otomotif Dan Elektronik
31,"A & K DOOR INDONESIA, PT","Jl. Permata Raya Lot C 38, Bekasi, Jawa Barat",,Wooden Door
32,"A J  RASMA MULIA, PT","Jl. Kembang Rogo, Palu, Sulawesi Tengah",0451 - 470592,Sirtu
33,A KARTA WIJAYA,"Jl. Karta Miharja No.44, Bandung, Jawa Barat",022 - 604061,Alat-alat Dapur
34,"A PLUS PACIFIC/ A HONG, PT","Jl. Prof Dr.ir Soetami Km. 6, Lebak, Banten",0252 - 528283,Internit/papan Gypsum
35,"A SURYA SEJAHTERA ALAMI, CV","Jl. Industri No.56 Rt.02/01, Malang, Jawa Timur",,Rokok Kretek
36,"A&K DOOR INDONESIA, PT/ABE KOGYO  INDO","Kawasan Industri Kiic, Karawang, Jawa Barat",0267 - 640948,Wooden Door
37,"A&P INDUSTRY INDONESIA, PT","Jl. Jababeka Vi Blok J-5a Kawasan Industri Jababeka I, Bekasi, Jawa Barat",021 -,Komponen Tv
38,"A. AMIN FURNITURE, CV","Desa Mambak Rt. 03 Rw. 04, Jawa Tengah, Jawa Tengah",,Furniture
39,"A. SHULMAN PLASTICS, PT","Jl. Surabaya-malang Desa Ngerong, Pasuruan, Jawa Timur",0343 - 854240,Master Bacth
40,A.R.G.S (JAKET TOURING  SYAMSUDIN),"Kampung Rawa, Garut, Jawa Barat",,Jaket Touring
