no,Merk
1,ERA Indonesia
2,ERA AGUNG Prawira
3,CENTURY21 Indonesia
4,HARCOURTS INDONESIA
5,Ray White Tomang
6,LJ Hooker Kelapa Gading
7,CORE PRO
8,ERA HOME
9,METRO MANSION
10,Century21 Signature 2
11,ERA Griya Selaras
12,Regina Realty
13,CENTURY 21 MEDITERANIA
14,ERA MAX
15,ERA TOP
16,PROFESIONAL PROPERTI
17,ONE PROPERTY
18,Imperium Property
19,JLL
20,TIGADUA PROPERTY
21,EASTONS
22,Leads Property
23,Ray White Citra Garden
24,ERA Julizar
25,CIPTAMAS PROPERTINDO
26,JLL
27,PJ PRO
28,THE PREMIUM PROPERTY
29,MAXPRO REALTY
30,RE/MAX INDONESIA
31,PROMEX Indonesia
32,CENTURY21 ZAWA 1
33,DUTA PRO
34,PULAU KECIL PROPERTY INDONESIA
35,GEORGE TOWN
36,LJ HOOKER KELAPA GADING SQUARE
37,RE/MAX GOLDEN STAR
38,CENTURY21 GADING BOULEVARD
39,LEOPALACE21
40,South Property
41,RAY WHITE PRESTIGE KELAPA GADING
42,CAVA PROPERTY
43,TADA PROPERTY
44,Century21 Prioritas
45,CENTURY21 UNITED
46,MNP PROPERTIES
47,Ray White Project
48,XAVIER MARKS FIRST KELAPA GADING
49,ASIA ONE PROPERTY
50,Promex Muara Karang
51,Abie Property
52,PROP2GO
53,KING DAVID PROPERTY
54,NETZ REALTY
55,Esteem Kelapa Gading
56,CUSHMAN
57,KING REALTIES
58,IMPERIAL REALTY
59,CENTURY 21 EXCELENT
60,CENTURY21 ZAWA 3
61,CJ PRO
62,PREMIERE PROPERTY
63,ERA VIVA
64,PropertyPRO
65,ERA WIDIA
66,NOBEL PROPERTY
67,Willica Adaru Property
68,NEWHOUSE
69,SUPER PROPERTI
70,Mediffa Property Agent
71,SUVARNA PROPERTY
72,RUMA.ID
73,PROCLIENT SUNTER
74,JETHRO PROPERTI
75,MEGAH PROEPRTINDO
76,CENTURY21 ZAWA 2
77,HNZ REAL ESTATE
78,MAGNETPRO
79,INDOLAND PROPERTY
80,SKYLINE PROPERTY
81,WISESA PROPERTI
82,RIJAYA REALTY
83,JPI PROPERTY
84,SQM Property
85,Taphomes
86,Marigold Property
87,JBS
88,CUA Property
89,Testing Property
90,Ben Hook Property
91,XAVIER MARKS GADING SERPONG
92,ASIA PROPERTY
93,Ray White Emerald Avenue Bintaro
94,VIP PROPERTY
95,Ray White Lippo Village
96,Century21 Revival
97,ECG ALAM SUTERA
98,BRIDGE
99,CENTURY21 KOPO
100,Lighthouse Property
101,B PRO
102,CENTURY 21 SAPPHIRE
103,GOLD ONE PROPERTY BINTARO JAYA
104,ERA Radiant Bintaro 3 Branch
105,ERA Emerald
106,Synergy Realty
107,ERA GRANDE
108,DAN'S PROPERTY
109,PRIVILEGE PROPERTY
110,EXIST GRACIAS
111,BUKA PROPERTI 
112,JASLIN PROPERTY
113,EXMORE
114,IG PRO
115,TUNAS PROPERTY
116,Discovery Property
117,LUMBUNG PROPERTI
118,EAGLE TREE PROPERTY
119,LANDCHESTER PROPERTY
120,ERA FIESTA PAMULANG BRANCH
121,PROPERTY LAKU
122,GRAND PROPERTY
123,Big Property
124,XAVIER MARKS SIGNET
125,RAY WHITE PRIROTAS MEKAR WANGI
126,Effendri Rais
127,Limar Property
128,Nextpro
129,Starhome
130,Key Property
131,Prospera Property
132,Pendopo Real Property
133,Online1Pro
134,iKita Property
135,Rumah Properti
136,ERA Medina Bintaro
137,Duta Mega Property
138,Century21 Prima Arcade
139,Century21 Prima
140,Horizon Property
141,AMC Club
142,Ichi Home Properti
143,Trust Property
144,Maison Beatrix Property
145,Quick Property
146,ERA Fiesta BSD
147,Epic Fortuna
148,HAUS Realty
149,Eagle Tree Property Beryl
150,Gold Property
151,Sevenseas Property
152,Multiland Indonesia
153,Zenith Property
154,S3 Property
155,Green House Property
156,Crown Realty
157,Winfield 
158,EXIST BROADWAY BSD
159,PETRA PROPERTY
160,D'Best Pro
161,XAVIER MARSK GRAND BEKASI
162,Acasa Property
163,RAY WHITE CENTRAL PADJAJARAN BOGOR
164,DISCOVERY HYPERAQUARE
165,Quin Pro
166,MD Pro
167,Maruli Propertindo
168,Master Home
169,Karunia Sukses Property Solution
170,Prime 360
171,GM Property
172,Century21 Champion
173,Bhinneka Realty
174,Jaswita Realty
175,Savoy Real Estate
176,DB Pro
177,ONESTAR Real Estate
178,DBS Property
179,Dutarka Property
180,Xavier Marks Citra Raya
181,Bandung Utara Realty
182,Graha Zaitun
183,CENTURY 21 CX Pro
184,MR Realty
185,ERA Expert
186,Buana Realty
187,Asia One Property
188,Promex Grand Galaxy
189,Alpha Realty
190,Epic
191,Panen Properti
192,Brighton Real Estate
193,ANeZ Property
194,Agentus Pro
195,Maju Property
196,Amartha Properti
197,REKARU Property
198,Smartpro Realty Bank & ATM Manage Service
199,Nia Property
200,Berkat Property
201,ERA Sky Harapan Indah
202,RAJA Pro
203,Zenith Property Central Bandung
204,JDA Property Consultant
205,Property One
206,Best 1
207,Prestige Property
208,LUI Property
209,SEIS Property
210,Asia Property
211,Mission Property
212,Ray White Central Paskal
213,Aruna Galaxy
214,Frontliner Property
215,Maestro Realty
216,Sentra Properti
217,Dutasena Properti
218,SAP
219,BROLAND
220,Ray White BTC
221,Prime Best Property Solution
222,LJ Hooker Kota Baru Parahyangan
223,RE/MAX Ventura
224,Bintang Property25
225,Lexus IJ Property
226,Adrian Adam Property Network 
227,KAJAPRO
228,Jproperty
229,Snapinn
230,ATM Property
231,Synergy Marketing Care (SMC)
232,Star Up Realty
233,Laxon Realty
234,AMP
235,Xavier Marks Estate Kopo
236,WMW Properti
237,CENTURY21 METRO
238,XAVIER MARKS CBD
239,ACE Realty
240,IQU Property Indonesia
241,Epic
242,RumaHome
243,Harcourts Central BSD
244,Grhakita
245,XAVIER MARKS TJANDRA SOUTH
246,XAVIER MARKS TJANDRA EAST
247,Bee Property
248,HOMELAND INDONESIA
249,SIETO BOULEVARD
250,XAVIER MARKS TJANDRA
251,Golden Rose Property
252,XAVIER MARKS DARMO
253,iProperty
254,Ray White Indonesia
255,Selv Property
256,RED PROPERTY & INTERIOR
257,Bold Property
258,RAY WHITE BUKIT DARMO GOLF
259,Xavier Marks Pioneer
260,RAY WHITE DIPONEGORO
261,BRIGHTON REAL ESTATE
262,ERA KITA
263,TREELINE PROPERTY
264,RAY WHITE JEMURSARI
265,CENTURY21 GOLD
266,XAVIER MARKS HR MUHAMMAD
267,Mandala Property
268,Duta Property Land
269,CASA PROPERTY
270,Edwin Bright
271,Coldwelll Banker Commercial Capital
272,Infiniti Property
273,3 IN ONE PROPERTY
274,Xavier Marks Mulyosari
275,BLESSED to BLESS (B2B PROPERTY)
276,XAVIER MARKS TJANDRA PATOS
277,Blessingland Property
278,ERA Ventura
279,XAVIER MARKS CENTRAL BSD
280,De Mitra Property Agent
281,PIC PROPERTY
282,Winston Central
283,METTA PROPERTY
284,WINSTON PRIMA
285,GEMILANG
286,MAX CAPITAL
287,EPIC PROPERTY
288, 
289,Electra Property
290,Winston Premier
291,RE/MAX Platinum
292,LJ Hooker Serpong
293,Glory Property
294,FAMOUS & RICH PROPERTY
295,HLS Pro
296,Harcourts Harmony
297,Ray White Gading Serpong
298,CENTURY21 CRYTALYS (X) PRO
299,JAM Property
300,BUANA REALTY
301,KAMI Realty
302,SCARLET PRO
303,Bless Realty
304,PROTEA REALTY
305,MONTANA PROPERTY
306,Jumbo Property
307,WINSTON ONE
308,MANSION PROPERTY
309,MVP REALTY
310,FREDDY PROPERTY Indonesia
311,EDEN PROPERTY
312,PILLAR PROPERTY
313,INDOLION PROPERTY
314,U PROPERTY PLAZA GRAHA
315,JAVA PROPERTY CITRALAND
316,AXELL PLAZA SEGI 8
317,RE/MAX EAGLE
318,Xavier Marks Citraland Boulevard
319,Ray White Citraland
320,Ray White Juanda
321,Galaxy Kartini
322,MY PROPERTY
323,Xavier Marks Merr
324,A & A VISION
325,MAGNUM PANCA ABADI
326,Xavier Marks Citraland
327,RAY  WHITE ROYAL RESIDENCE
328,Polaris Property
329,XAVIER MARKS TJANDRA GRANDE
330,U PROPERTY EAST
331,RAY WHITE KARAWACI
332,Ray White Graha Bintaro
333,Champion1 Property
334,Bintang Property
335,CENTURY21 AURORA PROTIGA
