no,nama perusahaan,jenis perizinan,tautan detail
1,27 JANUARI,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/8715?jp=1
2,3G TRUST,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/14357?jp=1
3,AAL RIZKI TADANG PALIE,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/5?jp=1
4,AAY SUTISNA,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/11650?jp=1
5,ABACUS MINERALS HAVESTER,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/9?jp=1
6,ABACUS MULTI MINERAL,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/10?jp=1
7,ABADI BERKAH ALAM,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/16193?jp=1
8,ABADI MINERAL RESOURCES,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/12289?jp=1
9,ABADI OGAN CEMERLANG,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/16?jp=1
10,ABATA MITRA ABADI,IUP OPK,https://modi.esdm.go.id/portal/detailPerusahaan/11217?jp=7
11,ABBASY ANUGERAH JAYA,IUP OPK,https://modi.esdm.go.id/portal/detailPerusahaan/14676?jp=7
12,ABD ROHIM,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/12783?jp=1
13,ABDUL GHOFUR,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/11806?jp=1
14,ABDUL HAIR,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/12454?jp=1
15,ABDUL HALIM,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/13577?jp=1
16,ABDUL KARIM,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/13037?jp=1
17,ABDULLAH,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/12758?jp=1
18,ABDULLAH DAMAR BAMANTARA,IUP OPK,https://modi.esdm.go.id/portal/detailPerusahaan/13239?jp=7
19,ABDUL MUHID,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/11960?jp=1
20,ABDUL MUIZ,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/12412?jp=1
21,ABDUL MURID,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/14303?jp=1
22,ABDUL QODIR ASID,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/14378?jp=1
23,ABE JAYA PERKASA,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/32?jp=1
24,ABISHA BUMI PERSADA,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/36?jp=1
25,Abram Putra Sejahtera,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/15018?jp=1
26,ABSAH INTERNASIONAL,IUP OPK,https://modi.esdm.go.id/portal/detailPerusahaan/9987?jp=7
27,ACES SELARAS,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/11921?jp=1
28,ACHMAD ARIANDI YANUAR,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/12719?jp=1
29,ACHMAD FAISOL,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/11120?jp=1
30,ACHMAD ICHSAN,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/13505?jp=1
31,ACHMAD SUBCHAN KATSIR,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/12954?jp=1
32,ACK BARA ABADI,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/9564?jp=1
33,ADAMASHA KARYA,IUP OPK,https://modi.esdm.go.id/portal/detailPerusahaan/13996?jp=7
34,ADARO INDONESIA,PKP2B,https://modi.esdm.go.id/portal/detailPerusahaan/53?jp=3
35,ADE IRAWAN,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/12181?jp=1
36,ADELIN PENAJAM BORNEO ,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/9547?jp=1
37,ADELLA COORPORATION,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/13062?jp=1
38,ADE MISLADI,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/10810?jp=1
39,ADE PUTRA TANRAJENG,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/8259?jp=1
40,ADERU,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/60?jp=1
41,ADHIKARA CIPTA MULIA,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/69?jp=1
42,ADHI KARTIKO PRATAMA,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/63?jp=1
43,ADHIKARYA BUMI CEMERLANG,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/13108?jp=1
44,ADHIMUKTI ENERGI JAYA,IUP OPK,https://modi.esdm.go.id/portal/detailPerusahaan/14547?jp=7
45,ADHI PRADANA SINERGI,IUP OPK,https://modi.esdm.go.id/portal/detailPerusahaan/14458?jp=7
46,ADHI PURBA WIJAYA,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/14979?jp=1
47,ADHITA NIKEL INDONESIA,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/72?jp=1
48,ADI COAL RESOURCES,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/78?jp=1
49,ADIDAYA AKBAR BERKARYA,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/9505?jp=1
50,ADIDAYA TANGGUH,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/85?jp=1
51,ADIKARSA DAYA AGRO,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/13110?jp=1
52,ADIMAS PUSPITA SERASI,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/91?jp=1
53,ADIMITRA BARATAMA NIAGA,IUP OPK,https://modi.esdm.go.id/portal/detailPerusahaan/10022?jp=7
54,ADIMITRA BARATAMA NUSANTARA,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/93?jp=1
55,ADINATA BARANIAGA SUKSES,IUP OPK,https://modi.esdm.go.id/portal/detailPerusahaan/10321?jp=7
56,ADINDA GIANI PUTRI,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/12700?jp=1
57,ADIPATI MAKMUR SEJAHTERA,IUP OPK,https://modi.esdm.go.id/portal/detailPerusahaan/14194?jp=7
58,ADI SUTOMO,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/12129?jp=1
59,ADITYA BUANA INTER,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/99?jp=1
60,ADITYA BUMI PERTAMBANGAN,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/100?jp=1
61,ADITYA KIRANA MANDIRI,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/101?jp=1
62,ADIWIGNYA ADARMA JAYA,IUP OPK,https://modi.esdm.go.id/portal/detailPerusahaan/13388?jp=7
63,ADNIS GLOBAL MANDIRI,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/11558?jp=1
64,ADRIANSYAH,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/12290?jp=1
65,ADRIAN TRILANGGA,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/11468?jp=1
66,ADYATMA GIANDRA LOHJINAWI,IUP OPK,https://modi.esdm.go.id/portal/detailPerusahaan/13081?jp=7
67,AEGA PRIMA,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/106?jp=1
68,AERO MANDIRI,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/108?jp=1
69,AERO SARANA PERSADA,IUP OPK,https://modi.esdm.go.id/portal/detailPerusahaan/9977?jp=7
70,AEX DURAME,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/11356?jp=1
71,AFIT LINTAS JAYA,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/10852?jp=1
72,AGARO TRI NIAGA,IUP OPK,https://modi.esdm.go.id/portal/detailPerusahaan/14846?jp=7
73,AGINCOURT RESOURCES,KK,https://modi.esdm.go.id/portal/detailPerusahaan/119?jp=2
74,AGRABUDI GASUTAMA PRIMA,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/126?jp=1
75,AGRABUDI JASA BERSAMA,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/127?jp=1
76,AGREGAT PRIMA TAMBANG,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/10866?jp=1
77,AGRO MINING,IUP OPK,https://modi.esdm.go.id/portal/detailPerusahaan/10346?jp=7
78,AGRO NUSANTARA SEJAHTERA,IUP OPK,https://modi.esdm.go.id/portal/detailPerusahaan/13462?jp=7
79,AGTIKA DWI SEJAHTERA,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/143?jp=1
80,AGUNG BARA PRIMA,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/144?jp=1
81,AGUNG BARA SEJATI,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/10005?jp=1
82,AGUNG BARA SEJATI,IUP OPK,https://modi.esdm.go.id/portal/detailPerusahaan/10005?jp=7
