no,rank,title,type,total_eps,show_time,member,score,link_page
1,"
1
",Fullmetal Alchemist: Brotherhood,TV,64,Apr 2009 - Jul 2010,"2,752,622",9.15,https://myanimelist.net/anime/5114/Fullmetal_Alchemist__Brotherhood
2,"
2
",Gintama°,TV,51,Apr 2015 - Mar 2016,"495,687",9.09,https://myanimelist.net/anime/28977/Gintama°
3,"
3
",Shingeki no Kyojin Season 3 Part 2,TV,10,Apr 2019 - Jul 2019,"1,650,249",9.09,https://myanimelist.net/anime/38524/Shingeki_no_Kyojin_Season_3_Part_2
4,"
4
",Steins;Gate,TV,24,Apr 2011 - Sep 2011,"2,122,353",9.09,https://myanimelist.net/anime/9253/Steins_Gate
5,"
5
",Shingeki no Kyojin: The Final Season Part 2,TV,?,Jan 2022 -,"595,930",9.08,https://myanimelist.net/anime/48583/Shingeki_no_Kyojin__The_Final_Season_Part_2
6,"
6
",Fruits Basket: The Final,TV,13,Apr 2021 - Jun 2021,"293,483",9.06,https://myanimelist.net/anime/42938/Fruits_Basket__The_Final
7,"
7
",Gintama',TV,51,Apr 2011 - Mar 2012,"437,491",9.06,https://myanimelist.net/anime/9969/Gintama
8,"
8
",Hunter x Hunter (2011),TV,148,Oct 2011 - Sep 2014,"2,199,656",9.05,https://myanimelist.net/anime/11061/Hunter_x_Hunter_2011
9,"
9
",Ginga Eiyuu Densetsu,OVA,110,Jan 1988 - Mar 1997,"269,976",9.04,https://myanimelist.net/anime/820/Ginga_Eiyuu_Densetsu
10,"
10
",Gintama': Enchousen,TV,13,Oct 2012 - Mar 2013,"265,703",9.04,https://myanimelist.net/anime/15417/Gintama__Enchousen
11,"
11
",Gintama: The Final,Movie,1,Jan 2021 - Jan 2021,"84,926",9.03,https://myanimelist.net/anime/39486/Gintama__The_Final
12,"
12
",Gintama.,TV,12,Jan 2017 - Mar 2017,"251,616",8.98,https://myanimelist.net/anime/34096/Gintama
13,"
13
",Violet Evergarden Movie,Movie,1,Sep 2020 - Sep 2020,"367,577",8.98,https://myanimelist.net/anime/37987/Violet_Evergarden_Movie
14,"
14
",3-gatsu no Lion 2nd Season,TV,22,Oct 2017 - Mar 2018,"330,804",8.97,https://myanimelist.net/anime/35180/3-gatsu_no_Lion_2nd_Season
15,"
15
",Koe no Katachi,Movie,1,Sep 2016 - Sep 2016,"1,823,491",8.96,https://myanimelist.net/anime/28851/Koe_no_Katachi
