no,rank,character,animeography,mangaography,favorites
1,1,"Lamperouge, Lelouch","['Code Geass: Hangyaku no Lelouch', 'Code Geass: Hangyaku no Lelouch Picture Drama', 'Code Geass: Hangyaku no Lelouch Recaps']","['Code Geass: Hangyaku no Lelouch', 'Code Geass: Hankou no Suzaku', 'Code Geass: Nightmare of Nunnally']",149848
2,2,Levi,"['Shingeki no Kyojin: Kuinaki Sentaku', 'Shingeki no Kyojin Season 3', 'Shingeki no Kyojin Season 3 Part 2']","['Shingeki no Kyojin: Kuinaki Sentaku', 'Shingeki no Kyojin: Kuinaki Sentaku - Prologue', 'Shingeki no Kyojin']",125429
3,3,"Lawliet, L","['Death Note', 'Death Note: Rewrite']","['Death Note', 'Death Note Another Note: Los Angeles BB Renzoku Satsujin Jiken', 'L Change the WorLd']",115275
4,4,"Monkey D., Luffy","['One Piece', 'One Piece Movie 1', 'One Piece Movie 2: Nejimaki-jima no Daibouken']","['One Piece', 'Wanted!', 'Cross Epoch']",109038
5,5,"Roronoa, Zoro","['One Piece', 'One Piece Movie 1', 'One Piece Movie 2: Nejimaki-jima no Daibouken']","['One Piece', 'Cross Epoch', 'One Piece Log Book Omake']",87916
6,6,"Okabe, Rintarou","['Steins;Gate', 'Steins;Gate: Oukoubakko no Poriomania', 'Steins;Gate Movie: Fuka Ryouiki no Déjà vu']","['Steins;Gate', 'Steins;Gate: Boukan no Rebellion', 'Steins;Gate: Hiyoku Renri no Sweets Honey']",85446
7,7,"Yagami, Light","['Death Note', 'Death Note: Rewrite']",['Death Note'],85246
8,8,"Zoldyck, Killua","['Hunter x Hunter', 'Hunter x Hunter: Original Video Animation', 'Hunter x Hunter: Greed Island']",['Hunter x Hunter'],83917
9,9,"Elric, Edward","['Fullmetal Alchemist', 'Fullmetal Alchemist: The Conqueror of Shamballa', 'Fullmetal Alchemist: Reflections']","['Fullmetal Alchemist', 'Fullmetal Alchemist', 'Full Metal Alchemist: Prototype']",80627
10,10,"Uzumaki, Naruto","['Naruto', 'Naruto Movie 1: Dai Katsugeki!! Yuki Hime Shinobu Houjou Dattebayo!', 'Naruto: Takigakure no Shitou - Ore ga Eiyuu Dattebayo!']","['Naruto', 'Naruto: Shiro no Douji, Keppu no Kijin', 'Naruto']",74182
11,11,"Sakata, Gintoki","['Gintama', 'Gintama: Nanigoto mo Saiyo ga Kanjin nano de Tasho Senobisuru Kurai ga Choudoyoi', 'Gintama: Shiroyasha Koutan']","['Gintama', '3-nen Z-gumi Ginpachi-sensei', 'Gekijouban Gintama: Kanketsu-hen - Yorozuya yo Eien Nare']",66064
12,12,Guts,"['Kenpuu Denki Berserk', 'Berserk: Ougon Jidai-hen I - Haou no Tamago', 'Berserk: Ougon Jidai-hen II - Doldrey Kouryaku']",['Berserk'],59364
13,13,"Makise, Kurisu","['Steins;Gate', 'Steins;Gate: Oukoubakko no Poriomania', 'Steins;Gate Movie: Fuka Ryouiki no Déjà vu']","['Steins;Gate', 'Steins;Gate: Hiyoku Renri no Sweets Honey', 'Steins;Gate: Shijou Saikyou no Slight Fever']",58928
