no,product link,product title,product price
1,https://bibitonline.com/produk/netpot-hitam-tinggi-5-cm-diameter-55-cm,"Netpot Hitam (Tinggi 5 cm Diameter 5,5 cm)",450
2,https://bibitonline.com/produk/netpot-hitam-tinggi-7-cm-diameter-55-cm,"Netpot Hitam (Tinggi 7 cm Diameter 5,5 cm)",600
3,https://bibitonline.com/produk/label-tanaman-plant-label-tag-model-t-kualitas-tebal-aneka-warna,Label Tanaman (Plant Label Tag) Model T Kualitas Tebal – Aneka Warna,1000
4,https://bibitonline.com/produk/netpot-net-pot-hidroponik-5-cm-tanpa-lubang-samping-hitam,Netpot Net Pot Hidroponik 5 cm Tanpa Lubang Samping – Hitam,450
5,https://bibitonline.com/produk/pot-pelangi-8-cm,Pot Pelangi 8 cm,1500
6,https://bibitonline.com/produk/bio-ball-bioball-bulat-golf,Bio Ball / Bioball – Bulat / Golf,150
7,https://bibitonline.com/produk/bio-ball-bioball-duri-rambutan,Bio Ball / Bioball – Duri / Rambutan,125
8,https://bibitonline.com/produk/label-tanaman-plant-label-tag-model-collar-aneka-warna,Label Tanaman (Plant Label Tag) Model Collar – Aneka Warna,1000
9,https://bibitonline.com/produk/netpot-putih-tinggi-7-cm-diameter-55-cm,"Netpot Putih (Tinggi 7 cm Diameter 5,5 cm)",700
10,https://bibitonline.com/produk/net-pot-netpot-hitam-adaptable-diameter-45-6-cm,"Net pot / Netpot Hitam Adaptable – Diameter 4,5-6 Cm",700
11,https://bibitonline.com/produk/pot-keranjang-pupuk-kecil-3-cm-warna-warni,Pot Keranjang Pupuk Kecil 3 cm – Warna Warni,2000
12,https://bibitonline.com/produk/media-tanam-siap-pakai,Media Tanam Siap Pakai – 500 gram,2500
13,https://bibitonline.com/produk/netpot-putih-tinggi-5-cm-diameter-55-cm,"Netpot Putih (Tinggi 5 cm Diameter 5,5 cm)",600
14,https://bibitonline.com/produk/grafting-clip-klip-alat-penjepit-okulasi-sambungan-cangkok-tanaman,Grafting Clip Klip Alat Penjepit Okulasi Sambungan Cangkok Tanaman,600
15,https://bibitonline.com/produk/nepel-ulir-5-mm-5-pcs,Nepel Ulir 5 mm,500
16,https://bibitonline.com/produk/selang-hdpe-7-mm-kualitas-tebal,Selang PE 7 mm (Kualitas Tebal) – 1 meter,2500
17,https://bibitonline.com/produk/grommet-gromet-karet-selang-7-mm-7mm-untuk-selang-pe-pvc-pu-hitam,Grommet Gromet Karet Selang 7 mm 7mm untuk Selang PE PVC PU – Hitam,600
18,https://bibitonline.com/produk/plant-stake-ajir-tanaman-11mm-x-90cm-takiron,Plant Stake (Ajir Tanaman) 11mm x 90cm – Takiron,7000
19,https://bibitonline.com/produk/plant-stake-ajir-tanaman-11mm-x-120cm-takiron,Plant Stake (Ajir Tanaman) 11mm x 120cm – Takiron,9000
20,https://bibitonline.com/produk/water-cone-fertigasi-irigasi-tetes-akar-drip-root,Water Cone Fertigasi / Irigasi Tetes Akar (Drip Root),5000
21,https://bibitonline.com/produk/dripper-putar,Dripper Putar,500
22,https://bibitonline.com/produk/nepel-ulir-7-mm,Nepel Ulir 7 mm,500
23,https://bibitonline.com/produk/butterfly-sprinkler-kuning-drat-konektor-ke-12,Butterfly Sprinkler Kuning Drat + Konektor Ke 1/2″,12500
24,https://bibitonline.com/produk/plant-stake-ajir-tanaman-11mm-x-150cm-takiron,Plant Stake (Ajir Tanaman) 11mm x 150cm – Takiron,11000
25,https://bibitonline.com/produk/alas-tray-semai-5-pcs,Alas Tray Semai,13500
26,https://bibitonline.com/produk/plant-stake-ajir-tanaman-11mm-x-210cm-takiron,Plant Stake (Ajir Tanaman) 11mm x 210cm – Takiron,15250
27,https://bibitonline.com/produk/pot-tray-45-lubang-tebal-kuat,Pot Tray 45 Lubang,20000
28,https://bibitonline.com/produk/netpot-hitam-tinggi-7-cm-diameter-6-cm,Netpot Hitam (Tinggi 7 cm Diameter 6 cm),700
29,https://bibitonline.com/produk/selang-hdpe-5-mm-kualitas-tebal,Selang PE 5 mm (Kualitas Tebal) – 1 Meter,2000
30,https://bibitonline.com/produk/pot-pelangi-10-cm,Pot Pelangi 10 cm,2000
31,https://bibitonline.com/produk/selang-drip-tape-16mm-sistem-irigasi-tetes-taman-tanaman-hidroponik,Selang Drip Tape 16mm Sistem Irigasi Tetes Taman Tanaman Hidroponik,2500
32,https://bibitonline.com/produk/planter-bag-hijau-75-liter,Planter Bag Hijau 75 Liter,21000
33,https://bibitonline.com/produk/planter-bag-hijau-35-liter,Planter Bag Hijau 35 Liter,14000
