no,nama kapal,pemilik,keterangan
1,"GRACE V, BULK & LIGHTER (LPG)",Bahari Nusantara,DWT: 1500 YOB: 1989
2,"SOECHI PRESTASI, BULK & LIGHTER (PETROCHEMICAL)",Soechi Group,DWT: 1544 YOB: 1992
3,"IRIANI, BULK & LIGHTER (WO)",Hanlyn Jaya Mandiri,DWT: 1100 YOB: 1993
4,"CELYN, BULK & LIGHTER (WO)",Hanlyn Jaya Mandiri,DWT: 1683 YOB: 1994
5,"KINSHO, BULK & LIGHTER (WO)",Indo Shipping Operator,DWT: 1950 MT  YOB: 1993
6,"MT ANGELIA, BULK & LIGHTER (WO)",Bahari Nusantara,DWT: 1932 YOB: 1992
7,"MT MICHIKO, BULK & LIGHTER (WO)",Bahari Nusantara,DWT: 2080 YOB: 2003
8,"HIMIKO, BULK & LIGHTER (WO)",Bahari Nusantara,DWT: 1999 YOB: 2000
9,"TOWO ARYO, BULK & LIGHTER (WO)",Pelumin,DWT: 1550 YOB: 1996
10,"ZALEHA, BULK & LIGHTER (WO)",Pelumin,DWT: 1622 YOB: 2017
11,"PATRA TANKER I, BULK & LIGHTER (WO)",Pertamina Trans Kontinental,DWT: 1500 YOB: 2009
12,"SERENA, BULK & LIGHTER (WO)",Rezeki Energi Nautika,DWT: 2031 YOB: 1990
13,"SAMUGARA 27, BULK & LIGHTER (WO)",Samudera Shipping Services,DWT: 1198 YOB: 1998
14,"ANDRIANA XX, BULK & LIGHTER (WO)",Soechi Group,DWT: 2297 YOB: 1994
15,"STEPHANIE - XVIII, BULK & LIGHTER (WO)",Soechi Group,DWT: 1585 YOB: 1995
16,"ALMIRA XXII, BULK & LIGHTER (WO)",Soechi Group,DWT: 2254 YOB: 1993
17,"MITRA KEMAKMURAN, BULK & LIGHTER (WO)",Sumber Rejeki Bahari Permai,DWT: 3002 YOB: 1993
18,"TRIAKSA 15, BULK & LIGHTER (WO)",Tridarma Wahana,DWT: 1500 YOB: 1995
19,"PETRO MARINE 2200, BULK & LIGHTER (WO)",Moda Global Maritime,DWT: 2051 YOB: 1995
20,"Samugara 45, BULK & LIGHTER (WO)",PT Samugara Arta Jaya,DWT: 14145 YOB: 2000
21,"GRIYA FLORES, BULK & LIGHTER (WO)",PT Pelayaran Korindo,DWT: 2076 YOB: 1994
22,"GRIYA GAYO, GENERAL PURPOSE (AVTUR)",Humpuss,DWT: 18050 YOB: 2001
23,"GRACE POSEIDON, GENERAL PURPOSE (AVTUR)",Bahari Nusantara,DWT: 12824 YOB: 2005
24,"SINAR BUSAN, GENERAL PURPOSE (AVTUR)",Samudera Shipping Services,DWT: 11278 YOB: 2006
25,"SINAR AGRA, GENERAL PURPOSE (AVTUR)",Samudera Shipping Services,DWT: 11244 YOB: 2006
26,"LAYAR ARTHAWIBAWA EX ANDHIKA ADINUGRAHA, GENERAL PURPOSE (BO)",Bumi International Tankers,DWT: 17998 YOB: 1998
27,"SUCCESS ALTAIR XLII, GENERAL PURPOSE (BO)",Soechi Group,DWT: 19996 YOB: 1999
28,"MEDELIN MASTER EX BRUCE PARK, GENERAL PURPOSE (BO)",Waruna Group,DWT: 13940 YOB: 1992
29,"MEDELIN EXPO, GENERAL PURPOSE (BO)",Waruna Group,DWT: 17712 YOB: 1993
30,"MEDELIN WEST, GENERAL PURPOSE (BO)",Waruna Group,DWT: 15999 YOB: 1991
31,"JOHN CHAINE 2, GENERAL PURPOSE (CO)",Atamimi Group Of Companies,DWT: 17988 YOB: 1998
