no,merek dagang,bahan aktif,deskrispi,pembuat
1 ,SUCCES 25 SC,spinosad,Insektisida bebentuk pekatan suspensi.,PT Dow AgroSciences Indonesia
2 ,NURELLE-D 225/25 EC,klorpirifos,,PT Dow AgroSciences Indonesia
3 ,"MUSTANG 452,5/6,25 SE","2,4-D etilheksi ester (setara dengan 2,4-D 361,3 g/l)",,PT Dow AgroSciences Indonesia
4 ,MILESTONE 240 SL,aminopiralid,Herbisida berbentuk larutan dalam air.,PT Dow AgroSciences Indonesia
5 ,KARATHANE 350 EC,meptildinokap,Fungisida berbentuk pekatan yang dapat diemulsikan.,PT Dow AgroSciences Indonesia
6 ,"HIT 0,40 AE",d-aletrin,,PT Megasari Makmur
7 ,GARLON 333/17 EW,aminopiralid potasium,,PT Dow AgroSciences Indonesia
8 ,ENDURE 60 SC,spinetoram,Pestisida berbentuk pekatan suspensi,PT Dow AgroSciences Indonesia
9 ,ENDURE 120 SC,spinetoram,Pestisida berbentuk pekatan yang dapat diemulsikan.,PT Dow AgroSciences Indonesia
10 ,RUGBY 3 GME,kadusafos,Nematisida berbentuk mikrokapsul,PT Bina Guna Kimia
11 ,BIFLEX 100 EC,bifentrin,Bahan pengawet kayu berbentuk pekatan yang dapat diemulsikan.,PT Bina Guna Kimia
12 ,ROUNDUP ULTRA MAX 698 SL,kalium glifosat (setara dengan glifosat: 570 g/l),HErbisida berbentuk larutan dalam air.,PT Monagro Kimia
13 ,ROLIXONE 276 SL,parakuat diklorida (setara dengan ion parakuat: 200 g/l),Herbisida berbentuk larutan dalam air.,PT Rolimex Kimia Nusamas
14 ,"ROLIKUM 0,005 BB",brodifakum,Rodentisida berbentuk blok.,PT Rolimex Kimia Nusamas
15 ,RAINBOW 410 SE,butaklor,,PT Dow AgroSciences Indonesia
