no,merek dagang,tujuan,kategori
1,ROUNDUP POWERMAX 660 SL ,alang-alang Imperata cylindrica ,umum 
2,TRIVIA 73 WP ,"penyakit bercak daun Cercospora dendrobii, penyakit busuk hitam Phytophthora nicotianae ",umum 
3,DECIS 25 EC ,ulat grayak Spodoptera litura ,umum 
4,NATIVO 75 WG ,"penyakit bercak daun Cercospora dendrobii, penyakit antraknosa Colletotrichum gloeosporioides ",umum 
5,CURZATE 8/64 WP ,penyakit tepung palsu Plasmophara viticola ,umum 
6,FOLIRFOS 400 SL ,penyakit embun bulu Plasmopara viticola ,umum 
7,DECIS 25 EC ,ulat grayak Spodotera litura ,umum 
8,METAZEB 80 WP ,penyakit embun tepung Podosphaerela leucontricha ,umum 
9,PROMEFON 250 EC ,penyakit bercak daun Marsonina coronaria ,umum 
10,TRIVIA 73 WP ,"penyakit embun tepung Podosphaera leucontricha, penyakit bercak daun Marssonina coronaria ",umum 
11,BENLOX 50 WP ,penyakit embun tepung Podosphaera leucotricha ,umum 
12,CABRIOTOP 60 WG ,penyakit embun tepung Podosphaera leucontricha ,umum 
13,THIONIC 76 WG ,penyakit embun tepungPodosphaera leucoticha ,umum 
14,"DEKAMON 22,43 L ",Meningkatkan jumlah dan bobot buah ,umum 
15,KANON 400 EC ,kutu daun Myzus persicae ,umum 
16,DORMEX 520 SL ,"mempercepat dan meningkatkan pecah kuncup, meningkatkan pertumbuhan tanaman menjadi lebih tinggi dan seragam, meningkatkan hasil kualitas buah ",umum 
17,CONFIDOR 200 SL ,kutu daun Aphids sp. ,umum 
18,NATIVO 75 WG ,"penyakit barcak daun Marssonina coronaria, penyakit embun tepung Podosphaera leucontricha ",umum 
19,ETHREL 480 SL  ,"memerahkan, memperbaiki rasa dan aroma serta mempercepat masaknya buah; ",umum 
20,RAMPAGE 100 EC ,kutu daunAphis sp. ,umum 
21,GOBEST 250 SC ,"meningkatkan jumlah bunga, meningkatkan jumlah buah yang dipanen, bobot per buah, bobot buah per pohon dan dugaan hasil per hektar ",umum 
22,TALSTAR 25 EC ,tungau Panonychus ulmi ,umum 
23,CUSTODIA 320 SC ,penyakit bercak daunMarssonina coronaria ,umum 
24,FUJIWAN 400 EC ,penyakit embun tepungPodosphaera leucotrica ,umum 
25,AGRIMEC 18 EC ,kutu daun Aphis pomi ,umum 
26,RAMPAGE 100 EC ,tungauTetranychus sp. ,umum 
27,FUMIGUARD 99 GA* ,hama gudang Oryzaephilus surinamensisSitophilus zeamaisTribolium confusum  ,umum 
28,"KRESNAKUM II 0,005 BB, PARATOLI 0,005 PA, PROTECTSAFE 0,005 BB ",tikus rumah Rattus rattus diardi ,umum 
29,"XILAW 007 0,005 BB ",tikus rumah RRattus rattus diardii ,umum 
30,COMBO 180 EC ,penyakit bercak ungu Alternaria porri ,umum 
31,FEROMON-EXI RB ,ulat grayak Spodoptera exigua ,umum 
32,HAGAN 80 WP ,"penyakit bercak ungu Alternaria solani, penyakit embun bulu Peronospora destructor ",umum 
33,TRIVIA 73 WP ,penyakit barcak ungu Alternaria porri ,umum 
34,"CRUMBLE 100 EC, GALUTIN 18 EC, JOSSTIIN 500 SC, MULTITOMIL 40 SP, PROKIL 275 EC, STOPMAT 220 EC ",pengorok daun Liriomyza huidobrensis ,umum 
35,"KASTRO-77 250 EC, VELIMEK 52,5 WG ",penyakit bercak ungu Alternaria porri ,umum 
36,STREPTOMY WP ,penyakit layu Fusarium oxysporum ,umum 
37,PESNAB 4 EC ,penyakit molerFusarium oxysporum ,umum 
38,SAGRI-M7 100/150 EC ,pengorok daun Liriomyza huidobrensis ,umum 
39,"PESTOR 20,02 EC ",pengorok daunLiriomyza huidobrensis ,umum 
40,PROTOAT 460 EC ,pengorok daun Liriomyza chinensis ,umum 
41,CRUMBLE CARB 150 SC ,hama ulat tanah Agrotis ipsilon  ,umum 
42,BETAMON 26 SL ,"meningkatkan tinggi tanaman, jumlah daun, jumlah anakan, jumlah umbi hasil baik hasil/tanaman maupun hasil/ha ",umum 
43,"BAN-DROL 400 EC, CHLORMITE 400 EC, DASATRIN 110 EC, INSTOP 311 EC, PASSPORT 28 EC, TETRIN 36 EC, TOMBAK 189 EC, VIRTAKO 300 SC ",ulat grayak Spodotera exigua ,umum 
44,"ALBERTO 375 SC, AMORATOP 375 SC, LONGER 75 WP ","penyakit embun bulu Peronospora destructor, penyakit bercak ungu Alternaria porri ",umum 
45,FOLIRFOS 400 SL ,penyakit embun bulu Peronospora destruktor ,umum 
46,"CABRIOTOP 60 WG, FLASHER 250 SC ",penyakit layu Fusarium oxysporum ,umum 
47,DETAZEB 80 WP ,penyakit moler Fusarium oxysporum ,umum 
48,PROCURE 20 WP ,penyakit busuk daun Peronospora destructor ,umum 
49,"PREVICUR-N 722 SL, PYRAMID 72 WP ",penyakit embun bulu Peronospora destructor ,umum 
50,SIDATHION 210/15 EC ,ulat grayak Spodoptera litura ,umum 
51,REGIO 250 SC ,"penyakit moler Fusarium oxysporum, penyakit bercak ungu Alternaria porri ",umum 
52,"GOBANG 110 EC, METEOR 25 EC, METINDO 25 WP, METINDO 80 SL, OSCAR 25 EC, SAMBA 100 EC ",perusak daun Spodoptera exigua ,umum 
53,DHARMASIP 50 EC ,ulat daun Spodoptera exigua ,umum 
54,PADAN 50 SP ,"ulat grayak  Spodoptera exigua, hama trips Thrips tabaci ",umum 
