no,merek dagang,bahan aktif,deskrispi,pembuat
1 ,PROPICONAZOLE 95 TC,propikonazol (propiconazole),Fungisida berbentuk larutan,PT Multi Sarana Indotani
2 ,PROPINEB 80 TC,propineb,Fungisida berbentuk tepung,PT Bayer Indonesia
3 ,TRANSFLUTHRIN 92 TC,transflutrin (transfluthrin),Insektisida berbentuk larutan.,PT MSR Hijau Lestari
4 ,SIPERMETRIN 92 TC,sipermetrin (cypermethrin),Insektisida berbentuk pasta,PT Inti Everspring Indonesia
5 ,METHOMYL 97 TC,metomil,Insektisida berbentuk kristal,PT Inti Everspring Indonesia
6 ,IPA GLIFOSAT 62 TC,isopropil amina glifosat (glyphosate isopropyl ammonium),Herbisida berbentuk larutan,PT Delta Giri Wacana
7 ,IPA GLIFOSAT 62 TC,isopropil amina glifosat (glyphosate isopropylammonium),Herbisida berbentuk larutan,PT Dharma Guna Wibawa
8 ,IPA GLIFOSAT 62 TC,isopropil amina glifosat (glyphosate isopropylammonium),Herbisida berbentuk larutan,PT Multi Sarana Indotani
9 ,IPA GLIFOSAT 62 TC,isopropil amina glifosat (glyphosate isopropylammonium),Herbisida berbentuk larutan,PT Biotis Agrindo
10 ,GLYPHOSATE 95 TC,glifosat (glyphosate),Herbisida berbentuk tepung,PT Delta Giri Wacana
11 ,GLIFOSAT 90 TC,glifosat (glyphosate),Herbisida berbentuk kristal,PT Putrisari Kimianusa
12 ,DIURON 96 TC,diuron (diuron),Herbisida berbentuk kristal,PT Inti Everspring Indonesia
13 ,DELTAMETRIN 98 TC,deltametrin (deltamethrin),Insektisida berbentuk kristal,PT Inti Everspring Indonesia
14 ,RUGBY 20 TK,kadusafos (cadusafos),Nematisida berbentuk suspensi,PT Bina Guna Kimia
15 ,CYPERMETHRIN 90 TC,sipermetrin (cypermethrin),Insektisida berbentuk larutan,PT Bina Guna Kimia
16 ,CYPERMETHRIN 92 TC,sipermetrin (cypermethrin),Insektisida berbentuk kristal,PT Petrosida Gresik
17 ,BPMC 96 TC,BPMC,Insektisida berbentuk larutan,PT Inti Everspring Indonesia
18 ,ALFA SIPERMETRIN 95 TC,alfa sipermetrin (alpha cypermethrin),Insektisida berbentuk kristal,PT Inti Everspring Indonesia
19 ,"2,4-D 95 TC","2,4-D (2,4-D)",Herbisida berbentuk tepung,PT Multi Sarana Indotani
