no,merek dagang,cara pemakaian,pembuat
1 ,VULGAR 865 SL,"Budidaya tebu : gulma berdaun lebar Ageratum conyzoides, Borreria alata, Cleome rutidosperma, Ipomoea triloba (Penyemprotan volume tinggi : 1,5 - 2,5 l/ha) Padi sawah : gulma berdaun lebar Ludwigia octovalvis, Monochoria vaginalis, Spenochlea zeylanica, teki Cyperus difformis (Penyemprotan volume tinggi : 0,5 - 1 l/ha)",PT Fortuna Mulia Sejati
2 ,VORTEX 540 SL,"Kelapa sawit (TBM) : gulma berdaun lebar Ageratum conyzoides, Synedrella nodiflora, gulma berdaun sempit Ischaemum timorense, Ottochloa nodosa (Penyemprotan volume tinggi : 2 - 3 l/ha)",PT Dalzon Chemicals Indonesia
3 ,VONDOZEB 80 WP,Tomat : penyakit busuk daun Phytophthora infestans (Penyemprotan volume tinggi : 2 g/l),PT Nufarm Indonesia
4 ,VORTEX 30 EC,"Bawang merah: hama ulat grayak
Spodoptera exigua (Penyemprotan volume tinggi:
1,5 ml/l)",CV Golden Farm Indonesia
5 ,VIVO 100 EC,"Bawang merah: ulat grayak
Spodoptera exigua  (Penyemprotan volume tinggi:
1,5 ml/l)",CV Agro Mulia
6 ,VOLCANO 200 EC,"Cabai : ulat grayak Spodotera litura (Penyemprotan volume tinggi  : 0,75 ml/l)",PT Agro Persada
7 ,VOLIAM TARGO 63 SC,"Bawang merah: ulat grayak Spodoptera exigua (Penyemprotan volume tinggi: 0,25 - 0,50 ml/l) Cabai : penggerek buah Helicoverpa armigera (Penyemprotan volume tinggi : 0,75 - 1 ml/l) Kentang : hama penggorok daun Liriomyza huidobrensis (Penyemprotan volume tinggi : 0,25 - 0,50 ml/l) Kentang : penggerek umbi kentang Phthorimaea operculella, hama trips Thrips palmi (Penyemprotan volume tinggi : 1 ml/l) Tomat : penggorok daun Liriomyza huidobrensis, penggerek buah Helicoverpa armigera (Penyemprotan volume tinggi : 0,5 - 1 ml/l)",PT Syngenta Indonesia
8 ,VIPER 600 EC,Bawang merah: ulat grayak Spodoptera exigua (Penyemprotan volume tinggi: 375 - 500 ml/ha),PT Ria Indo Agri
9 ,VIRTAKO 300 SC,"Bawang merah : ulat grayak Spodotera exigua (Penyemprotan volume tinggi : 0,4 ml/l) Cabai : ulat grayak Spodoptera litura (Penyemprotan volume tinggi : 0,15 ml/l) Padi sawah di pesemaian : penggerek batang Scirpophaga incertulas (Penyemprotan volume tinggi : 100 - 150 ml/ha) Padi: wereng coklat Nilaparvata lugens (Penyemprotan volume tinggi : 200 ml/ha) Padi: hama putih palsu
Cnaphalocrosis medinalis
penggerek batang
Scirpophaga incertulas (Penyemprotan volume tinggi:
112,5 ml/ha)",PT Syngenta Indonesia
10 ,VINO 640 SL,"Kelapa sawit (TBM) : gulma berdaun lebar Borreria alata, Clidemia hirta, Chromolaena odorata, gulma berdaun sempit Ottochloa nodosa, Paspalum conjugatum (Penyemprotan volume tinggi : 1,5 - 2,25 l/ha)",PT Dalzon Chemicals Indonesia
11 ,VIGOR 100 EC,"Kakao : pengisap buah Helopeltis antonii (Penyemprotan volume tinggi : 2 ml/l) Kakao : ulat kilan Hyposidra talaca, penggerek buah Canopomorpha cramarella (Penyemprotan volume tinggi  : 0,5 - 1 ml/l)",PT Sari Kresna Kimia
12 ,VIDI 722 SL,"Kentang : penyakit busuk daun Phytophthora infestans (Penyemprotan volume tinggi  : 1 ml/l) Tomat : penyakit busuk daun Phytophthora infestans (Penyemprotan volume tinggi  : 0,5 - 1 ml/l)",PT Multi Sarana Indotani
13 ,VIARON 500 SC,"Tebu: gulma berdaun lebar
Cleome rutidosperma
gulma berdaun sempit
Cynodon dactylon
Rotbellia exaltata (Penyemprotan volume tinggi:
1 - 2 l/ha)",PT Kresna Bumitama Sejati
14 ,VICTORY 80 WP,"Bawang merah : penyakit bercak ungu Alternaria porri (Penyemprotan volume tinggi : 1,5 - 3 g/l) Cabai : penyakit antraknosa Colletotrichum capsici, Colletotricum gloeosporiodes (Penyemprotan volume tinggi  : 1,5 - 3 g/l) Kentang : penyakit busuk daun Phytophthora infestans (Penyemprotan volume tinggi :  2 - 3 g/l) Tomat : penyakit busuk daun Phytophthora infestans (Penyemprotan volume tinggi  : 1,5 - 3  g/l)",PT Multi Sarana Indotani
15 ,PUDDAKO 210 SL,"Kelapa sawit (TBM): gulma berdaun lebar Asystasia gangetica, Borreria alata, Clidermia hirta, Mikania micrantha; golongan rumput Ischaemum timorense (Penyemprotan volume tinggi:
1,5 - 2 l/ha) Kelapa sawit (TBM): golongan rumput Ottochloa nodosa (Penyemprotan volume tinggi:
2 - 2,5 l/ha)",PT Petrosida Gresik
16 ,PUANORIS 50 SP,"Padi: penyakit blas
Pyricularia oryzae (Penyemprotan volume tinggi:
0,75 g/l)",PT JJM Indonesia
17 ,PUANORIS 60 SP,"Padi penyakit hawar daun bakteri Xanthomonas oryzae 
 (Penyemprotan volume tinggi 1 g/l
)",PT Maju Makmur  Utomo
18 ,VICTORY MIX 8/64 WP,"Kentang : penyakit busuk daun Phytophthora infestans (Penyemprotan volume tinggi : 2 - 4 g/l) Padi : penyakit blas Pyricularia oryzae (Penyemprotan volume tinggi  : 0,5 - 1 g/l) Padi : penyakit hawar pelepah Rhizoctonia solani (Penyemprotan volume tinggi : 1 g/l) Tomat : penyakit busuk daun Phytophthora infestans (Penyemprotan volume tinggi : 2 - 4 g/l)",PT Multi Sarana Indotani
19 ,VERTIBAK 50 WP,"Padi: penyakit blast
Pyricularia oryzae (Penyemprotan volume tinggi:
0,5 g/l)",PT JJM Indonesia
20 ,VERTIBAK 60 SP,"Padi: penyakit blast
Pyricularia oryzae (Penyemprotan volume tinggi:
0,75 g/l)",PT Maju Makmur  Utomo
21 ,VERTIGO 100 EC,"Kubis: ulat crop
Crocidolomia pavonana (Penyemprotan volume tinggi:
0,25 ml/l)",PT Dalzon Chemicals Indonesia
22 ,VERSUS 250 EC,"Bawang merah: ulat grayak
Spodoptera exigua (Penyemprotan volume tinggi:
2,25 ml/l)",
23 ,VENUS 400 SL,"Kedelai : penggerek polong Etiella zinckenella, penggulung daun Lamprosema indicata, pengisap polong Nezara viridula (Penyemprotan volume tinggi  : 0,75 ml/l)",PT Sari Kresna Kimia
24 ,VERPECTION 400 EC,"Cabai: kutu daun Myzus persicae (Penyemprotan volume tinggi:
1,5 ml/l)",PT Bahtera Boniaga Lestari
25 ,VENTORY 865 SL,"Padi sawah: gulma berdaun lebar
Ludwigia octovalvis
Marsilea crenata
Monochoria vaginalis (Penyemprotan volume tinggi:
0,3-0,4 l/ha)",PT Alishan Nusa Indah
26 ,VEMOUSE 80 P*,Padi sawah : tikus sawah Rattus argentiventer (Pencampuran dengan umpan),CV Culture Agritech Interzona
27 ,VENATOR 550 SC,"Budidaya tanaman jagung (pra tumbuh) : gulma berdaun lebar Ageratum conyzoides, Richardia brasiliensis, Synedrella nodiflora, golongan rumput Eleusine indicata (Penyemprotan volume tinggi : 1 - 2 l/ha) Budidaya tanaman jagung (purna tumbuh) : gulma berdaun lebar Ageratum conyzoides, Richardia brasiliensis, Synedrella nodiflora, golongan rumput Eleusine indicata (Penyemprotan volume tinggi : 1 - 2 l/ha) Tebu : Gulma berdaun lebar Ipomoea triloba, Ageratum conyzoides, Euphorbia hirta, golongan rumput Eleusine indica (Penyemprotan volume tinggi : 1 -2 l/ha)",PT Dharma Guna Wibawa
28 ,ZYCHATE 200 SL,"Cabai : ulat grayak Spodoptera litura (Penyemprotan volume tinggi : 0,5 ml/l) Padi : wereng coklat Nilaparvata lugens (Penyemprotan volume tinggi  : 225 - 300 ml/ha)",CV Abadi Jaya
29 ,ZINCKOL 70/6 WP,"Kentang: penyakit busuk daun
Phytophthora infestans (Penyemprotan volume tinggi:
1,5 g/l)",PT Santani Sejahtera
