no,kpdti,nama pts,alamat,kode pos,telp,fax
1,31017,Universitas   17 Agustus 1945,JL. SUNTER   PODOMORO SUNTER AGUNG JAKARTA   UTARA,14350,64715666,647157301
2,31044,Universitas   Al-azhar Indonesia,KOMPLEKS   MESJID AGUNG AL-AZHAR JL. SISINGAMNGARAJA JAKARTA SELATAN,12110,021-72792753,021-7244767
3,31040,Universitas   Azzahra,JL.   JATINEGARA BARAT NO.144 JAKARTA TIMUR JAKARTA TIMUR,11220,2800646,2800647
4,31053,Universitas   Bakrie,JAKARTA SELATAN,,,
5,31036,Universitas   Bhayangkara Jakarta   Raya,JL.   DARMAWANGSA I NO.1 KEBAYORAN BARU JAKARTA   SELATAN,12140,021-7231948,021-7267655
6,31038,Universitas   Bina Nusantara,Jl. KH.   SYAHDAN NO.9 PALMERAH  JAKARTA BARAT,11480,021-5345830,021-5300244
7,31018,Universitas   Borobudur,JL. RAYA   KALIMALANG NO. 1  JAKARTA TIMUR,13620,"8618293,   8613877",8622139
8,31045,Universitas   Budi Luhur,JL.   CILEDUG RAYA PETUKANGAN UTARA KEBAYORAN LAMA JAKARTA SELATAN,12260,021-5853753,021-7371164
9,31048,Universitas   Bunda Mulia,JL. LODAN   RAYA NO. 2  JAKARTA UTARA,14430,021-6909090,021-6909712
10,31042,Universitas   Bung Karno,JL. KIMIA   NO.20 PEGANGSAAN JAKARTA PUSAT JAKARTA PUSAT,10320,"021-3901076,3901278",021-3901278
11,31023,Universitas   Darma Persada,JL.RADIN   INTEN II ( TERUSAN CASABLANCA ) PONDOK KELAPA JAKARTA TIMUR,13450,8649051 /   53 / 57,8649052
12,31037,Universitas   Gunadarma,JL.   MARGONDA RAYA 100 PONDOK CINA DEPOK,16424,021-78881112,021-7872829
13,31001,Universitas   Ibnu Chaldun,JL. PEMUDA   I KAV. 97 RAWAMANGUN JAKARTA   TIMUR,13220,021.4702563.4702564,021.62.4722059
14,31033,Universitas   Indonusa Esa Unggul,JL ARJUNA   UTARA NO 9 RT 001 RW 002 DURI KEPA KEBON JERUK JAKARTA BARAT,11510,021.5674223,021.5682503
15,31049,Universitas   Indraprasta PGRI,JL. NANGKA   NO.59 TANJUNG BARAT JAGAKARSA  JAKARTA SELATAN,12530,(021)78835283,(021)78835283
16,31021,Universitas   Islam As-Syafiiyah,JL. RAYA   JATIWARINGIN NO.12 PO BOX    7725 JAT CM JAKARTA JAKARTA TIMUR,13070,021   8462361,021   8464257
17,31032,Universitas   Islam Attahiriyah,JAKARTA SELATAN,,,
