no,Kode Saham,Nama Perusahaan
1,AALI,Astra Agro Lestari Tbk.
2,ABBA,Mahaka Media Tbk.
3,ABDA,Asuransi Bina Dana Arta Tbk.
4,ABMM,ABM Investama Tbk.
5,ACES,Ace Hardware Indonesia Tbk.
6,ACST,Acset Indonusa Tbk.
7,ADES,Akasha Wira International Tbk.
8,ADHI,Adhi Karya (Persero) Tbk.
9,ADMF,Adira Dinamika Multi Finance Tbk.
10,ADMG,Polychem Indonesia Tbk
11,ADRO,Adaro Energy Tbk.
12,AGAR,Asia Sejahtera Mina Tbk.
13,AGII,Aneka Gas Industri Tbk.
14,AGRO,Bank Rakyat Indonesia Agroniaga Tbk.
15,AGRS,Bank IBK Indonesia Tbk.
16,AHAP,Asuransi Harta Aman Pratama Tbk.
17,AIMS,Akbar Indo Makmur Stimec Tbk
18,AISA,Tiga Pilar Sejahtera Food Tbk.
19,AKKU,Anugerah Kagum Karya Utama Tbk.
20,AKPI,Argha Karya Prima Industry Tbk.
21,AKRA,AKR Corporindo Tbk.
22,AKSI,Majapahit Inti Corpora Tbk.
23,ALDO,Alkindo Naratama Tbk.
24,ALKA,Alakasa Industrindo Tbk
25,ALMI,Alumindo Light Metal Industry Tbk.
26,ALTO,Tri Banyan Tirta Tbk.
27,AMAG,Asuransi Multi Artha Guna Tbk.
28,AMAR,Bank Amar Indonesia Tbk.
29,AMFG,Asahimas Flat Glass Tbk.
30,AMIN,Ateliers Mecaniques D Indonesie Tbk.
31,AMOR,Ashmore Asset Management Indonesia Tbk.
32,AMRT,Sumber Alfaria Trijaya Tbk.
33,ANDI,Andira Agro Tbk.
34,ANJT,Austindo Nusantara Jaya Tbk.
35,ANTM,Aneka Tambang Tbk.
36,APEX,Apexindo Pratama Duta Tbk.
37,APIC,Pacific Strategic Financial Tbk.
38,APII,Arita Prima Indonesia Tbk.
39,APLI,Asiaplast Industries Tbk.
40,APLN,Agung Podomoro Land Tbk.
41,APOL,Arpeni Pratama Ocean Line Tbk.
42,ARGO,Argo Pantes Tbk
43,ARII,Atlas Resources Tbk.
44,ARKA,Arkha Jayanti Persada Tbk.
45,ARMY,Armidian Karyatama Tbk.
46,ARNA,Arwana Citramulia Tbk.
47,ARTA,Arthavest Tbk
48,ARTI,Ratu Prabu Energi Tbk
49,ARTO,Bank Artos Indonesia Tbk.
50,ASBI,Asuransi Bintang Tbk.
51,ASDM,Asuransi Dayin Mitra Tbk.
52,ASGR,Astra Graphia Tbk.
53,ASII,Astra International Tbk.
54,ASJT,Asuransi Jasa Tania Tbk.
55,ASMI,Asuransi Kresna Mitra Tbk.
56,ASRI,Alam Sutera Realty Tbk.
57,ASRM,Asuransi Ramayana Tbk.
58,ASSA,Adi Sarana Armada Tbk.
59,ATIC,Anabatic Technologies Tbk.
60,AUTO,Astra Otoparts Tbk.
61,BABP,Bank MNC Internasional Tbk.
62,BACA,Bank Capital Indonesia Tbk.
63,BAJA,Saranacentral Bajatama Tbk.
64,BALI,Bali Towerindo Sentra Tbk.
65,BAPA,Bekasi Asri Pemula Tbk.
66,BAPI,Bhakti Agung Propertindo Tbk.
67,BATA,Sepatu Bata Tbk.
68,BAYU,Bayu Buana Tbk
69,BBCA,Bank Central Asia Tbk.
70,BBHI,Bank Harda Internasional Tbk.
71,BBKP,Bank Bukopin Tbk.
72,BBLD,Buana Finance Tbk.
73,BBMD,Bank Mestika Dharma Tbk.
74,BBNI,Bank Negara Indonesia (Persero) Tbk.
75,BBRI,Bank Rakyat Indonesia (Persero) Tbk.
76,BBRM,Pelayaran Nasional Bina Buana Raya Tbk.
77,BBTN,Bank Tabungan Negara (Persero) Tbk.
78,BBYB,Bank Yudha Bhakti Tbk.
79,BCAP,MNC Kapital Indonesia Tbk.
80,BCIC,Bank JTrust Indonesia Tbk.
81,BCIP,Bumi Citra Permai Tbk.
82,BDMN,Bank Danamon Indonesia Tbk.
83,BEEF,Estika Tata Tiara Tbk.
84,BEKS,Bank Pembangunan Daerah Banten Tbk.
85,BELL,Trisula Textile Industries Tbk.
86,BEST,Bekasi Fajar Industrial Estate Tbk.
87,BFIN,BFI Finance  Indonesia Tbk.
88,BGTG,Bank Ganesha Tbk.
89,BHIT,MNC Investama Tbk.
90,BIKA,Binakarya Jaya Abadi Tbk.
91,BIMA,Primarindo Asia Infrastructure Tbk.
92,BINA,Bank Ina Perdana Tbk.
93,BIPI,Astrindo Nusantara Infrastruktur Tbk.
94,BIPP,Bhuwanatala Indah Permai Tbk.
95,BIRD,Blue Bird Tbk.
96,BISI,BISI International Tbk.
97,BJBR,Bank Pembangunan Daerah Jawa Barat dan Banten Tbk.
98,BJTM,Bank Pembangunan Daerah Jawa Timur Tbk.
99,BKDP,Bukit Darmo Property Tbk
100,BKSL,Sentul City Tbk.
101,BKSW,Bank QNB Indonesia Tbk.
102,BLTA,Berlian Laju Tanker Tbk
103,BLTZ,Graha Layar Prima Tbk.
104,BLUE,Berkah Prima Perkasa Tbk.
105,BMAS,Bank Maspion Indonesia Tbk.
106,BMRI,Bank Mandiri (Persero) Tbk.
107,BMSR,Bintang Mitra Semestaraya Tbk
108,BMTR,Global Mediacom Tbk.
109,BNBA,Bank Bumi Arta Tbk.
110,BNBR,Bakrie & Brothers Tbk
111,BNGA,Bank CIMB Niaga Tbk.
112,BNII,Bank Maybank Indonesia Tbk.
113,BNLI,Bank Permata Tbk.
114,BOGA,Bintang Oto Global Tbk.
115,BOLA,Bali Bintang Sejahtera Tbk.
116,BOLT,Garuda Metalindo Tbk.
117,BORN,Borneo Lumbung Energi & Metal Tbk.
118,BOSS,Borneo Olah Sarana Sukses Tbk.
119,BPFI,Batavia Prosperindo Finance Tbk.
120,BPII,Batavia Prosperindo Internasional Tbk.
121,BPTR,Batavia Prosperindo Trans Tbk.
122,BRAM,Indo Kordsa Tbk.
123,BRIS,Bank BRIsyariah Tbk.
124,BRMS,Bumi Resources Minerals Tbk.
125,BRNA,Berlina Tbk.
126,BRPT,Barito Pacific Tbk.
127,BSDE,Bumi Serpong Damai Tbk.
128,BSIM,Bank Sinarmas Tbk.
129,BSSR,Baramulti Suksessarana Tbk.
130,BSWD,Bank Of India Indonesia Tbk.
131,BTEK,Bumi Teknokultura Unggul Tbk
132,BTEL,Bakrie Telecom Tbk.
133,BTON,Betonjaya Manunggal Tbk.
134,BTPN,Bank BTPN Tbk.
135,BTPS,Bank Tabungan Pensiunan Nasional Syariah Tbk.
136,BUDI,Budi Starch & Sweetener Tbk.
137,BUKK,Bukaka Teknik Utama Tbk.
138,BULL,Buana Lintas Lautan Tbk.
139,BUMI,Bumi Resources Tbk.
140,BUVA,Bukit Uluwatu Villa Tbk.
141,BVIC,Bank Victoria International Tbk.
142,BWPT,Eagle High Plantations Tbk.
143,BYAN,Bayan Resources Tbk.
144,CAKK,Cahayaputra Asa Keramik Tbk.
145,CAMP,Campina Ice Cream Industry Tbk.
146,CANI,Capitol Nusantara Indonesia Tbk.
147,CARS,Industri dan Perdagangan Bintraco Dharma Tbk.
148,CASA,Capital Financial Indonesia Tbk.
149,CASS,Cardig Aero Services Tbk.
150,CCSI,Communication Cable Systems Indonesia Tbk.
151,CEKA,Wilmar Cahaya Indonesia Tbk.
152,CENT,Centratama Telekomunikasi Indonesia Tbk.
153,CFIN,Clipan Finance Indonesia Tbk.
154,CINT,Chitose Internasional Tbk.
