no,sport name
0,3D Archery — a form of archery in which the goal is to strike targets in the shape of animals at unknown distances.
1,3x3 Basketball — a variation of basketball played on a half court with just three players in each team.
2,3x3 Ice Hockey — a variation of ice hockey played on a half rink with just three players on each team.
3,7-a-side football — Association football for players with cerebral palsy.
4,Abseiling — an adventure sport where the participants descend a steep formation using a rope. (not really a sport).
5, Acrobatic Gymnastics — team of gymnasts work together to perform acrobatic moves in combination with dance moves.
6,Acroski — athletes on snow skis perform various choreographed routines (once called Ski Ballet).
7," Adventure Racing — an event combining two or more endurance disciplines, such as Orienteering, Cross-Country Running, Mountain Biking, Paddling and Climbing. It is also called Expedition Racing."
8,"Aerials — a freestyle skiing discipline in which athletes ski along a take-off ramp, then perform various in-air tricks."
9,"Aerobatics — sport aerobatics involves aircraft maneuvers such as rolls, loops, stall turns (hammerheads), and tailslides."
10,Aesthetic Group Gymnastics — a team sport where a large group of gymnasts perform coordinated continuous movements.
11,Aerobic Gymnastics — another name for Sport Aerobics.
12,Aeromodeling — activity using remotely controlled flying model aircraft (not really a sport).
13,"Aeronautical Pentathlon — despite the name, the sport has 6 events: shooting, fencing, orienteering, basketball skills, obstacle course and swimming."
14,"AFL Wheelchair — a wheelchair version of the football code from Australia, played between two teams of five players."
15,"AFLX — a new version of Australian Football played on a rectangular field with seven players on each team, created to showcase some of the most thrilling elements of the sport to attract new fans."
16,Aggressive Inline Skating — Aggressive inline skating is a form of inline skating executed on specially designed inline skates with the focus on grinding and spins.
17,Aikido — Shodokan Aikido (also called Sport Aikido) is a style of the martial art Aikido that is used for competitions.
18," Air Hockey — played on an air-hockey table, participants try to hit a puck elevated on a cushion of air into the opponent's goal."
19, Air Racing — a sport involving flying airplanes over a fixed course low to the ground.
20,Airsoft — a skirmish sport in which participants eliminate opponents by hitting them with spherical non-metallic pellets from replica firearms. Similar sports are Laser Tag and Paintball.
21,All-Terrain Boarding — another name for Mountainboarding.
22,"Alpine Skiing — commonly known as Downhill Skiing, involves racing down snow-covered hills on skis with fixed-heel bindings. There are alpine skiing competitions in disciplines such as slalom, giant slalom, super giant slalom, and downhill."
23,Alpinism — the sport of mountain climbing.
24," American Football — a team sport played on a rectangular field with goalposts at each end. Each team attempts to advance an oval ball down the field into the end zone by running or passing it. It is also known in some parts of the world (outside of the US) as Gridiron. In the US it is referred simply as football. Variations include Arena Football, 6-Man Football."
25,"American Handball — players use their hands to hit a small rubber ball against a wall. There are three versions (four-wall handball, three-wall handball and one-wall handball) that can each be played by either two, three or four players. It can be compared to squash without rackets. It is very different from the Olympic sport of (Team) Handball."
26,"Angling — often used to refer to fishing, it is the principal method of sport fishing."
27,"Aquabike — a variation of Triathlon, with no running leg. Athletes swim followed by cycling."
28,"Aquajogging — water running competitions, athletes race in water while maintaining an upright position."
29,Aquathlon (1) — an underwater sport where two competitors wearing masks and fins wrestle underwater in an attempt to remove a ribbon from each other's ankle band. It is also known as Underwater Wrestling.
30,Aquathlon (2) — a continuous race involving swimming followed by running. It is usually over a shorter distance than the similar Biathle.
31,"Archery — competitive archery involves shooting arrows at a target for accuracy from a set distance or distances. The main forms of archery are Target Archery and Field Archery, and others include Clout Archery, 3D archery, Crossbow Archery, Flight Archery, and Ski Archery."
32," Arena Football — a variety of American Football (Gridiron), played indoors on a smaller field resulting in a faster and higher-scoring game."
33,Arena Polo — a minified version of polo which is played on horseback on a field much smaller in size and enclosed by walls on all sides.
34,"Arena Rugby — a variation of Rugby Union, played indoors on a smaller field resulting in a faster and higher-scoring game."
35, Arm Wrestling — a type of Wrestling where each participant place one elbow on a surface while gripping the other participant's hand. The aim is to pin the other's arm onto the surface.
36,Arnis — the national martial art sport of Philippines which emphasizes weapon based fighting.
37, Artistic Billiards — a Carom Billiards discipline in which players score points for performing 76 preset shots of varying difficulty. It is sometimes called fantasy billiards.
38,"Artistic Cycling — a form of competitive indoor cycling in which athletes perform tricks for points on specialized, fixed-gear bikes in a format similar to ballet or gymnastics."
39," Artistic Gymnastics — an Olympic sport where gymnasts perform short routines on different apparatus, such as the Vault, Floor (men and women), Pommel Horse, Rings, Parallel Bars, High Bar (men), and Uneven Bars, Balance Beam (women)."
40,Artistic Pool — a trick shot competition on a pocket billiards table in which players score points for performing 56 preset shots of varying difficulty.
41,"Artistic Roller Skating — is a sport which consists of a number of events (Figures, Dance, Freestyle and Precision Teams) usually accomplished on quad skates, though sometimes inline skates are used."
42,"Association Croquet — an advanced game of Croquet played at international level involving four balls teamed in pairs, with both balls going through every hoop for one pair to win."
43," Association Football — more commonly known as Football or Soccer. It is the world's most popular sport, played between two teams of eleven players with a spherical ball. The game is played on a rectangular field with a goal at each end. The object is to score by using any part of the body except the arms and hands to get the ball into the opposing goal."
44,"Athletics — commonly known as Track and Field, though it is an umbrella sport, which in addition to Track and Field it also comprises Cross Country Running, Road Running and Racewalking."
45," Australian Football — a fast paced football code from Australia, played between two teams of eighteen players on a large oval field. Six points are scored by kicking the ball between two tall goal posts, or one point for passing the ball on either side of these. Alternative names are Australian Football, Aussie Rules, AFL, Australian Rules Football."
46," Australian Handball — similar to Squash, though played without a racquet."
47,"Auto Race — a Japanese motorcycle speedway competition which is held on tarmac tracks, predominantly a gambling sport."
48,"Auto Racing — a sport involving the racing of automobiles for competition. There are numerous different categories including Formula 1, Touring Car, Rally Cars, Drag Racing, Stock Car Racing, Vintage Racing. Also known as Car Racing, Motor Racing or Automobile Racing."
49,Autocross — a type of Auto Racing in which drivers navigate one at a time through a defined course on either a sealed or an unsealed surface in the shortest time. See also the motorcycle version Motorcycle Gymkhana.
50,"Autograss — a type of Auto Racing on natural surfaces such as grass or mud, usually held on quarter-mile oval tracks."
51,"Autospeedway — a motorsport similar to motorcycle speedway, but with cars."
52,Axe Throwing — competitors throw axes at a circular target.
53,Backstroke — a swimming stroke performed on the back with the arms lifted alternately out of the water in a backward circular motion and the legs extended and kicking.
54,Badminton — an indoor game with rackets in which a shuttlecock is hit back and forth across a net.
55,"Balance Beam — a female Olympic Games gymnastics event in which a gymnast balances on a narrow horizontal bar raised off the floor, while performing exercises."
56,Balkline — a Carom Billiards discipline. A point is scored each time a player's cue ball makes contact with both object balls on a single stroke. It is played on a pocketless table that is divided by balklines on the cloth marking playing regions. Its precursor was a game called Straight Rail.
57,"Ball Badminton — a racket game native to India, played with a yellow ball made of wool, with similarities to Badminton."
58,"Ball Hockey — a variation of Ice Hockey, a lot like Street Hockey, in which the game is played on foot on a non-ice surface, and a ball is used instead of a hockey puck."
59,"Ballooning — competitive hot air ballooning is a test of accuracy, not speed. The aim is to fly as close as possible to a target and drop a weighted marker."
60,"Bandy — a team sport played on ice using sticks to direct a ball into the opposing team's goal, a precursor to ice hockey. A variation is Rink Bandy."
61,Banger Racing — racing event which is done on a dirt track using scrap cars.
62,"Banzai Skydiving — a form of skydiving in which the diver throws their parachute out the airplane door, waits and then jumps after it."
63,Barefoot Skiing — involves skiing barefoot on water without the use of water skis.
64,Bare-knuckle boxing — two individuals participate to fight against each other without using boxing gloves or any other type of padding on their hands. Also called Fisticuffs.
65,Barrel Racing — a rodeo event where participants and horses complete a clover-leaf pattern around barrels.
66,Baseball — a bat and ball game in which the aim is to hit the ball and score runs by running around four bases.
67,"BASE Jumping — involves parachuting from a structure or cliff, with competitions based on landing accuracy."
68,"Basketball — players attempt to shoot the ball through the hoop on the opponent’s court, moving the ball by throwing and dribbling."
69,"Basque Pelota — a variety of court sports which involves hitting a ball against a wall using the hand, a racket, a wooden bat or a basket. Other forms include Pala Corta, Rubber-paleta, Paleta-Leather, Xare, Cesta Punta, Frontenis, Hand-Pelota, Valencian Pilota, Valencian Frontó. Jai Alai is a variety of Basque Pelota."
70,"Basse — a bag ball game from Norway in which the ball is kept from landing in the player's area, using any part of the body except the hands."
71,"Bat-and-Trap — an old English bat and ball game, in which a ball is projected into the air out of a trap using a bat, and then hit between posts 21 feet away."
72,"Baton Twirling — a metal rod called a baton, is manipulated, while simultaneously making coordinated dance moves."
73,Bavarian Curling — another name for Ice Stock Sport.
74,Beach Basketball — a version of basketball played on sand with two teams of three players.
75,Beach Flags — a surf lifesaving sport in which competitors race in the sand to collect a flag.
76,Beach Golf — a simplified version of golf played on sand with a polyurethane foam ball.
77,"Beach Handball — a variation of Team Handball, played on sand instead of indoors. This sport is sometimes called Sandball."
78,Beach Netball — netball played in the sand on a half court.
79,Beach Polo — polo on horseback though played on a sand field with sideboards so the ball is always in play.
80,Beach Rugby — a version of rugby union played on sand.
81,"Beach Sambo — a modified version of sambo played on the sand, with bouts lasting three minutes, without penalties and mat wrestling."
82,Beach Soccer — similar to association football but played on a beach or sand.
83,"Beach Tennis — a sport which has elements from tennis and volleyball, and played on the beach."
84,"Beach Volleyball — a version of Volleyball played on sand with teams of two players, in which a ball is hit by hand over a high net, the aim being to score points by making the ball reach the ground on the opponent's side of the court."
85,Beach Water Polo — an open water version of Water Polo played on a smaller field with four players per team.
86,Beach Woodball — a version of Woodball played on sand which involves using a mallet to pass a ball through gates.
87,Beach Wrestling — a standing up position style of wrestling conducted on beach sand.
88,"Behcup — similar to putting in golf, though the balls are putted into a small goal and not into a hole."
89,"Beikou Tarkbei (also called Daur Hockey) — a team sport unique to the Daur ethnic group in Inner Mongolia, that has a lot of similarities to field hockey."
90,Belt Wrestling — the aim is to knock down the opponent by grappling with their belt.
91,"Benchpress — the barbell bench press is one of three lifts in the sport of powerlifting. Participants lie on their back holding the weight on both hands, push it upwards, and then lower the weight again to the chest level."
92,Benchrest Shooting — a shooting sport where the participant shoots with a rifle at the bench.
93,Biathle — consist of swimming and running as part of a single race. It is usually over a shorter distance than the similar Aquathlon.
94,Biathlon — a combination of cross-country skiing and rifle shooting.
95,Bicycle Motocross (BMX) — races on BMX bicycles.
96,"Bicycle Polo — similar to Polo, though played on bicycles instead of horses."
97,Big Wave Surfing — experienced surfers paddle into or are towed onto waves which are at least 20 feet high.
98,Bikejoring — a single dog or a team of harnessed dogs pull along a rider on a bike.
99,"Billiards — billiards is the historical umbrella term for a range of cue sports, though in some countries it refers to the specific game of English Billiards."
100,Biribol — an aquatic version of volleyball developed in Brazil.
101,Blind Cricket — a modified version of cricket with a larger ball with bells inside which is designed to be played by blind athletes.
102,Blind Football — 5-a-side Association football for athletes with a visual impairment.
103,Boardercross — a snowboard competition on a course similar to motocross. Also called Snowboard Cross.
104,"Bobsleigh — winter sport on a sled making timed runs down narrow, twisting, banked, ice tracks."
105,"Bocce — is part of the boules sport family, similar to bowls and pétanque a ball is thrown as close as possible to a smaller 'jack'."
106,"Boccia — a ball sport similar to bocce, bowls, and pétanque for athletes with physical disabilities."
107,Bodyboarding — a water sport in which the surfer stands or lays on a short board in the surf.
108,"Bodybuilding — participants show their developed muscular build through poses, and are judged based on muscularity, conditioning, and symmetry."
109,Bodyflight — an acrobatic sport involving skydiving or a vertical tunnel to perform manoeuvres while in the air.
110,Bolas Criollas — a traditional Venezuelan team sport like bocce and pétanque in which players throw a set of balls as close as possible to the small target ball.
111,Boli Khela — a form of wrestling which is practiced in Bangladesh and India.
112,Boomerang Throwing — competitions involving throwing and catching boomerangs.
113,Borden Ball — see Handball.
114,Bossaball — played on an inflatable court with trampolines on each side of the net.
115,Boßeln — a sport similar to the field style of Klootschieten played in Germany.
116,Bouldering — a type of sport rock climbing in which competitors attempt to climb a series of fixed routes of increasing difficulty.
117,Boules — a collective name for a wide range of sports in which the objective is to throw or roll heavy balls as close as possible to a small target ball.
118,Bowling —  a general term of a large range of sports in which the player rolls a ball to knock down objects. The most common variation is Tenpin Bowling.
119,"Bowls — commonly refers to Lawn Bowls. For other types of bowls sports, see Bowling."
120,"Box lacrosse — a version of lacrosse which is played on a smaller indoor arena (box), with six players in each team."
121,Boxing — a combat sport in which two players throw punches at each other.
122,"Brännboll — a Scandinavian game which has similarities to rounders, but with no pitcher."
123,"Brazilian Jiu-jitsu — a combat sport from Brazil based on ground fighting and submission holds, developed from judo and jujutsu. "
124,Breakdancing — an athletic style of street dance.
125,"Breaststroke — one of the major swimming strokes, performed with the swimmer with his chest forward and facing towards to bottom of the pool."
126,"Bridge — a card game which is played by four players, playing in two competing partnerships. Players score points based on the number of tricks achieved."
127,British Baseball — a bat-and-ball game played in Wales and England similar to rounders.
128,Broomball — a game like ice hockey played with a broom.
129,Bull Fighting — involves one or more bulls which are being fought in a bullring.
130,"Bull Riding — a Rodeo Sport, which involves a rider getting on a large bull and attempting to stay mounted while the animal attempts to buck them off."
131,"Bunnock — a kind of skittles game which is played with bones (commonly known as ""Game of Bones"")."
132,"Butterfly stroke — one of the major swimming stroke styles, swum on the breast, with both arms moving simultaneously, accompanied by a ""dolphin kick""."
133,Buzkashi — a Central Asian sport like polo in which riders on horses attempt to drag a goat carcass toward the goal. There is a variant known as kokpar which is quite similar.
134,Caber Toss — a traditional Scottish sport in which the competition revolves around tossing forward a large tapered pole called a caber.
135,Calisthenics — a competitive team sport in which athletes perform elements of rhythmic gymnastics and ballet.
136,Calva — a traditional Spanish sport in which you throw a piece of metal to knock down bull's horn shaped piece of wood.
137,Camel Racing — racing camels with a jockey like in horse racing.
