no,product name,price,vendor,link
1,B Buckle Belt Black Brown,3.300.000,Bally,https://voila.id/collections/men/products/bally-belt-1#
2,Fuston Slingbag Black,5.300.000,Bally,https://voila.id/collections/men/products/bally-fuston-slingbag-black#
3,Dandelion Loafers Calfskin Black,7.500.000,Christian Louboutin,https://voila.id/collections/men/products/christian-louboutin-dandelion-loafers-calfskin-black#
4,B Buckle Belt Black Grained,3.200.000,Bally,https://voila.id/collections/men/products/bally-b-buckle-belt-black-grained#
5,VLTN Logo T-Shirt Black White Man,3.900.000,Valentino Garavani,https://voila.id/collections/men/products/valentino-garavani-vltn-green-logo-t-shirt-black-white-man#
6,VLTN Neon Mini Crossbody Bag Black,7.500.000,Valentino Garavani,https://voila.id/collections/men/products/valentino-garavani-vltn-neon-mini-crossbody-bag-black#
7,Down-Filled Bomber Jacket Black,3.600.000,Hugo Boss,https://voila.id/collections/men/products/hugo-boss-down-filled-bomber-jacket-black#
8,Vela Pattina Alabastro,13.200.000,Prada,https://voila.id/collections/men/products/prada-vela-pattina-alabastro#
9,Gray XTC Soft Luggage Black,6.900.000,Sprayground,https://voila.id/collections/men/products/sprayground-trolley#
10,Shark-Teeth Print Backpack Black,2.500.000,Sprayground,https://voila.id/collections/men/products/sprayground-shark-teeth-print-backpack-black#
11,Run Away Sneakers White Grey,18.600.000,Louis Vuitton,https://voila.id/collections/men/products/louis-vuitton-run-away-sneakers-white-grey#
12,Wetry Hoodie Yellow Man,2.300.000,Hugo Boss,https://voila.id/collections/men/products/hugo-boss-wetry-hoodie-yellow-man#
13,Tiger Embroidered Sweatshirt Dove Grey Men,3.100.000,Kenzo,https://voila.id/collections/men/products/kenzo-tiger-embroidered-sweatshirt-dove-grey-men#
14,K-Way Jacket Claude Full Zip Navy,2.900.000,Comme Des Garcons,https://voila.id/collections/men/products/comme-des-garcons-k-way-jacket-claude-full-zip-navy#
15,Chain Shark Quilted Backpack Black,2.500.000,Sprayground,https://voila.id/collections/men/products/sprayground-chain-shark-quilted-backpack-black#
16,Paddy Pro Golf Polo Shirt - Yellow,1.900.000,Hugo Boss,https://voila.id/collections/men/products/hugo-boss-paddy-pro-golf-polo-shirt-yellow#
17,Paddy Pro Golf Polo Shirt - Black,2.000.000,Hugo Boss,https://voila.id/collections/men/products/hugo-boss-paddy-pro-golf-polo-shirt-black-1#
18,Run Away Iridescent Sneakers Black,18.600.000,Louis Vuitton,https://voila.id/collections/men/products/louis-vuitton-run-away-iridescent-sneakers-black#
19,Run Away Sneakers Black,18.000.000,Louis Vuitton,https://voila.id/collections/men/products/louis-vuitton-run-away-sneakers-black#
20,Submariner Date Oystersteel,415.000.000,Rolex,https://voila.id/collections/men/products/rolex-submariner-date-oystersteel#
21,Embroidered Tiger T-Shirt White/Blue Man,2.400.000,Kenzo,https://voila.id/collections/men/products/kenzo-embroidered-tiger-t-shirt-white-blue-man#
22,Sport Oversized Monogram Jumper Black,3.800.000,Kenzo,https://voila.id/collections/men/products/kenzo-sport-oversized-monogram-jumper-black#
23,Replica Wool Sneakers White,5.100.000,Maison Margiela,https://voila.id/collections/men/products/maison-margiela-replica-wool-sneakers-white#
24,Polo Shirt Snow White Aubergine,2.200.000,Fred Perry,https://voila.id/collections/men/products/fred-perry-polo-shirt-snow-white-aubergine#
25,Mesh Low Top Sneakers White,7.500.000,Fendi,https://voila.id/collections/men/products/fendi-mesh-low-top-sneakers-white#
26,Re-Nylon Pouch Bag Black,8.000.000,Prada,https://voila.id/collections/men/products/prada-re-nylon-pouch-bag-black#
27,Saffiano Calzature Uomo,7.500.000,Prada,https://voila.id/collections/men/products/prada-saffiano-calzature-uomo#
28,Sorrento Logo Tape Slip-on Sneakers Black,5.800.000,Dolce & Gabbana,https://voila.id/collections/men/products/dolce-gabbana-sorrento-logo-tape-slip-on-sneakers-black#
29,Peter Loafers Black Men,6.000.000,Salvatore Ferragamo,https://voila.id/collections/men/products/salvatore-ferragamo-peter-loafers-black-men#
30,'Retail Therapy' Hoodie Off White Man,7.800.000,Balenciaga,https://voila.id/collections/men/products/balenciaga-retail-therapy-hoodie-off-white-man#
31,Macro Optical V Print Wool Crewneck Black,8.800.000,Valentino Garavani,https://voila.id/collections/men/products/valentino-garavani-macro-optical-v-print-wool-crewneck-black#
32,Military Logo Print Shirt Army Green,7.500.000,Alexander McQueen,https://voila.id/collections/men/products/alexander-mcqueen-military-logo-print-shirt-army-green#
33,VLTN Star Pouch Black,6.700.000,Valentino Garavani,https://voila.id/collections/men/products/valentino-garavani-vltn-star-pouch-black#
34,Tiger Embroidered Matte and Shiny Thread Sweatshirt White,3.300.000,Kenzo,https://voila.id/collections/men/products/kenzo-tiger-embroidered-matte-and-shiny-thread-sweatshirt-white#
35,Tanek_Za Metallic Logo T-Shirt Navy,1.500.000,Hugo Boss,https://voila.id/collections/men/products/hugo-boss-tanek_za-metallic-logo-t-shirt-navy#
36,Tanek_Za Metallic Logo T-Shirt Black,1.500.000,Hugo Boss,https://voila.id/collections/men/products/hugo-boss-tanek_za-metallic-logo-t-shirt-black#
37,Checkerboard Logo Intarsia-knit Jumper Men,6.900.000,Off-White,https://voila.id/collections/men/products/off-white-checkerboard-logo-intarsia-knit-jumper-men#
38,Web Interlocking G Cotton Polo Washed White,7.800.000,Gucci,https://voila.id/collections/men/products/gucci-web-interlocking-g-cotton-polo-washed-white#
39,Technical Jersey GG Track Jacket Green,16.400.000,Gucci,https://voila.id/collections/men/products/gucci-technical-jersey-gg-track-jacket-green#
40,EA7 Logo Patch Down Jacket Green,3.800.000,Emporio Armani,https://voila.id/collections/men/products/emporio-armani-ea7-logo-patch-down-jacket-green#
41,Graffiti T-Shirt Navy,3.700.000,Alexander McQueen,https://voila.id/collections/men/products/alexander-mcqueen-graffiti-t-shirt-navy#
42,Tobin_Za Polo Shirt Metallic Logo Black,2.000.000,Hugo Boss,https://voila.id/collections/men/products/hugo-boss-tobin_za-polo-shirt-metallic-logo-black#
43,Macro Optical V Cashmere Crewneck Black Ivory,9.300.000,Valentino Garavani,https://voila.id/collections/men/products/valentino-garavani-macro-optical-v-cashmere-crewneck-black-ivory#
44,Silk Embroidered Lettering Logo Polo Shirt Black,10.300.000,Prada,https://voila.id/collections/men/products/prada-silk-embroidered-lettering-logo-polo-shirt-black#
45,4G Embroidered Bermuda Shorts Black,7.300.000,Givenchy,https://voila.id/collections/men/products/givenchy-4g-embroidered-bermuda-shorts-black#
46,FF Jacquard Motif Low-Tops Sneaker Black,7.000.000,Fendi,https://voila.id/collections/men/products/fendi-ff-jacquard-motif-low-tops-sneaker-black#
47,Patent Leather Loafers Black Ghw,7.000.000,Tod's,https://voila.id/collections/men/products/tods-patent-leather-loafers-black-ghw#
48,Gancini Reversible Ornament Loafers Black Ghw,6.400.000,Salvatore Ferragamo,https://voila.id/collections/men/products/salvatore-ferragamo-gancini-reversible-ornament-loafers-black-ghw#
49,Large Tote Bag Vintage Jacquard Monogram Blue,9.700.000,MCM,https://voila.id/collections/men/products/mcm-large-tote-bag-vintage-jacquard-monogram-blue#
50,Lanyard Phone Case Color Splash Logo Leather Black,4.700.000,MCM,https://voila.id/collections/men/products/mcm-lanyard-phone-case-color-splash-logo-leather-black#
51,B23 Low Top Oblique Sneakers Orange,9.600.000,Christian Dior,https://voila.id/collections/men/products/christian-dior-b23-low-top-oblique-sneakers-orange#
52,Logo Tape T-Shirt Black,3.400.000,Alexander McQueen,https://voila.id/collections/men/products/alexander-mcqueen-logo-tape-t-shirt-black#
53,Knitwear Tartan Cashmere Sweater Men - Birch Brown,9.800.000,Burberry,https://voila.id/collections/men/products/burberry-knitwear-tartan-cashmere-sweater-men-birch-brown#
54,Paddy Pro Golf Polo Shirt - Lilac,2.000.000,Hugo Boss,https://voila.id/collections/men/products/hugo-boss-paddy-pro-golf-polo-shirt-lilac#
55,Toronto Jays T-Shirt Light Blue,3.300.000,Off-White,https://voila.id/collections/men/products/off-white-toronto-jays-t-shirt-light-blue#
56,Allover Logo Sweater Man Blue Black,11.300.000,Balenciaga,https://voila.id/collections/men/products/balenciaga-allover-logo-sweater-man-blue-black#
57,Logo Skull T-Shirt Black Multicolor,3.600.000,Alexander McQueen,https://voila.id/collections/men/products/alexander-mcqueen-logo-skull-t-shirt-black-multicolor#
58,Skull Logo T-Shirt Black White,3.400.000,Alexander McQueen,https://voila.id/collections/men/products/alexander-mcqueen-skull-logo-t-shirt-black-white#
59,Logo Skull Pocket Shirt Black White,7.900.000,Alexander McQueen,https://voila.id/collections/men/products/alexander-mcqueen-logo-skull-pocket-shirt-black-white#
