no,nama pts,website
1,031001 Universitas Ibnu Chaldun,http://ibnuchaldun.ac.id/
2,031003 Universitas Islam Jakarta,http://www.uid.ac.id/
3,031005 Universitas Jakarta,
4,031006 Universitas Jayabaya,http://www.jayabaya.ac.id/
5,031007 Universitas Katolik Indonesia Atma Jaya,http://www.atmajaya.ac.id/web/
6,031008 Universitas Krisnadwipayana,http://www.unkris.ac.id/
7,031009 Universitas Kristen Indonesia,http://www.uki.ac.id
8,031010 Universitas Kristen Krida Wacana,http://www.ukrida.ac.id/
9,031011 Universitas Muhammadiyah Jakarta,http://www.umj.ac.id
10,031012 Universitas Nasional,http://www.unas.ac.id/
11,031013 Universitas Pancasila,http://www.univpancasila.ac.id/
12,031014 Universitas Prof Dr Moestopo (Beragama),http://moestopo.ac.id/
13,031015 Universitas Tarumanagara,http://www.tarumanagara.ac.id/
14,031016 Universitas Trisakti,http://www.trisakti.ac.id/
15,031017 Universitas 17 Agustus 1945 Jakarta,http://uta45jakarta.ac.id/
16,031018 Universitas Borobudur,http://borobudur.ac.id/
17,031019 Universitas Mercu Buana,http://www.mercubuana.ac.id/
18,031020 Universitas Persada Indonesia Yai,http://www.yai.ac.id/upi.html
19,031021 Universitas Islam As-syafiiyah,http://www.uia.ac.id/
20,031022 Universitas Wiraswasta Indonesia,
21,031023 Universitas Darma Persada,http://www.unsada.ac.id/
22,031024 Universitas Mpu Tantular,http://www.mputantular.ac.id/
23,031025 Universitas Satya Negara Indonesia,http://www.usni.ac.id/
24,031026 Universitas Yarsi,http://www.yarsi.ac.id/
25,031027 Universitas Respati Indonesia,http://www.urindo.ac.id/
26,031029 Universitas Surapati,
27,031030 Universitas Sahid,http://www.usahid.ac.id/
28,031031 Universitas Satyagama,http://www.satyagama.ac.id/
29,031032 Universitas Islam Attahiriyah,http://www.uniat.ac.id/
30,031033 Universitas Esa Unggul,http://www.esaunggul.ac.id/
31,031034 Universitas Pelita Harapan,http://www.uph.edu/
32,031036 Universitas Bhayangkara Jakarta Raya,http://www.ubharajaya.ac.id
33,031037 Universitas Gunadarma,http://www.gunadarma.ac.id
34,031038 Universitas Bina Nusantara,http://binus.ac.id/
35,031039 Universitas Muhammadiyah Prof Dr Hamka,http://www.uhamka.ac.id/
36,031040 Universitas Azzahra,http://universitasazzahra.ac.id/
37,031041 Universitas Paramadina,http://www.paramadina.ac.id/
38,031042 Universitas Bung Karno,http://www.ubk.ac.id/
39,031043 Universitas Suryadarma,http://universitassuryadarma.ac.id/
40,031044 Universitas Al-azhar Indonesia,http://uai.ac.id/
41,031045 Universitas Budi Luhur,http://www.budiluhur.ac.id/
42,031047 Universitas Kejuangan 45 Jakarta,
43,031048 Universitas Bunda Mulia,http://www.ubm.ac.id/
44,031049 Universitas Indraprasta PGRI,http://www.unindra.ac.id/
45,031050 Universitas Tama Jagakarsa,http://www.jagakarsa.ac.id/
46,031051 Universitas Multimedia Nusantara,http://www.umn.ac.id/
47,031052 Universitas Timbul Nusantara,http://utira-ibek.ac.id/
48,031053 Universitas Bakrie,http://www.bakrie.ac.id/
49,031054 Universitas Tanri Abeng,http://www.tauniversity.ac.id/
50,031055 Universitas Trilogi,http://www.stekpi.ac.id/universitas/
51,031056 Universitas Sampoerna,http://usbi.ac.id/
52,031057 Universitas Agung Podomoro,http://www.podomorouniversity.com/
53,031059 Universitas Mohammad Husni Thamrin Jakarta,http://www.thamrin.ac.id/
54,031060 Universitas Matana,http://www.matanauniversity.ac.id/
55,031061 Universitas Nahdlatul Ulama Indonesia,https://www.unuindonesia.ac.id/
56,031062 Universitas Pertamina,https://universitaspertamina.ac.id/
57,031063 Universitas Prasetiya Mulya,http://www.prasetiyamulya.ac.id/
58,032002 Institut Kesenian Jakarta – LPKJ,http://www.ikj.ac.id/
59,032004 Institut Sains Dan Teknologi Nasional,http://www.istn.ac.id/
60,032005 Institut Ilmu Sosial Dan Ilmu Politik Jakarta,http://www.iisip.ac.id/
61,032006 Institut Teknologi Indonesia,http://www.iti.ac.id/
62,032007 Institut Teknologi Budi Utomo,http://www.itbu.ac.id/
63,032008 Institut Sains Dan Teknologi Al-Kamal,http://www.ista.ac.id/
64,032009 Institut Bisnis Dan Informatika Kwik Kian Gie,http://www.kwikkiangie.ac.id/
65,032011 Institut Keu Perbankan Dan Inf Asia Perbanas,http://www.perbanasinstitute.ac.id/
66,032012 Institut Bisnis Nusantara,http://www.ibn.ac.id/
67,032013 Institut Teknologi dan Bisnis Kalbe,http://www.itbk.ac.id/
68,032014 Institut Bisnis dan Multimedia Asmi Jakarta,http://www.asmi.ac.id/
69,032015 Institut Bisnis dan Informatika (IBI) Kosgoro 1957,http://ibi-k57.ac.id/
70,032016 Institut Bio Scientia Internasional Indonesia,http://www.i3l.ac.id
71,032017 Institut Ilmu Sosial dan Manajemen STIAMI,http://www.stiami.ac.id/
72,032018 Institut Kesehatan Indonesia,
73,033001 Sekolah Tinggi Filsafat Driyarkara,
74,033004 STISIP Widuri,http://stisipwiduri.ac.id/
75,033006 Sekolah Tinggi Teknologi Jakarta,
76,033009 Sekolah Tinggi Filsafat Theologi Jakarta,
77,033011 STKIP Purnama,
78,033012 Sekolah Tinggi Ilmu Ekonomi Indonesia Jakarta,
79,033014 STKIP Kusumanegara,http://www.stkipkusumanegara.ac.id/
80,033015 Sekolah Tinggi Ilmu Ekonomi Swadaya,
81,033022 STMIK Jakarta STI&K,http://www.jak-stik.ac.id/
82,033024 Sekolah Tinggi Ilmu Ekonomi YAI,http://www.yai.ac.id/stie.html
83,033028 Sekolah Tinggi Ilmu Administrasi YPIAMI,http://www.stia-ypiami.com/
84,033029 Sekolah Tinggi Manajemen Transpor Trisakti,http://www.stmt-trisakti.ac.id/
85,033031 STMIK Indonesia Jakarta,http://www.stmik-indonesia.ac.id/
86,033032 Sekolah Tinggi Ilmu Ekonomi Kusumanagara,http://stie-kusumanegara.ac.id/
87,033034 STMIK Kuwera,
88,033038 Sekolah Tinggi Ilmu Ekonomi Bhakti Pembangunan,http://stiebp.ac.id/
89,033040 Sekolah Tinggi Ilmu Ekonomi Tri Dharma Widya,http://www.stie-tdw.org/
90,033041 Sekolah Tinggi Keuangan Niaga & Negara Pembangunan,
91,033044 Sekolah Tinggi Ilmu Ekonomi Nasional Indonesia,
92,033046 Sekolah Tinggi Teknologi Indonesia,
93,033050 Sekolah Tinggi Ilmu Administrasi Kawula Indonesia,
94,033052 STISIP Pusaka Nusantara,
95,033059 Sekolah Tinggi Ilmu Ekonomi Jayakarta,http://www.jayakarta.ac.id/
96,033060 Sekolah Tinggi Ilmu Ekonomi Bisnis Indonesia,http://www.stiebi.ac.id/
97,033061 Sekolah Tinggi Hukum Indonesia Jakarta,
98,033062 Sekolah Tinggi Ilmu Ekonomi Gotong Royong,http://www.stiegotongroyong.ac.id/
99,033063 STMIK Swadharma,http://www.swadharma.ac.id/
100,033064 Sekolah Tinggi Manajemen Labora,http://www.labora.ac.id/
101,033066 Sekolah Tinggi Ilmu Ekonomi Trisakti,http://www.stietrisakti.ac.id/
102,033068 Sekolah Tinggi Manajemen Ipmi,http://ipmi.ac.id/
103,033069 Sekolah Tinggi Manajemen Ppm,http://ppm-manajemen.ac.id/
104,033070 Sekolah Tinggi Penerbangan Aviasi,
105,033072 Sekolah Tinggi Ilmu Ekonomi IGI,http://www.igi.ac.id/
106,033073 Sekolah Tinggi Ilmu Hukum IBLAM,http://www.stihiblam.ac.id/
107,033074 Sekolah Tinggi Ilmu Ekonomi IPWI Jakarta,http://www.stieipwija.ac.id/
108,033075 Sekolah Tinggi Manajemen Imni,
109,033076 Sekolah Tinggi Ilmu Ekonomi Ganesha,
110,033077 Sekolah Tinggi Manajemen Immi,http://stima-immi.ac.id/
111,033080 STMIK Jayakarta,http://www.jayakarta.ac.id/
112,033082 STIE Jakarta International College,http://www.stie-jic.ac.id/
113,033084 Sekolah Tinggi Ilmu Ekonomi Widya Jayakarta,http://widyajayakarta.ac.id/
114,033085 Sekolah Tinggi Ilmu Manajemen Lpmi,
115,033086 Sekolah Tinggi Ilmu Ekonomi Taman Siswa,
116,033087 Sekolah Tinggi Ilmu Ekonomi Trianandra,
117,033088 STMIK Muhammadiyah Jakarta,http://www.stmikmj.ac.id/
118,033092 STKIP Albana,
119,033094 Sekolah Tinggi Perpajakan Indonesia,http://www.stpi-pajak.com/
120,033095 Sekolah Tinggi Ilmu Ekonomi Dwipa Wacana,
121,033096 Sekolah Tinggi Ilmu Ekonomi Muhammadiyah Jakarta,http://stiemj.ac.id/
122,033099 Sekolah Tinggi Ilmu Ekonomi Dr Moechtar Talib,http://www.stiemt.ac.id/
123,033101 STMIK Satyagama,http://stmik.satyagama.ac.id/
124,033103 Sekolah Tinggi Ilmu Ekonomi Ahmad Dahlan Jakarta,
125,033104 Sekolah Tinggi Teknik Pln,http://www.sttpln.ac.id/
126,033105 Sekolah Tinggi Ilmu Ekonomi Triguna,
127,033106 Sekolah Tinggi Ilmu Komunikasi Inter Studi,http://www.interstudi.edu/stikom/
128,033107 Sekolah Tinggi Ilmu Ekonomi Tunas Nusantara,http://www.stietn.ac.id/
129,033111 Sekolah Tinggi Bahasa Asing LIA Jakarta,http://www.stbalia.ac.id/
130,033112 Sekolah Tinggi Ilmu Komunikasi Lspr,http://www.lspr.edu/
131,033114 Sekolah Tinggi Pariwisata Trisakti,http://www.stptrisakti.ac.id/
132,033115 STIE Pengembangan Bisnis Dan Manajemen,
133,033116 Sekolah Tinggi Bahasa Asing Pertiwi Indonesia,http://stba-pertiwi.ac.id/
134,033117 Sekolah Tinggi Ilmu Kesehatan Sint Carolus,http://www.stik-sintcarolus.ac.id/
135,033119 Sekolah Tinggi Ilmu Ekonomi Jayakusuma,
136,033120 Sekolah Tinggi Ilmu Ekonomi Kasih Bangsa,http://www.stie-kasih-bangsa.ac.id/
137,033121 Sekolah Tinggi Ilmu Ekonomi Dharma Bumi Putra,
138,033124 Sekolah Tinggi Ilmu Ekonomi Sailendra,http://sekolahsailendra.blogspot.com/
139,033125 Sekolah Tinggi Ilmu Ekonomi Maiji,http://stiemaiji.ac.id/
140,033126 Sekolah Tinggi Ilmu Ekonomi Wiyatamandala,http://www.jibes.ac.id/
141,033128 Sekolah Tinggi Ilmu Ekonomi YPBI,http://stie-ypbi.weebly.com/
142,033129 Sekolah Tinggi Ilmu Kesehatan Indonesia Maju,http://www.stikim.ac.id/
143,033132 STIE Pariwisata Internasional,
144,033134 Sekolah Tinggi Pariwisata Sahid,http://www.stpsahid.ac.id/
145,033135 Sekolah Tinggi Ilmu Kesehatan Binawan,http://www.binawan-ihs.ac.id/
146,033136 Sekolah Tinggi Teknologi 10 November,
147,033137 Sekolah Tinggi Bahasa Asing IEC Jakarta,http://www.stibaiecjakarta.ac.id/
148,033138 Sekolah Tinggi Ilmu Maritim Ami,http://www.stimar.ac.id/
149,033139 Sekolah Tinggi Ilmu Kesehatan Pamentas,
150,033140 STMIK Widuri,http://stmik.kampuswiduri.ac.id/
151,033143 Sekolah Tinggi Manajemen Transportasi Malahayati,
152,033147 Sekolah Tinggi Ilmu Kesehatan Istara Nusantara,http://www.stikes-istara.ac.id/
153,033150 St Ilmu Komputer Cipta Karya Informatika,http://stikomcki.ac.id/
154,033151 Sekolah Tinggi Ilmu Komunikasi ITKP,
155,033152 Sekolah Tinggi Manajemen Asuransi Trisakti,http://www.ibs-trisakti.ac.id/
156,033154 Sekolah Tinggi Ilmu Komunikasi Profesi Indonesia,http://www.stikomprosia.ac.id/
157,033156 Sekolah Tinggi Ilmu Kesehatan Medistra Indonesia,http://www.stikesmedistra-indonesia.ac.id/
158,033157 Sekolah Tinggi Ilmu Ekonomi Widya Persada,http://www.stiewidyapersada.ac.id/
159,033158 Sekolah Tinggi Ilmu Ekonomi Gandhi,
160,033160 Sekolah Tinggi Teknologi Sapta Taruna,http://sttsaptataruna.ac.id/
161,033163 Sekolah Tinggi Ilmu Komunikasi Indonesia Maju,http://www.stikom-ima.ac.id/
162,033164 STMIK Mahakarya,http://stmikmahakarya.com/
163,033165 STMIK Nusa Mandiri Jakarta,http://www.nusamandiri.ac.id/
164,033167 STIKES Kesetiakawanan Sosial Indonesia,
165,033168 STIE Indonesia Banking School,http://www.ibs.ac.id/
166,033170 STIKES Persada Husada Indonesia,http://stikesphijakarta.wordpress.com/
167,033171 Sekolah Tinggi Ilmu Kesehatan Mitra Ria Husada,http://www.stikes-mrh.ac.id/
168,033173 Sekolah Tinggi Ilmu Kesehatan Abdi Nusantara,http://www.abdinusantara.ac.id
169,033175 Sekolah Tinggi Teknologi Informasi NIIT,http://stti.i-tech.ac.id/
170,033176 Sekolah Tinggi Manajemen Resiko Dan Asuransi,http://www.stimra.ac.id/
171,033177 Sekolah Tinggi Ilmu Pemerintahan Abdi Negara,http://www.stipan.ac.id/
172,033178 STIMIK Jayabaya Jakarta,
173,033179 Sekolah Tinggi Ilmu Kesehatan Jayakarta,http://stikesjayakarta.ac.id/
174,033181 STMIK Inovasi Sains Teknologi Bisnis,http://www.istb.ac.id/
175,033182 STIBA Indonesia LPI,
176,033183 Sekolah Tinggi Ilmu Ekonomi Santa Ursula,
177,033184 Sekolah Tinggi Desain Interstudi,http://www.interstudi.edu/stdi/
