no,title,link
1,Dunia Roh,https://wetv.vip/play/wzx7pbebgpxlqqr-Dunia-Roh
2,BORUTO: NARUTO NEXT GENERATIONS,https://wetv.vip/play/bxhkltz7d0xaqhl-BORUTO-NARUTO-NEXT-GENERATIONS
3,Hunter x Hunter,https://wetv.vip/play/4zwsvk310fss01s-Hunter-x-Hunter
4,Inuyasha,https://wetv.vip/play/lya13ujpxsnyuov-Inuyasha
5,Serangan Titan: Musim Terakhir,https://wetv.vip/play/ibmd8s59lyho7ml-Serangan-Titan-Musim-Terakhir
6,Dragon Ball Super,https://wetv.vip/play/gb289jyr8q32e3m-Dragon-Ball-Super
7,One Piece,https://wetv.vip/play/tnfk3rniubz3m8o-One-Piece
8,Pembasmi Iblis: Kimetsu no Yaiba Entertainment District Arc,https://wetv.vip/play/jvd3b35hr75jdww-Pembasmi-Iblis-Kimetsu-no-Yaiba-Entertainment-District-Arc
9,Pembasmi Iblis: Kimetsu No Yaiba,https://wetv.vip/play/votegoei5724a9g-Pembasmi-Iblis-Kimetsu-No-Yaiba
10,Jujutsu Kaisen,https://wetv.vip/play/w74fdyncquqifcx-Jujutsu-Kaisen
11,Dragon Ball Kai,https://wetv.vip/play/1oxoocvxiib416w-Dragon-Ball-Kai
12,Dragon Ball Z Kai: Bab Terakhir,https://wetv.vip/play/akk9f54ztjldyrx-Dragon-Ball-Z-Kai-Bab-Terakhir
13,Dragon Ball,https://wetv.vip/play/sfxpchebqdjmtr5-Dragon-Ball
14,Serangan Titan S1,https://wetv.vip/play/5l72h1v0a0ndjlv-Serangan-Titan-S1
15,Haikyu!!4,https://wetv.vip/play/uhzy54tc93ilw93-Haikyu!!4
16,Haikyu!!2,https://wetv.vip/play/mu5weouv83kaak8-Haikyu!!2
17,Slam Dunk,https://wetv.vip/play/iuubflgwnf0fwhr-Slam-Dunk
18,Sailor Moon,https://wetv.vip/play/fau68h3l0nle6pa-Sailor-Moon
19,Chang'An Magical Street,https://wetv.vip/play/jbgefe04e1ypu5n-Chang'An-Magical-Street
20,Penakluk Bintang,https://wetv.vip/play/0qgqd4kcd9ajxrs-Penakluk-Bintang
