id,seller name,time post,img link,product name,price
0,sarpurwa,3 bulan yang lalu,https://media.karousell.com/media/photos/products/2021/10/19/iphone_8_red_256_gb_1634667276_c07a5a34_progressive_thumbnail.jpg,iPhone 8 Red 256 gb,"Rp 3,750,000"
1,sansnil07,3 hari yang lalu,https://media.karousell.com/media/photos/products/2022/1/28/apple_iphone_7_128_gb__black_1643379213_31f1d360_progressive_thumbnail.jpg,Apple iPhone 7 128 GB - Black,"Rp 2,200,000"
2,artmy,12 hari yang lalu,https://media.karousell.com/media/photos/products/2022/1/19/iphone_13_mini_512gb_pink_1642586326_e7a4ce35_progressive_thumbnail.jpg,iPhone 13 Mini 512GB PINK,"Rp 19,000,000"
3,alulas,2 hari yang lalu,https://media.karousell.com/media/photos/products/2022/1/29/iphone_13_128_gb_midnight_1643468395_1350ed6f_progressive_thumbnail.jpg,Iphone 13 128 gb midnight,"Rp 13,950,000"
4,aruminess,1 hari yang lalu,https://media.karousell.com/media/photos/products/2022/1/29/iphone_13_mini_128gb_ibox_1643490303_07cbe95f_progressive_thumbnail.jpg,Iphone 13 mini 128gb IBOX,"Rp 12,000,000"
5,japiwamanda14,11 hari yang lalu,https://media.karousell.com/media/photos/products/2022/1/20/iphone_11_64gb_ibox_garansi_ak_1642666567_d57b6553_progressive_thumbnail.jpg,Iphone 11 64gb iBox garansi aktif,"Rp 7,800,000"
6,ibrahimnrdn,7 hari yang lalu,https://media.karousell.com/media/photos/products/2022/1/23/iphone_11_64gb_ex_ibox_mulus_f_1642982185_47655749_progressive_thumbnail.jpg,iPhone 11 64gb ex iBox Mulus Fullset Original,"Rp 8,399,000"
7,prelovedbymuthi,14 hari yang lalu,https://media.karousell.com/media/photos/products/2022/1/17/iphone_x_64gb_1642397143_3e7edc5c_progressive_thumbnail.jpg,Iphone X 64gb,"Rp 3,400,000"
8,khalifkastara,2 hari yang lalu,https://media.karousell.com/media/photos/products/2022/1/29/iphone_11_128gb_ibox_1643465264_ea3a50d3_progressive_thumbnail.jpg,Iphone 11 128GB ibox,"Rp 8,700,000"
9,rezawinoto,23 jam yang lalu,https://media.karousell.com/media/photos/products/2022/1/30/iphone_11_64gb_ibox_1643527253_38360558_progressive_thumbnail.jpg,iPhone 11 64gb ibox,"Rp 8,230,000"
10,ndypriscill,1 hari yang lalu,https://media.karousell.com/media/photos/products/2022/1/30/iphone_xs_ex_intern_1643518227_8bb467d1_progressive_thumbnail.jpg,Iphone XS 256Gb ex intern,"Rp 5,500,000"
11,dion131999,7 menit yang lalu,https://media.karousell.com/media/photos/products/2022/1/31/iphone_11_128gb_1643611240_48973a4f_progressive_thumbnail.jpg,iPhone 11 128GB,"Rp 8,000,000"
12,anggrainilia,8 menit yang lalu,https://media.karousell.com/media/photos/products/2022/1/31/iphone_8_64_gb_1643611171_894a6a80_progressive_thumbnail.jpg,Iphone 8 64 gb,"Rp 3,000,000"
13,eccentric.supply,15 hari yang lalu,https://media.karousell.com/media/photos/products/2021/12/16/iphone_8_red_64_gb_eks_inter_1639619398_62fe43c3_progressive_thumbnail.jpg,iPhone 8 Red 64 GB Ex Inter,"Rp 2,700,000"
14,prelovedlove.lae,11 hari yang lalu,https://media.karousell.com/media/photos/products/2022/1/20/iphone_11_pro_space_grey_64gb_1642673088_8509a0b3_progressive_thumbnail.jpg,Iphone 11 Pro Space Grey 64GB,"Rp 8,750,000"
15,cashondelivery_12,13 hari yang lalu,https://media.karousell.com/media/photos/products/2021/12/17/iphone_6s_128gb_original_zpa_1639730006_0cacf5cf_progressive_thumbnail.jpg,Iphone 6s 128GB Original ZP/A,"Rp 1,950,000"
16,chriq,19 hari yang lalu,https://media.karousell.com/media/photos/products/2022/1/12/iphone_xr_64_1641962162_e616de72_progressive_thumbnail.jpg,IPHONE XR 64,"Rp 4,500,000"
17,dekaramadhan,1 bulan yang lalu,https://media.karousell.com/media/photos/products/2021/12/24/iphone_6s_plus_128gb_1640376194_b55714b3_progressive_thumbnail.jpg,iPhone 6s plus 128GB,"Rp 2,200,000Rp 2,450,000"
18,oitbomski,24 hari yang lalu,https://media.karousell.com/media/photos/products/2022/1/6/iphone_6s_plus_32gb_ex_ibox_no_1641510684_a1e9458b_progressive_thumbnail.jpg,iPhone 6s plus 32gb ex ibox no minus,"Rp 2,050,000"
